Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;54,00;300,00;402,00;6,00;42,00;122,09;4,70;37,57;98,61;154,96;65,74;86,87;75,13;40,00;51,00;17,00;3,00;13,00;3,00;3,00;5,00;28,00;11,00;37,00;5,00;1,00;11,00;0,00;0,00;5,00;0,00;1,00;0,00;5,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;38,00;297,67;418,00;6,33;44,33;92,63;2,38;45,13;97,38;168,63;59,38;78,38;68,88;29,00;37,00;9,00;7,00;6,00;0,00;3,00;1,00;38,00;10,00;24,00;7,00;3,00;9,00;0,00;2,00;5,00;0,00;0,00;0,00;7,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00
2019-01-20;37,00;271,33;320,67;3,08;49,33;101,75;2,31;25,44;101,75;129,50;46,25;50,88;50,88;29,00;42,00;13,00;6,00;4,00;4,00;4,00;2,00;38,00;7,00;19,00;5,00;4,00;6,00;0,00;2,00;4,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-01-27;45,00;276,43;347,14;6,43;51,43;111,32;2,37;21,32;80,53;113,68;56,84;59,21;54,47;19,00;27,00;4,00;4,00;8,00;6,00;2,00;4,00;28,00;10,00;27,00;2,00;3,00;10,00;0,00;0,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-02-03;45,00;257,14;321,43;3,21;45,00;90,00;2,37;21,32;94,74;130,26;54,47;71,05;71,05;33,00;25,00;8,00;5,00;4,00;0,00;4,00;0,00;23,00;8,00;23,00;5,00;0,00;6,00;0,00;2,00;3,00;1,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00
2019-02-10;48,00;267,43;349,71;3,43;54,86;76,80;2,40;16,80;79,20;110,40;45,60;55,20;81,60;31,00;26,00;7,00;5,00;8,00;0,00;3,00;1,00;23,00;6,00;33,00;5,00;3,00;8,00;0,00;1,00;8,00;3,00;2,00;0,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;57,00;266,00;373,67;6,33;31,67;71,25;2,38;19,00;76,00;128,25;52,25;59,38;78,38;32,00;19,00;9,00;2,00;10,00;4,00;4,00;1,00;38,00;7,00;26,00;6,00;3,00;8,00;0,00;0,00;5,00;1,00;0,00;0,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;45,00;270,00;372,86;6,43;45,00;90,00;2,37;23,68;90,00;137,37;56,84;85,26;63,95;27,00;31,00;10,00;3,00;9,00;1,00;2,00;2,00;37,00;11,00;15,00;5,00;1,00;7,00;0,00;0,00;4,00;0,00;1,00;0,00;6,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;44,00;238,86;345,71;6,29;37,71;81,05;1,16;18,53;99,58;113,47;50,95;74,11;57,89;32,00;24,00;9,00;4,00;7,00;2,00;4,00;4,00;38,00;9,00;29,00;8,00;4,00;4,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;50,00;287,50;356,25;6,25;37,50;83,33;2,38;11,90;83,33;114,29;54,76;69,05;85,71;34,00;28,00;8,00;5,00;8,00;1,00;5,00;3,00;30,00;8,00;34,00;7,00;0,00;3,00;0,00;0,00;0,00;2,00;0,00;2,00;3,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;47,00;342,43;423,00;6,71;33,57;94,00;1,18;23,50;82,25;117,50;54,05;82,25;68,15;31,00;34,00;11,00;9,00;5,00;1,00;5,00;1,00;41,00;5,00;25,00;6,00;3,00;8,00;1,00;2,00;5,00;0,00;1,00;0,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;53,00;344,50;337,88;3,31;33,13;106,00;2,41;21,68;110,82;132,50;62,64;74,68;65,05;24,00;28,00;9,00;5,00;8,00;1,00;8,00;6,00;33,00;7,00;30,00;3,00;2,00;11,00;1,00;0,00;2,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;45,00;405,00;398,57;6,43;32,14;120,79;2,37;28,42;161,05;135,00;90,00;97,11;63,95;51,00;29,00;9,00;6,00;7,00;1,00;6,00;3,00;29,00;6,00;35,00;5,00;1,00;6,00;0,00;1,00;4,00;0,00;3,00;0,00;3,00;2,00;0,00;1,00;1,00;0,00;0,00;0,00;2,00;0,00
2019-04-07;57,00;411,67;380,00;3,17;31,67;92,63;0,00;40,38;149,63;159,13;80,75;76,00;99,75;36,00;37,00;12,00;2,00;11,00;1,00;4,00;0,00;51,00;10,00;40,00;11,00;1,00;12,00;0,00;0,00;5,00;0,00;1,00;0,00;6,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-04-14;66,00;435,60;429,00;6,60;33,00;115,50;1,18;28,29;143,79;165,00;84,86;101,36;68,36;35,00;25,00;15,00;3,00;15,00;1,00;4,00;3,00;35,00;11,00;35,00;3,00;4,00;3,00;0,00;1,00;4,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-04-21;57,00;443,33;392,67;6,33;31,67;135,38;1,19;33,25;149,63;161,50;76,00;87,88;66,50;51,00;30,00;12,00;2,00;8,00;2,00;10,00;3,00;35,00;9,00;34,00;3,00;2,00;7,00;0,00;0,00;3,00;1,00;0,00;0,00;8,00;1,00;5,00;3,00;0,00;1,00;0,00;0,00;2,00;0,00
2019-04-28;43,00;405,43;350,14;6,14;36,86;148,11;4,78;35,83;140,94;169,61;76,44;86,00;93,17;53,00;53,00;13,00;5,00;10,00;3,00;5,00;1,00;29,00;6,00;33,00;5,00;4,00;8,00;1,00;0,00;5,00;1,00;0,00;0,00;7,00;0,00;3,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-05-05;73,00;464,55;424,73;13,27;26,55;153,06;0,00;42,39;202,52;188,39;91,84;98,90;122,45;53,00;47,00;15,00;5,00;10,00;2,00;6,00;2,00;34,00;9,00;38,00;9,00;2,00;11,00;0,00;2,00;6,00;2,00;0,00;0,00;6,00;1,00;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00
2019-05-12;59,00;472,00;393,33;13,11;26,22;207,68;2,36;61,36;181,72;198,24;103,84;115,64;87,32;56,00;77,00;17,00;3,00;15,00;4,00;6,00;3,00;42,00;11,00;47,00;8,00;4,00;5,00;0,00;1,00;3,00;0,00;0,00;0,00;5,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;64,00;499,20;345,60;12,80;32,00;192,00;0,00;37,93;189,63;194,37;113,78;99,56;80,59;55,00;71,00;23,00;7,00;8,00;0,00;10,00;7,00;36,00;14,00;41,00;11,00;2,00;9,00;0,00;0,00;5,00;1,00;0,00;0,00;8,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-05-26;84,00;510,46;355,38;12,92;38,77;161,00;2,33;44,33;182,00;218,40;93,60;108,00;98,40;72,00;74,00;18,00;7,00;16,00;1,00;10,00;4,00;42,00;18,00;61,00;6,00;5,00;13,00;2,00;1,00;4,00;3,00;0,00;1,00;11,00;1,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-06-02;81,00;542,08;367,62;6,23;43,62;187,46;2,31;50,91;175,89;238,24;73,85;100,06;107,21;49,00;76,00;16,00;8,00;14,00;4,00;6,00;4,00;38,00;15,00;40,00;14,00;1,00;13,00;0,00;0,00;7,00;1,00;0,00;2,00;9,00;1,00;2,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-06-09;88,00;609,71;377,14;6,29;44,00;187,58;1,16;60,21;166,74;202,16;97,51;85,62;78,49;69,00;69,00;18,00;8,00;13,00;3,00;7,00;2,00;41,00;14,00;41,00;12,00;6,00;12,00;0,00;2,00;3,00;2,00;3,00;0,00;7,00;1,00;2,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-06-16;80,00;510,77;363,08;12,31;30,77;195,29;2,35;56,47;200,00;223,53;94,12;110,59;87,06;56,00;71,00;24,00;7,00;10,00;4,00;7,00;3,00;32,00;13,00;43,00;12,00;5,00;6,00;0,00;0,00;4,00;1,00;0,00;0,00;9,00;0,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-06-23;89,00;565,79;394,14;6,36;44,50;192,05;1,17;51,53;170,97;187,62;74,57;115,46;103,43;66,00;63,00;16,00;7,00;15,00;1,00;8,00;6,00;45,00;14,00;43,00;6,00;2,00;11,00;0,00;1,00;7,00;2,00;0,00;0,00;8,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-06-30;100,00;500,00;356,25;6,25;31,25;214,29;4,76;38,10;154,76;183,33;92,86;80,95;92,86;54,00;71,00;16,00;9,00;9,00;1,00;8,00;2,00;46,00;11,00;44,00;13,00;6,00;11,00;0,00;0,00;7,00;3,00;2,00;0,00;8,00;1,00;2,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-07-07;58,00;560,67;386,67;12,89;25,78;208,80;2,32;34,80;167,04;205,42;74,92;94,25;94,25;58,00;80,00;14,00;7,00;19,00;0,00;3,00;3,00;37,00;14,00;34,00;15,00;5,00;8,00;0,00;0,00;12,00;2,00;3,00;1,00;2,00;0,00;2,00;4,00;0,00;1,00;1,00;1,00;1,00;0,00
2019-07-14;76,00;551,00;424,33;6,33;31,67;209,00;1,19;33,25;182,88;166,25;83,13;97,38;85,50;61,00;64,00;26,00;4,00;18,00;5,00;4,00;2,00;56,00;15,00;44,00;8,00;1,00;6,00;1,00;2,00;5,00;2,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-07-21;73,00;570,73;378,27;6,64;26,55;204,87;7,06;44,74;190,74;186,03;75,35;89,48;98,90;60,00;71,00;22,00;11,00;15,00;5,00;4,00;5,00;38,00;11,00;50,00;13,00;1,00;21,00;0,00;2,00;6,00;1,00;4,00;0,00;8,00;0,00;2,00;1,00;0,00;0,00;1,00;0,00;2,00;0,00
