Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;77,00;49,00;80,00;49,00;3,00;60,00;27,00;47,00;8,00;49,00;16,00;90,00;49,00;22,00;8,00;41,00;5,00;120,31;8,42;54,14;38,50;5,00;11,00;11,00;8,00;11,00;16,00;3,00;63,00;27,00;14,00;22,00;0,00;3,00;3,00;8,00;0,00;19,00;0,00;3,00;3,00;0,00;0,00;0,00
2019-01-13;95,00;43,00;46,00;41,00;13,00;62,00;35,00;24,00;16,00;24,00;16,00;92,00;43,00;5,00;5,00;30,00;0,00;91,39;10,82;30,06;48,10;0,00;19,00;11,00;3,00;0,00;27,00;3,00;67,00;41,00;8,00;19,00;0,00;3,00;11,00;0,00;0,00;8,00;5,00;3,00;0,00;0,00;3,00;0,00
2019-01-20;86,00;40,00;51,00;27,00;13,00;49,00;32,00;30,00;3,00;11,00;19,00;59,00;35,00;0,00;13,00;24,00;0,00;77,64;13,14;29,86;21,50;3,00;84,00;5,00;0,00;8,00;24,00;0,00;38,00;24,00;8,00;8,00;3,00;5,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;84,00;39,00;29,00;26,00;16,00;34,00;16,00;13,00;11,00;16,00;18,00;42,00;31,00;3,00;5,00;39,00;0,00;64,80;2,40;24,00;26,40;3,00;31,00;10,00;3,00;5,00;3,00;0,00;39,00;45,00;16,00;0,00;0,00;0,00;3,00;0,00;3,00;18,00;5,00;3,00;0,00;0,00;0,00;0,00
2019-02-03;65,00;21,00;26,00;37,00;10,00;65,00;29,00;42,00;10,00;34,00;18,00;29,00;37,00;3,00;21,00;16,00;3,00;91,48;4,81;28,89;33,70;5,00;26,00;13,00;0,00;3,00;13,00;0,00;42,00;16,00;8,00;10,00;0,00;0,00;5,00;3,00;0,00;8,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-02-10;83,00;44,00;44,00;31,00;14,00;31,00;14,00;25,00;14,00;25,00;17,00;47,00;33,00;3,00;11,00;44,00;6,00;80,59;2,41;38,49;27,67;3,00;22,00;17,00;3,00;8,00;8,00;3,00;42,00;17,00;14,00;17,00;0,00;0,00;3,00;3,00;0,00;8,00;0,00;3,00;0,00;0,00;3,00;0,00
2019-02-17;61,00;33,00;33,00;33,00;3,00;22,00;28,00;22,00;8,00;19,00;14,00;25,00;39,00;0,00;11,00;30,00;0,00;56,12;2,44;28,06;13,42;0,00;19,00;6,00;0,00;8,00;17,00;3,00;44,00;39,00;14,00;3,00;3,00;3,00;6,00;0,00;0,00;14,00;6,00;3,00;0,00;0,00;0,00;0,00
2019-02-24;55,00;22,00;33,00;28,00;8,00;22,00;36,00;14,00;14,00;11,00;8,00;39,00;17,00;3,00;8,00;33,00;3,00;76,52;2,39;16,74;10,76;0,00;25,00;17,00;0,00;3,00;8,00;0,00;55,00;14,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;3,00;0,00
2019-03-03;73,00;38,00;22,00;32,00;5,00;65,00;22,00;32,00;3,00;19,00;19,00;32,00;43,00;3,00;5,00;38,00;0,00;64,62;2,39;21,54;21,54;0,00;22,00;3,00;0,00;11,00;19,00;3,00;35,00;51,00;5,00;3,00;0,00;8,00;3,00;0,00;0,00;3,00;0,00;5,00;0,00;0,00;0,00;3,00
2019-03-10;76,00;24,00;30,00;27,00;5,00;41,00;27,00;11,00;16,00;14,00;8,00;27,00;27,00;3,00;3,00;30,00;3,00;67,56;2,41;30,16;30,16;0,00;14,00;8,00;0,00;8,00;11,00;0,00;27,00;24,00;8,00;8,00;3,00;3,00;0,00;0,00;0,00;5,00;0,00;3,00;0,00;0,00;0,00;3,00
2019-03-17;64,00;28,00;33,00;14,00;3,00;39,00;17,00;11,00;14,00;19,00;8,00;28,00;25,00;0,00;11,00;17,00;6,00;30,19;8,45;10,87;8,45;0,00;22,00;3,00;0,00;3,00;8,00;0,00;39,00;11,00;0,00;6,00;0,00;3,00;0,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;59,00;23,00;20,00;23,00;3,00;48,00;17,00;3,00;6,00;17,00;8,00;20,00;8,00;0,00;0,00;17,00;0,00;36,12;2,41;14,45;10,84;3,00;23,00;6,00;0,00;0,00;3,00;0,00;11,00;28,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;42,00;39,00;14,00;20,00;0,00;37,00;20,00;3,00;11,00;25,00;8,00;17,00;14,00;0,00;8,00;22,00;3,00;31,20;6,00;14,40;0,00;0,00;3,00;6,00;0,00;6,00;14,00;0,00;17,00;8,00;8,00;8,00;0,00;3,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;36,00;19,00;16,00;19,00;3,00;33,00;16,00;14,00;0,00;0,00;8,00;25,00;33,00;3,00;0,00;11,00;0,00;30,00;6,00;10,80;2,40;3,00;19,00;5,00;0,00;0,00;5,00;0,00;22,00;5,00;5,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00
2019-04-14;18,00;12,00;6,00;3,00;0,00;23,00;6,00;9,00;3,00;9,00;0,00;9,00;15,00;3,00;0,00;3,00;0,00;26,40;0,00;18,00;0,00;0,00;3,00;0,00;0,00;6,00;0,00;0,00;23,00;9,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-04-21;28,00;20,00;14,00;14,00;3,00;17,00;11,00;3,00;0,00;8,00;6,00;6,00;19,00;0,00;3,00;14,00;0,00;21,91;2,43;10,96;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-04-28;27,00;8,00;5,00;5,00;8,00;11,00;5,00;5,00;3,00;3,00;5,00;8,00;8,00;0,00;0,00;21,00;0,00;22,09;2,45;8,59;2,45;0,00;5,00;5,00;0,00;3,00;3,00;0,00;3,00;5,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-05-05;19,00;8,00;5,00;3,00;0,00;8,00;3,00;11,00;0,00;3,00;0,00;14,00;11,00;0,00;0,00;3,00;0,00;13,06;2,38;8,31;10,69;0,00;3,00;5,00;0,00;3,00;0,00;0,00;0,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;28,00;0,00;11,00;3,00;0,00;0,00;6,00;6,00;0,00;0,00;3,00;11,00;11,00;0,00;0,00;6,00;0,00;28,00;2,43;17,04;17,04;0,00;3,00;3,00;0,00;6,00;3,00;0,00;14,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
