Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;54,00;386,31;340,62;303,23;249,75;13,50;108,00;81,00;193,15;108,00;76,85;85,15;198,00;226,80;50,40;3,60;93,27;441,82;14,73;39,27;12,00;33,00;39,00;46,00;20,00;63,00;4,00;21,00;12,00;6,00;6,00;6,00;9,00;2,00;0,00
2019-01-13;38,00;312,44;291,33;333,56;215,33;12,67;107,67;76,00;184,00;116,00;86,00;110,00;165,82;200,36;38,00;3,45;80,75;432,25;9,50;38,00;20,00;25,00;27,00;44,00;20,00;55,00;7,00;30,00;10,00;2,00;7,00;0,00;15,00;4,00;3,00
2019-01-20;37,00;296,00;291,89;304,22;191,17;6,17;129,50;74,00;156,22;102,78;78,11;84,28;166,50;222,00;59,20;7,40;55,50;383,88;13,88;37,00;10,00;39,00;28,00;43,00;19,00;55,00;1,00;14,00;15,00;7,00;13,00;2,00;8,00;2,00;0,00
2019-01-27;45,00;306,00;288,00;328,50;173,57;12,86;115,71;77,14;155,45;96,14;65,45;90,00;176,25;206,25;45,00;7,50;80,00;410,00;5,00;20,00;10,00;32,00;26,00;29,00;14,00;65,00;0,00;18,00;17,00;3,00;10,00;7,00;14,00;2,00;1,00
2019-02-03;45,00;315,00;265,50;351,00;231,43;6,43;147,86;70,71;169,77;114,55;77,73;106,36;165,00;183,75;52,50;7,50;65,00;415,00;15,00;35,00;9,00;29,00;32,00;30,00;17,00;45,00;6,00;23,00;16,00;9,00;10,00;1,00;14,00;0,00;1,00
2019-02-10;48,00;301,09;279,27;340,36;274,29;13,71;164,57;82,29;166,96;110,61;73,04;100,17;192,00;228,92;48,00;3,69;67,20;369,60;14,40;33,60;9,00;28,00;38,00;33,00;18,00;60,00;3,00;14,00;8,00;2,00;8,00;1,00;10,00;6,00;0,00
2019-02-17;57,00;302,54;267,46;333,23;228,00;12,67;139,33;76,00;150,64;111,96;85,50;99,75;160,31;188,81;42,75;10,69;52,25;422,75;14,25;19,00;12,00;29,00;26,00;40,00;21,00;40,00;9,00;17,00;19,00;10,00;4,00;4,00;6,00;1,00;1,00
2019-02-24;45,00;286,36;282,27;323,18;237,86;6,43;128,57;90,00;145,23;96,14;67,50;106,36;186,92;180,00;38,08;3,46;100,00;335,00;10,00;20,00;12,00;29,00;33,00;30,00;23,00;43,00;4,00;22,00;14,00;6,00;4,00;5,00;14,00;3,00;0,00
2019-03-03;44,00;299,20;277,20;334,40;201,14;12,57;138,29;81,71;167,62;104,76;67,05;113,14;176,00;190,67;51,33;3,67;63,56;386,22;14,67;34,22;14,00;29,00;35,00;27,00;16,00;60,00;6,00;23,00;16,00;6,00;8,00;4,00;13,00;1,00;0,00
2019-03-10;50,00;325,00;216,67;300,00;212,50;12,50;131,25;87,50;152,00;104,00;76,00;102,00;160,71;182,14;42,86;17,86;59,09;368,18;13,64;27,27;14,00;44,00;24,00;36,00;15,00;49,00;9,00;26,00;18,00;11,00;10,00;3,00;9,00;3,00;2,00
