Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;27,00;4,00;0,00;8,00;4,00;4,00;0,00;16,00;4,00;0,00;0,00;47,25;24,75;31,00;0,00;8,00;8,00;0,00;0,00;108,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;12,00;12,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00
2019-01-13;11,00;0,00;4,00;8,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;30,80;8,00;0,00;8,00;0,00;0,00;0,00;71,50;0,00;4,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-01-20;33,00;0,00;4,00;4,00;7,00;0,00;0,00;4,00;0,00;4,40;0,00;11,00;33,00;0,00;0,00;7,00;4,00;0,00;0,00;33,00;0,00;0,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;7,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;18,00;0,00;4,00;4,00;4,00;11,00;4,00;0,00;0,00;0,00;0,00;4,50;22,50;4,00;7,00;4,00;4,00;0,00;0,00;66,00;4,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;37,00;7,00;4,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;4,35;37,00;4,00;0,00;4,00;0,00;4,11;0,00;55,50;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;30,00;7,00;4,00;7,00;4,00;7,00;0,00;4,00;0,00;0,00;0,00;6,92;16,15;4,00;0,00;4,00;7,00;4,29;4,29;77,14;0,00;0,00;0,00;11,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;22,00;4,00;7,00;7,00;11,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;15,40;4,00;0,00;4,00;4,00;0,00;0,00;78,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;4,00;15,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;19,00;0,00;7,00;15,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;16,63;19,00;0,00;0,00;15,00;7,00;8,44;0,00;54,89;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;27,00;4,00;4,00;23,00;8,00;0,00;0,00;4,00;0,00;4,50;0,00;4,50;27,00;0,00;0,00;4,00;4,00;0,00;0,00;51,92;4,15;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;34,00;0,00;8,00;4,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;4,53;31,73;4,00;0,00;8,00;4,00;0,00;0,00;44,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;19,00;0,00;12,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;4,22;23,22;0,00;0,00;4,00;8,00;0,00;0,00;43,70;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;16,00;4,00;4,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;9,14;0,00;0,00;16,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;23,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;23,00;4,00;0,00;4,00;0,00;0,00;0,00;16,73;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;41,00;4,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;4,32;0,00;0,00;25,89;4,00;0,00;4,00;0,00;8,20;0,00;30,75;4,10;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;39,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,83;0,00;0,00;8,00;4,00;0,00;0,00;30,79;0,00;4,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;29,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;4,46;0,00;4,46;13,38;0,00;0,00;0,00;8,00;0,00;0,00;66,29;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;31,00;0,00;0,00;4,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;4,43;22,14;4,00;0,00;4,00;0,00;0,00;0,00;43,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;11,00;0,00;0,00;15,00;4,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;15,40;4,00;0,00;11,00;7,00;0,00;0,00;39,60;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;7,00;0,00;7,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,67;11,67;0,00;0,00;0,00;4,00;3,50;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;11,00;0,00;0,00;11,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;15,40;4,00;0,00;0,00;0,00;0,00;0,00;28,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;7,00;0,00;4,00;4,00;4,00;0,00;0,00;7,00;0,00;0,00;0,00;4,67;7,00;0,00;0,00;4,00;0,00;0,00;4,67;51,33;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;15,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,29;15,00;0,00;0,00;0,00;4,00;4,29;0,00;27,86;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;15,00;0,00;8,00;12,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;23,57;0,00;0,00;4,00;0,00;0,00;0,00;31,88;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;35,00;0,00;0,00;11,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;30,63;0,00;0,00;0,00;0,00;0,00;0,00;47,35;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;27,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;4,50;0,00;0,00;36,00;0,00;0,00;8,00;4,00;4,15;0,00;39,46;0,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;27,00;0,00;8,00;20,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;11,25;24,75;0,00;0,00;0,00;0,00;0,00;0,00;56,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;38,00;4,00;8,00;4,00;0,00;4,00;0,00;4,00;0,00;4,47;0,00;0,00;26,82;0,00;4,00;4,00;11,00;0,00;0,00;73,89;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;35,00;4,00;0,00;16,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;8,75;30,63;4,00;0,00;4,00;8,00;4,12;0,00;65,88;4,12;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-07-21;55,00;20,00;20,00;28,00;4,00;12,00;0,00;4,00;0,00;0,00;0,00;4,40;220,00;8,00;0,00;0,00;16,00;0,00;0,00;63,15;4,07;0,00;4,00;4,00;4,00;4,00;4,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
