Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;32,00;309,33;96,00;5,33;58,67;219,43;0,00;109,71;128,00;104,42;37,05;104,42;58,95;45,54;18,46;8,62;4,92;4,80;0,00;4,80;9,60;9,00;5,00;18,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;40,00;235,00;125,00;10,00;40,00;173,33;4,44;93,33;124,44;105,00;35,00;48,33;88,33;31,25;45,00;22,50;5,00;4,80;4,80;0,00;12,80;9,00;0,00;18,00;9,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00
2019-01-20;35,00;200,00;75,00;5,00;50,00;188,13;4,38;48,13;61,25;98,00;22,75;45,50;98,00;56,25;12,50;21,25;0,00;0,00;17,50;4,77;7,95;22,00;4,00;17,00;4,00;0,00;9,00;0,00;0,00;0,00;4,00;0,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;26,00;244,40;83,20;5,20;41,60;160,33;0,00;73,67;91,00;105,73;31,20;53,73;71,07;60,67;3,71;3,71;12,38;4,88;8,13;4,88;13,00;9,00;9,00;9,00;0,00;0,00;9,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;9,00;157,50;67,50;0,00;72,00;157,50;9,00;36,00;108,00;63,00;63,00;66,60;138,60;37,29;18,00;5,14;0,00;4,50;4,50;0,00;0,00;32,00;14,00;23,00;0,00;0,00;36,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;22,00;192,50;88,00;5,50;38,50;180,40;0,00;39,60;66,00;71,08;22,00;54,15;138,77;35,44;17,11;8,56;4,89;0,00;4,71;12,57;17,29;14,00;9,00;5,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;23,00;211,60;78,20;0,00;13,80;133,40;0,00;27,60;73,60;59,14;18,07;41,07;82,14;31,47;36,32;4,84;8,47;4,60;13,80;9,20;9,20;19,00;0,00;23,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;42,00;199,50;57,75;5,25;42,00;135,33;0,00;51,33;32,67;91,00;33,25;71,75;99,75;42,00;28,00;5,09;8,91;0,00;0,00;14,54;4,85;14,00;0,00;33,00;5,00;0,00;14,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;23,00;202,40;82,80;0,00;36,80;179,40;4,60;32,20;69,00;88,71;44,36;39,43;75,57;61,33;23,00;23,00;0,00;0,00;4,93;14,79;9,86;23,00;5,00;14,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;45,00;245,00;85,00;5,00;50,00;117,00;9,00;45,00;81,00;72,69;22,50;41,54;119,42;31,25;5,00;17,50;0,00;4,82;0,00;12,86;9,64;18,00;5,00;14,00;0,00;0,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;18,00;220,50;36,00;0,00;31,50;189,00;4,50;45,00;76,50;65,45;42,55;34,36;76,91;37,29;28,29;18,00;5,14;18,00;4,91;4,91;13,09;23,00;5,00;14,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;32,00;266,67;101,33;0,00;53,33;155,43;4,57;36,57;73,14;55,58;18,53;45,47;74,11;27,08;4,92;18,46;0,00;4,80;0,00;4,80;4,80;19,00;0,00;19,00;0,00;0,00;9,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;56,00;208,73;71,27;5,09;25,45;210,00;28,00;28,00;84,00;42,42;45,82;64,48;83,15;38,18;8,91;8,91;5,09;4,80;28,80;4,80;14,40;19,00;0,00;14,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;36,00;262,29;46,29;0,00;41,14;207,00;13,50;36,00;94,50;78,86;18,86;63,43;60,00;36,00;4,97;8,69;4,97;0,00;4,70;4,70;4,70;23,00;5,00;14,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;14,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;37,00;296,00;74,00;5,29;31,71;152,63;18,50;46,25;74,00;77,36;37,00;37,00;68,95;64,13;23,43;18,50;4,93;9,65;9,65;4,83;19,30;23,00;14,00;28,00;5,00;0,00;9,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;66,00;335,08;91,38;10,15;40,62;242,00;4,40;30,80;114,40;113,38;18,62;32,15;37,23;61,02;9,96;28,64;4,98;0,00;4,83;0,00;19,32;5,00;5,00;28,00;0,00;0,00;14,00;5,00;5,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;58,00;377,00;91,83;0,00;33,83;361,38;0,00;49,08;138,31;90,41;18,76;30,71;76,76;108,43;13,87;17,65;8,83;4,83;4,83;9,67;17,72;9,00;4,00;18,00;4,00;4,00;9,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-05-05;49,00;343,00;68,60;0,00;19,60;227,18;4,45;62,36;178,18;101,38;65,90;43,93;76,03;71,62;17,59;22,62;5,03;26,87;22,13;9,48;0,00;27,00;9,00;40,00;0,00;0,00;13,00;4,00;0,00;9,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;68,00;310,86;68,00;0,00;24,29;276,53;4,53;40,80;95,20;90,10;45,90;49,30;113,90;105,78;22,67;8,81;5,04;22,14;4,74;9,49;14,23;18,00;0,00;9,00;14,00;0,00;23,00;0,00;0,00;5,00;5,00;5,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;88,00;342,22;83,11;9,78;9,78;291,79;4,63;64,84;129,68;123,54;30,46;30,46;74,46;34,70;17,35;17,35;4,96;12,80;12,80;17,60;4,80;18,00;22,00;31,00;13,00;0,00;9,00;4,00;0,00;9,00;13,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00
2019-05-26;58,00;275,50;87,00;9,67;43,50;312,31;13,38;62,46;169,54;93,82;27,29;52,88;85,29;54,22;17,65;13,87;5,04;35,44;0,00;17,72;12,89;4,00;9,00;18,00;4,00;0,00;27,00;4,00;9,00;4,00;4,00;4,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
