Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;32,00;704,00;736,00;368,00;200,73;23,27;177,45;215,27;184,89;245,33;167,11;184,89;114,67;88,00;106,67;24,00;69,05;138,11;8,42;45,47;5,12;78,08;78,08;69,12;23,00;64,00;9,00;41,00;9,00;0,00;0,00;5,00;5,00;0,00;5,00
2019-01-13;40,00;520,00;680,00;386,67;185,71;8,57;168,57;257,14;160,00;207,27;90,91;127,27;96,00;136,00;90,67;8,00;53,33;111,67;13,33;31,67;22,50;83,75;52,50;48,75;4,00;49,00;4,00;22,00;5,00;5,00;0,00;5,00;0,00;4,00;4,00
2019-01-20;35,00;647,50;647,50;420,00;204,17;8,75;175,00;160,42;252,00;168,00;66,50;150,50;140,00;75,38;35,00;5,38;91,67;165,00;35,00;35,00;25,93;53,15;47,96;53,15;13,00;35,00;0,00;70,00;4,00;0,00;9,00;0,00;4,00;0,00;0,00
2019-01-27;26,00;533,00;507,00;299,00;251,33;34,67;104,00;190,67;200,57;234,00;122,57;133,71;127,40;93,60;59,80;13,00;71,50;113,75;4,88;26,00;35,10;88,40;48,10;66,30;4,00;26,00;0,00;56,00;4,00;13,00;0,00;0,00;17,00;0,00;0,00
2019-02-03;9,00;378,00;414,00;153,00;216,00;15,00;117,00;270,00;184,50;288,00;144,00;139,50;117,00;78,00;81,00;27,00;97,20;93,60;14,40;63,00;14,14;77,14;64,29;45,00;5,00;23,00;0,00;54,00;9,00;14,00;0,00;0,00;9,00;5,00;0,00
2019-02-10;22,00;451,00;429,00;165,00;261,25;13,75;107,25;231,00;146,67;231,00;62,33;150,33;66,00;121,00;74,25;8,25;59,23;150,62;8,46;59,23;13,44;77,00;56,22;56,22;5,00;18,00;0,00;45,00;5,00;5,00;0,00;0,00;13,00;4,00;0,00
2019-02-17;23,00;414,00;448,50;218,50;264,50;14,38;138,00;209,88;199,33;218,50;153,33;168,67;117,56;58,78;71,56;28,11;50,93;96,93;9,86;73,93;23,00;42,17;47,28;47,28;0,00;14,00;14,00;33,00;5,00;5,00;5,00;9,00;9,00;0,00;0,00
2019-02-24;42,00;616,00;560,00;280,00;186,00;24,00;216,00;231,00;160,36;263,45;122,18;194,73;78,75;55,13;73,50;5,25;78,96;94,08;10,08;60,48;28,00;87,82;31,82;8,91;9,00;32,00;0,00;46,00;14,00;9,00;9,00;0,00;23,00;0,00;0,00
2019-03-03;23,00;460,00;437,00;230,00;232,88;28,75;284,63;186,88;184,00;264,50;145,67;226,17;120,11;89,44;89,44;23,00;46,00;164,29;13,14;54,21;23,00;60,06;31,94;37,06;0,00;56,00;9,00;32,00;23,00;19,00;0,00;0,00;9,00;0,00;5,00
2019-03-10;45,00;690,00;570,00;300,00;270,00;18,00;150,00;204,00;153,75;273,75;105,00;150,00;135,00;95,29;66,18;13,24;50,00;116,67;13,33;53,33;27,00;86,14;72,00;59,14;18,00;41,00;9,00;72,00;0,00;9,00;5,00;5,00;27,00;0,00;4,00
2019-03-17;18,00;684,00;684,00;342,00;162,00;18,00;153,00;219,00;162,00;129,60;111,60;111,60;95,14;113,14;100,29;7,71;57,27;119,45;8,18;44,18;18,00;95,14;41,14;59,14;27,00;22,00;0,00;36,00;14,00;5,00;9,00;5,00;4,00;4,00;0,00
2019-03-24;32,00;688,00;656,00;288,00;232,73;8,73;130,91;241,45;177,78;216,89;135,11;145,78;138,67;82,67;69,33;8,00;37,05;79,16;10,11;28,63;19,20;74,24;46,08;42,24;23,00;28,00;14,00;42,00;14,00;0,00;5,00;5,00;9,00;5,00;5,00
2019-03-31;56,00;644,00;518,00;294,00;221,05;23,58;144,42;235,79;205,33;250,13;126,93;220,27;106,67;82,67;56,00;5,33;52,61;118,79;10,18;61,09;23,44;46,88;70,33;42,98;0,00;33,00;19,00;42,00;9,00;5,00;14,00;0,00;9,00;5,00;9,00
2019-04-07;36,00;612,00;492,00;312,00;264,00;24,00;117,00;192,00;241,20;248,40;75,60;216,00;105,43;118,29;84,86;18,00;93,27;147,27;8,18;67,09;27,00;87,43;55,29;41,14;18,00;5,00;18,00;64,00;18,00;5,00;0,00;9,00;9,00;5,00;0,00
2019-04-14;37,00;1233,33;555,00;308,33;222,00;31,31;167,92;173,62;225,70;251,60;129,50;151,70;79,29;100,43;63,43;23,79;60,55;149,68;23,55;31,95;19,14;88,03;42,10;51,03;5,00;51,00;28,00;79,00;14,00;9,00;0,00;9,00;5,00;0,00;0,00
2019-04-21;66,00;633,60;580,80;316,80;229,57;17,22;186,52;177,91;146,67;190,67;110,00;132,00;118,80;97,68;18,48;10,56;70,95;70,95;37,95;61,05;13,96;55,85;69,81;46,96;19,00;24,00;24,00;47,00;9,00;19,00;5,00;5,00;9,00;9,00;0,00
2019-04-28;58,00;754,00;841,00;435,00;214,60;26,10;214,60;240,70;282,75;300,88;97,88;119,63;110,73;129,18;97,55;26,36;76,23;142,51;18,23;49,71;12,89;67,02;68,31;63,16;9,00;22,00;22,00;45,00;4,00;18,00;9,00;0,00;4,00;4,00;9,00
2019-05-05;49,00;539,00;620,67;343,00;172,94;14,41;288,24;204,65;180,92;278,92;98,00;229,92;122,50;127,94;100,72;19,06;64,21;86,17;13,52;67,59;18,05;63,18;39,97;49,00;22,00;31,00;18,00;40,00;13,00;9,00;9,00;0,00;9,00;0,00;0,00
2019-05-12;68,00;639,20;489,60;353,60;147,83;14,78;124,17;236,52;196,84;246,95;125,26;128,84;117,69;86,31;99,38;13,08;68,00;127,71;13,27;49,76;8,98;68,00;35,92;35,92;32,00;23,00;23,00;36,00;9,00;5,00;5,00;5,00;5,00;5,00;0,00
2019-05-19;88,00;572,00;572,00;366,67;161,33;26,40;108,53;193,60;168,67;223,67;128,33;139,33;160,00;85,33;72,00;13,33;61,43;92,98;18,26;66,42;35,71;70,14;66,32;79,07;35,00;18,00;18,00;49,00;9,00;9,00;0,00;0,00;13,00;4,00;4,00
2019-05-26;58,00;667,00;594,50;391,50;205,90;17,40;133,40;232,00;250,13;221,13;97,88;159,50;168,73;84,36;92,27;7,91;71,26;79,54;18,23;58,00;45,11;76,04;67,02;63,16;13,00;13,00;27,00;71,00;4,00;9,00;4,00;13,00;40,00;0,00;0,00
2019-06-02;50,00;587,50;437,50;225,00;220,59;17,65;173,53;170,59;142,86;214,29;132,14;153,57;144,74;263,16;63,16;21,05;66,67;101,67;8,33;55,00;33,33;55,13;42,31;58,97;8,00;13,00;13,00;63,00;13,00;17,00;0,00;8,00;8,00;4,00;0,00
