Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;30,00;15,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;5,29;5,29;40,59;40,59;5,00;0,00;20,00;0,00;0,00;5,00;60,00;5,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;5,00;10,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-01-13;77,00;0,00;19,00;5,00;5,00;10,00;5,00;15,00;5,00;0,00;0,00;0,00;53,04;0,00;0,00;5,00;5,00;0,00;0,00;39,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;15,00;10,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00
2019-01-20;44,00;0,00;15,00;0,00;0,00;5,00;10,00;5,00;0,00;0,00;0,00;29,92;59,84;0,00;5,00;24,00;5,00;0,00;5,00;63,00;0,00;0,00;19,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;10,00;15,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;62,00;0,00;5,00;5,00;5,00;5,00;5,00;14,00;0,00;5,17;0,00;24,11;43,06;0,00;0,00;10,00;5,00;5,00;10,00;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;19,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-02-03;85,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;5,00;5,20;0,00;13,88;62,45;0,00;0,00;10,00;0,00;10,00;0,00;38,00;0,00;0,00;19,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;10,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;62,00;10,00;10,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;5,17;24,11;86,11;0,00;0,00;19,00;0,00;0,00;0,00;57,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;10,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;38,00;0,00;5,00;0,00;5,00;5,00;10,00;10,00;0,00;5,18;0,00;32,82;81,18;0,00;0,00;14,00;0,00;10,00;5,00;43,00;5,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;5,00;14,00;19,00;0,00;0,00;14,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;42,00;9,00;5,00;5,00;0,00;5,00;0,00;0,00;5,00;0,00;5,25;28,00;57,75;0,00;0,00;5,00;0,00;5,00;0,00;52,00;0,00;0,00;9,00;5,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;43,00;5,00;24,00;0,00;10,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;72,24;5,00;0,00;14,00;0,00;0,00;0,00;39,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;64,00;5,00;15,00;5,00;0,00;10,00;5,00;0,00;0,00;0,00;0,00;19,03;69,19;0,00;0,00;10,00;10,00;0,00;0,00;44,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;15,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;40,00;5,00;5,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;59,13;0,00;0,00;20,00;0,00;5,00;0,00;30,00;0,00;0,00;5,00;0,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;65,00;15,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,13;54,74;5,00;0,00;5,00;0,00;5,00;0,00;30,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;54,00;5,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;15,68;50,52;0,00;5,00;15,00;0,00;0,00;0,00;49,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;20,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
