Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;39,00;754,00;832,00;195,00;468,00;494,00;3,25;240,50;78,00;146,25;87,75;126,75;139,75;87,75;321,75;68,25;19,50;199,33;338,00;13,00;82,33;12,00;60,00;34,50;37,50;8,81;32,71;30,19;12,58;3,00;1,00;1,00;6,00;17,00;3,00;1,00
2019-01-13;36,00;672,00;780,00;168,00;444,00;547,20;7,20;295,20;93,60;150,55;91,64;101,45;157,09;81,00;270,00;63,00;9,00;216,00;310,50;13,50;99,00;27,00;85,50;36,00;36,00;14,90;12,41;23,59;8,69;4,00;1,00;3,00;4,00;11,00;1,00;6,00
2019-01-20;32,00;597,33;714,67;149,33;341,33;435,20;0,00;268,80;76,80;147,20;105,60;99,20;153,60;96,00;352,00;53,33;10,67;224,00;301,71;18,29;77,71;18,29;77,71;38,10;44,19;8,62;25,85;29,54;17,23;6,00;4,00;7,00;4,00;14,00;3,00;4,00
2019-01-27;53,00;551,20;646,60;137,80;392,20;410,75;3,31;251,75;99,38;146,53;62,35;118,47;115,35;97,17;282,67;70,67;8,83;216,42;265,00;17,67;61,83;16,66;68,14;27,26;37,86;16,02;24,65;19,72;11,09;8,00;1,00;4,00;11,00;17,00;0,00;0,00
2019-02-03;49,00;673,75;759,50;159,25;416,50;469,00;3,50;280,00;91,00;153,13;88,81;94,94;150,06;98,00;313,60;58,80;9,80;204,91;289,55;22,27;62,36;16,33;66,82;35,64;44,55;19,60;22,05;29,40;9,80;4,00;3,00;4,00;7,00;12,00;0,00;1,00
2019-02-10;43,00;580,50;698,75;161,25;365,50;487,33;3,58;301,00;86,00;129,00;73,71;119,79;144,36;118,25;365,50;75,25;10,75;193,50;262,30;12,90;81,70;13,82;70,64;36,86;50,68;11,06;25,80;20,89;13,51;10,00;0,00;1,00;7,00;12,00;1,00;1,00
2019-02-17;55,00;638,00;715,00;110,00;429,00;481,25;0,00;288,75;89,38;149,72;88,61;140,56;137,50;91,67;293,33;45,83;18,33;177,69;304,62;12,69;84,62;32,70;83,24;32,70;41,62;13,44;26,89;25,67;15,89;1,00;6,00;3,00;4,00;12,00;4,00;3,00
2019-02-24;34,00;612,00;748,00;158,67;442,00;496,40;6,80;272,00;81,60;157,64;80,36;114,36;148,36;85,00;289,00;34,00;8,50;191,25;306,00;8,50;68,00;21,64;43,27;38,64;52,55;10,93;27,93;27,93;13,36;5,00;3,00;3,00;3,00;14,00;4,00;3,00
2019-03-03;39,00;806,00;923,00;182,00;507,00;513,50;3,25;344,50;91,00;175,50;87,75;133,25;156,00;156,00;331,50;58,50;9,75;229,67;307,67;13,00;78,00;19,50;60,00;49,50;43,50;20,72;31,69;19,50;18,28;1,00;6,00;7,00;6,00;15,00;0,00;1,00
2019-03-10;47,00;728,50;752,00;176,25;470,00;530,43;6,71;308,86;107,43;141,00;84,60;109,67;159,80;131,60;347,80;56,40;9,40;175,18;346,09;17,09;81,18;16,68;66,71;39,42;54,58;12,37;43,29;38,34;18,55;8,00;6,00;1,00;6,00;11,00;1,00;1,00
