Semaine;Guyane (GF);Dominique (DM);Suriname (SR);Guyana (GY)
2019-01-06;8,00;38,00;4,00;72,00
2019-01-13;4,00;44,00;4,00;48,00
2019-01-20;7,00;30,00;0,00;48,00
2019-01-27;4,00;11,00;18,00;59,00
2019-02-03;4,00;65,00;4,00;29,00
2019-02-10;4,00;22,00;0,00;55,00
2019-02-17;7,00;37,00;15,00;55,00
2019-02-24;7,00;22,00;4,00;54,00
2019-03-03;4,00;22,00;0,00;77,00
2019-03-10;0,00;37,00;7,00;60,00
2019-03-17;15,00;26,00;0,00;49,00
2019-03-24;8,00;19,00;11,00;50,00
2019-03-31;4,00;15,00;0,00;38,00
2019-04-07;4,00;27,00;8,00;38,00
2019-04-14;0,00;19,00;4,00;58,00
2019-04-21;8,00;8,00;12,00;54,00
2019-04-28;7,00;30,00;4,00;41,00
2019-05-05;0,00;19,00;4,00;61,00
2019-05-12;8,00;8,00;4,00;43,00
2019-05-19;4,00;16,00;12,00;27,00
2019-05-26;16,00;16,00;12,00;67,00
2019-06-02;4,00;4,00;0,00;65,00
2019-06-09;4,00;16,00;12,00;66,00
2019-06-16;8,00;12,00;15,00;100,00
2019-06-23;16,00;8,00;12,00;48,00
2019-06-30;12,00;12,00;4,00;36,00
2019-07-07;12,00;27,00;4,00;58,00
2019-07-14;0,00;8,00;16,00;74,00
2019-07-21;0,00;20,00;4,00;16,00
2019-07-28;4,00;16,00;8,00;63,00
2019-08-04;4,00;19,00;0,00;66,00
2019-08-11;8,00;27,00;8,00;42,00
2019-08-18;0,00;4,00;4,00;38,00
2019-08-25;11,00;11,00;4,00;18,00
2019-09-01;14,00;25,00;0,00;64,00
2019-09-08;7,00;18,00;4,00;74,00
2019-09-15;7,00;7,00;10,00;49,00
2019-09-22;11,00;32,00;7,00;50,00
2019-09-29;7,00;21,00;4,00;61,00
2019-10-06;4,00;18,00;7,00;39,00
2019-10-13;11,00;25,00;7,00;43,00
2019-10-20;17,00;10,00;7,00;42,00
2019-10-27;11,00;25,00;4,00;46,00
2019-11-03;3,00;24,00;14,00;52,00
2019-11-10;7,00;17,00;14,00;51,00
2019-11-17;7,00;21,00;7,00;55,00
2019-11-24;4,00;22,00;4,00;44,00
2019-12-01;7,00;31,00;7,00;48,00
2019-12-08;3,00;34,00;10,00;48,00
2019-12-15;7,00;28,00;0,00;60,00
2019-12-22;12,00;36,00;4,00;52,00
2019-12-29;7,00;30,00;7,00;59,00
2020-01-05;7,00;31,00;10,00;89,00
2020-01-12;10,00;26,00;10,00;85,00
2020-01-19;14,00;31,00;20,00;51,00
2020-01-26;20,00;20,00;7,00;77,00
2020-02-02;3,00;56,00;7,00;83,00
2020-02-09;10,00;33,00;7,00;40,00
2020-02-16;3,00;43,00;3,00;73,00
2020-02-23;0,00;6,00;10,00;61,00
2020-03-01;3,00;16,00;13,00;68,00
2020-03-08;0,00;29,00;0,00;77,00
2020-03-15;9,00;22,00;16,00;78,00
2020-03-22;3,00;3,00;3,00;56,00
2020-03-29;3,00;6,00;0,00;33,00
2020-04-05;0,00;9,00;3,00;30,00
2020-04-12;24,00;15,00;6,00;42,00
2020-04-19;3,00;12,00;0,00;35,00
2020-04-26;6,00;9,00;3,00;47,00
2020-05-03;12,00;12,00;3,00;36,00
2020-05-10;9,00;9,00;6,00;27,00
2020-05-17;12,00;18,00;0,00;31,00
2020-05-24;6,00;16,00;9,00;72,00
2020-05-31;6,00;21,00;0,00;39,00
2020-06-07;3,00;12,00;6,00;58,00
2020-06-14;0,00;16,00;6,00;45,00
2020-06-21;13,00;16,00;6,00;32,00
2020-06-28;10,00;13,00;7,00;33,00
2020-07-05;0,00;0,00;7,00;33,00
2020-07-12;3,00;7,00;7,00;36,00
2020-07-19;7,00;16,00;7,00;36,00
2020-07-26;13,00;13,00;3,00;87,00
2020-08-02;10,00;17,00;10,00;60,00
2020-08-09;13,00;10,00;3,00;50,00
2020-08-16;0,00;23,00;7,00;49,00
2020-08-23;3,00;6,00;3,00;42,00
2020-08-30;6,00;22,00;0,00;19,00
2020-09-06;3,00;9,00;6,00;41,00
2020-09-13;9,00;12,00;3,00;25,00
2020-09-20;13,00;28,00;13,00;35,00
2020-09-27;13,00;7,00;0,00;43,00
2020-10-04;14,00;10,00;10,00;41,00
2020-10-11;0,00;19,00;0,00;44,00
2020-10-18;4,00;11,00;8,00;34,00
2020-10-25;7,00;15,00;0,00;60,00
2020-11-01;6,00;6,00;3,00;34,00
2020-11-08;7,00;18,00;4,00;67,00
2020-11-15;22,00;18,00;4,00;51,00
2020-11-22;8,00;23,00;8,00;30,00
2020-11-29;7,00;28,00;11,00;36,00
2020-12-06;14,00;4,00;0,00;22,00
2020-12-13;4,00;22,00;4,00;51,00
2020-12-20;4,00;27,00;8,00;54,00
2020-12-27;8,00;15,00;4,00;45,00
2021-01-03;0,00;21,00;14,00;59,00
2021-01-10;7,00;18,00;14,00;60,00
2021-01-17;4,00;21,00;7,00;39,00
2021-01-24;7,00;0,00;11,00;53,00
2021-01-31;18,00;14,00;7,00;61,00
2021-02-07;4,00;14,00;4,00;32,00
2021-02-14;4,00;18,00;4,00;40,00
2021-02-21;7,00;22,00;18,00;55,00
2021-02-28;11,00;11,00;7,00;22,00
2021-03-07;4,00;22,00;0,00;47,00
2021-03-14;3,00;10,00;0,00;54,00
2021-03-21;4,00;33,00;7,00;54,00
2021-03-28;11,00;15,00;18,00;41,00
2021-04-04;4,00;22,00;4,00;70,00
2021-04-11;7,00;25,00;11,00;68,00
2021-04-18;7,00;29,00;18,00;55,00
2021-04-25;7,00;15,00;4,00;36,00
2021-05-02;7,00;29,00;18,00;84,00
2021-05-09;7,00;26,00;4,00;67,00
2021-05-16;4,00;22,00;4,00;37,00
2021-05-23;18,00;7,00;15,00;96,00
2021-05-30;4,00;27,00;8,00;68,00
2021-06-06;0,00;15,00;4,00;70,00
2021-06-13;0,00;11,00;7,00;60,00
2021-06-20;15,00;34,00;11,00;68,00
2021-06-27;8,00;19,00;0,00;64,00
2021-07-04;4,00;23,00;8,00;42,00
2021-07-11;4,00;7,00;22,00;30,00
2021-07-18;11,00;30,00;4,00;38,00
2021-07-25;11,00;15,00;0,00;60,00
2021-08-01;0,00;26,00;4,00;98,00
2021-08-08;0,00;11,00;0,00;49,00
2021-08-15;0,00;19,00;7,00;49,00
2021-08-22;4,00;11,00;8,00;57,00
2021-08-29;8,00;27,00;8,00;42,00
2021-09-05;0,00;8,00;16,00;40,00
2021-09-12;0,00;4,00;13,00;76,00
