Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;32,00;2,00;46,00;1,00;2,00
2019-01-13;30,00;1,00;30,00;1,00;1,00
2019-01-20;33,00;3,00;44,00;1,00;3,00
2019-01-27;27,00;2,00;39,00;1,00;2,00
2019-02-03;23,00;1,00;36,00;1,00;2,00
2019-02-10;26,00;1,00;33,00;1,00;0,50
2019-02-17;27,00;2,00;44,00;2,00;1,00
2019-02-24;24,00;1,00;35,00;0,50;1,00
2019-03-03;24,00;2,00;48,00;1,00;2,00
2019-03-10;23,00;2,00;41,00;2,00;1,00
2019-03-17;23,00;2,00;41,00;1,00;1,00
2019-03-24;22,00;5,00;32,00;2,00;3,00
2019-03-31;21,00;2,00;33,00;1,00;1,00
2019-04-07;19,00;2,00;35,00;1,00;0,50
2019-04-14;22,00;2,00;31,00;1,00;2,00
2019-04-21;21,00;2,00;37,00;1,00;1,00
2019-04-28;22,00;1,00;34,00;1,00;2,00
2019-05-05;19,00;2,00;42,00;1,00;1,00
2019-05-12;24,00;3,00;41,00;1,00;1,00
2019-05-19;25,00;2,00;37,00;1,00;3,00
2019-05-26;24,00;2,00;39,00;1,00;2,00
2019-06-02;21,00;1,00;100,00;1,00;2,00
2019-06-09;24,00;1,00;45,00;1,00;1,00
2019-06-16;22,00;1,00;35,00;0,00;3,00
2019-06-23;20,00;1,00;35,00;2,00;2,00
2019-06-30;23,00;2,00;32,00;1,00;2,00
2019-07-07;18,00;2,00;36,00;1,00;4,00
2019-07-14;17,00;4,00;44,00;1,00;3,00
2019-07-21;27,00;2,00;36,00;1,00;2,00
2019-07-28;23,00;1,00;32,00;2,00;2,00
2019-08-04;24,00;2,00;47,00;1,00;1,00
2019-08-11;24,00;1,00;30,00;1,00;2,00
2019-08-18;22,00;2,00;30,00;0,00;2,00
2019-08-25;26,00;2,00;32,00;2,00;3,00
2019-09-01;18,00;1,00;34,00;0,50;1,00
2019-09-08;22,00;2,00;27,00;0,50;2,00
2019-09-15;19,00;3,00;34,00;1,00;1,00
2019-09-22;17,00;2,00;36,00;2,00;2,00
2019-09-29;18,00;2,00;30,00;2,00;1,00
2019-10-06;20,00;2,00;29,00;2,00;1,00
2019-10-13;19,00;1,00;28,00;1,00;2,00
2019-10-20;23,00;2,00;31,00;2,00;1,00
2019-10-27;21,00;1,00;22,00;0,50;2,00
2019-11-03;22,00;2,00;26,00;2,00;2,00
2019-11-10;21,00;2,00;30,00;1,00;1,00
2019-11-17;15,00;3,00;29,00;1,00;2,00
2019-11-24;18,00;4,00;23,00;2,00;2,00
2019-12-01;18,00;3,00;27,00;1,00;1,00
2019-12-08;19,00;1,00;30,00;2,00;1,00
2019-12-15;19,00;3,00;35,00;1,00;2,00
2019-12-22;21,00;3,00;46,00;2,00;2,00
2019-12-29;26,00;3,00;39,00;1,00;2,00
2020-01-05;26,00;4,00;41,00;2,00;6,00
2020-01-12;24,00;4,00;42,00;3,00;3,00
2020-01-19;26,00;2,00;38,00;2,00;3,00
2020-01-26;25,00;3,00;33,00;3,00;2,00
2020-02-02;21,00;3,00;32,00;1,00;2,00
2020-02-09;20,00;2,00;36,00;1,00;4,00
2020-02-16;22,00;3,00;37,00;3,00;3,00
2020-02-23;20,00;2,00;34,00;2,00;3,00
2020-03-01;21,00;1,00;34,00;1,00;3,00
2020-03-08;21,00;2,00;38,00;1,00;1,00
2020-03-15;21,00;1,00;25,00;1,00;1,00
2020-03-22;14,00;2,00;28,00;1,00;3,00
2020-03-29;14,00;2,00;24,00;0,50;2,00
2020-04-05;16,00;2,00;36,00;5,00;1,00
2020-04-12;16,00;1,00;26,00;2,00;1,00
2020-04-19;15,00;3,00;38,00;1,00;2,00
2020-04-26;14,00;2,00;30,00;1,00;3,00
2020-05-03;13,00;1,00;27,00;2,00;1,00
