Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;34,00;85,89;37,58;3,58;55,47;45,33;41,21;37,09;34,00;31,00;31,00;15,00;38,00;22,31;4,25;4,25;11,69;0,00;19,00;8,00;0,00;8,00;0,00;0,00;8,00;0,00;8,00;8,00;4,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;35,00;88,42;46,05;0,00;38,68;30,76;39,24;42,42;35,00;12,00;27,00;12,00;23,00;4,38;0,00;12,03;12,03;8,00;8,00;8,00;0,00;0,00;12,00;31,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;22,00;77,00;55,00;0,00;22,00;62,86;36,67;40,86;18,86;63,00;22,00;22,00;41,00;17,81;7,33;7,33;10,48;4,00;15,00;11,00;7,00;4,00;4,00;11,00;7,00;4,00;0,00;0,00;0,00;0,00;4,00;7,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-01-27;26,00;81,71;59,43;3,71;26,00;41,17;30,33;15,17;41,17;26,00;15,00;4,00;40,00;36,83;3,25;3,25;10,83;4,00;29,00;4,00;7,00;11,00;7,00;7,00;4,00;15,00;4,00;0,00;4,00;4,00;7,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;19,00;70,30;36,10;0,00;43,70;39,06;39,06;27,44;34,83;27,00;23,00;42,00;65,00;22,17;7,39;11,61;7,39;12,00;12,00;8,00;4,00;4,00;8,00;4,00;11,00;8,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-02-10;50,00;61,11;53,70;3,70;18,52;34,38;53,13;38,54;41,67;31,00;12,00;8,00;42,00;14,89;7,45;14,89;30,85;12,00;8,00;4,00;8,00;12,00;4,00;8,00;0,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;23,00;60,15;44,23;0,00;67,23;47,05;42,86;23,00;34,50;43,00;8,00;20,00;35,00;18,82;7,32;14,64;0,00;0,00;8,00;8,00;8,00;12,00;4,00;4,00;8,00;8,00;8,00;0,00;0,00;4,00;8,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-02-24;27,00;104,14;30,86;0,00;44,36;82,08;50,76;35,64;35,64;23,00;11,00;15,00;42,00;19,44;7,56;11,88;15,12;15,00;4,00;0,00;0,00;4,00;4,00;11,00;0,00;11,00;4,00;11,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-03-03;24,00;79,38;42,46;3,69;27,69;49,09;32,73;16,36;16,36;27,00;27,00;31,00;31,00;19,64;7,64;7,64;24,00;12,00;0,00;4,00;4,00;4,00;12,00;4,00;4,00;8,00;4,00;0,00;12,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;27,00;79,07;30,86;0,00;15,43;38,88;58,32;19,44;46,44;15,00;23,00;27,00;68,00;19,44;0,00;7,56;19,44;11,00;23,00;4,00;4,00;0,00;15,00;15,00;4,00;4,00;0,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-03-17;47,00;103,40;43,24;0,00;63,92;50,13;54,31;47,00;27,16;27,00;27,00;19,00;43,00;30,98;4,27;11,75;19,23;4,00;4,00;4,00;12,00;8,00;4,00;4,00;8,00;12,00;4,00;12,00;8,00;0,00;20,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-03-24;8,00;124,00;38,00;4,00;38,00;26,00;45,00;30,00;49,00;55,00;36,00;16,00;71,00;33,14;12,57;12,57;8,00;16,00;20,00;0,00;4,00;20,00;4,00;4,00;4,00;20,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;50,00;142,59;38,89;3,70;57,41;38,30;54,26;46,81;19,15;38,00;30,00;19,00;42,00;34,78;4,35;15,22;7,61;19,00;23,00;11,00;19,00;0,00;4,00;8,00;8,00;11,00;4,00;8,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;37,00;185,00;64,75;0,00;20,35;28,54;45,46;28,54;16,91;45,00;53,00;20,00;66,00;24,31;15,86;8,46;35,94;25,00;16,00;4,00;16,00;16,00;4,00;12,00;0,00;12,00;0,00;0,00;0,00;8,00;8,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;51,00;142,07;80,14;0,00;45,54;29,75;64,81;38,25;55,25;34,00;17,00;25,00;30,00;41,44;8,50;8,50;17,00;25,00;8,00;13,00;8,00;4,00;13,00;13,00;21,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;28,00;112,00;28,00;0,00;16,80;40,92;57,08;32,31;36,62;43,00;16,00;8,00;36,00;23,69;0,00;11,85;19,38;4,00;16,00;20,00;0,00;4,00;4,00;8,00;0,00;16,00;4,00;8,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2019-04-28;29,00;94,25;43,50;0,00;18,13;36,25;43,50;18,64;65,25;55,00;15,00;22,00;15,00;49,71;3,11;17,61;10,36;11,00;11,00;0,00;11,00;11,00;4,00;11,00;11,00;7,00;0,00;4,00;0,00;0,00;11,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;26,00;70,57;37,14;0,00;33,43;36,40;26,00;43,68;36,40;29,00;22,00;40,00;59,00;26,00;7,58;7,58;7,58;15,00;11,00;7,00;11,00;7,00;15,00;7,00;11,00;7,00;0,00;0,00;0,00;7,00;7,00;0,00;7,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;49,00;145,19;45,37;3,63;34,48;71,94;41,70;22,94;53,17;53,00;30,00;27,00;30,00;37,28;7,46;34,09;11,72;19,00;19,00;19,00;15,00;15,00;11,00;4,00;0,00;4,00;4,00;15,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;33,00;121,00;36,67;0,00;36,67;61,88;36,09;14,44;43,31;29,00;15,00;29,00;40,00;28,74;21,29;10,65;7,45;29,00;11,00;7,00;11,00;4,00;22,00;7,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;45,00;118,13;30,00;0,00;30,00;55,47;40,81;48,14;40,81;63,00;19,00;26,00;49,00;48,21;15,00;7,50;18,21;15,00;26,00;7,00;4,00;7,00;7,00;11,00;7,00;4,00;7,00;7,00;4,00;15,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;53,00;133,41;42,03;0,00;38,38;85,86;49,82;53,00;49,82;28,00;28,00;14,00;70,00;24,38;13,78;21,20;27,56;11,00;7,00;18,00;7,00;4,00;7,00;14,00;4,00;0,00;4,00;0,00;4,00;0,00;18,00;4,00;0,00;4,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;33,00;148,50;51,33;0,00;36,67;59,61;40,45;44,71;47,90;40,00;33,00;29,00;40,00;57,48;10,65;14,90;10,65;7,00;22,00;15,00;4,00;11,00;15,00;15,00;18,00;4,00;7,00;7,00;0,00;0,00;7,00;4,00;7,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;41,00;113,68;7,45;0,00;54,05;41,00;56,77;33,64;37,85;64,00;23,00;8,00;53,00;51,51;7,36;14,72;10,51;15,00;26,00;19,00;15,00;0,00;4,00;7,00;4,00;0,00;0,00;0,00;4,00;4,00;8,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;37,00;133,20;57,35;7,40;61,05;72,94;44,40;52,86;57,09;40,00;24,00;20,00;32,00;53,32;8,71;16,32;25,03;12,00;24,00;4,00;16,00;16,00;20,00;28,00;12,00;0,00;4,00;16,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-06-30;69,00;147,32;37,30;0,00;24,24;56,45;44,95;73,18;69,00;61,00;28,00;41,00;24,00;56,26;24,42;24,42;24,42;20,00;37,00;4,00;8,00;8,00;12,00;12,00;12,00;0,00;0,00;8,00;4,00;4,00;16,00;0,00;4,00;4,00;0,00;4,00;8,00;4,00;0,00;4,00;0,00;8,00;4,00
2019-07-07;90,00;148,78;45,92;3,67;42,24;78,49;66,98;58,60;74,30;59,00;43,00;23,00;51,00;49,76;19,06;19,06;15,88;24,00;16,00;20,00;27,00;8,00;8,00;16,00;4,00;4,00;12,00;12,00;4,00;0,00;20,00;0,00;0,00;0,00;4,00;0,00;8,00;4,00;0,00;4,00;0,00;4,00;0,00
2019-07-14;46,00;172,96;46,00;3,68;46,00;71,09;83,64;66,91;58,55;46,00;21,00;25,00;55,00;87,72;12,84;41,72;33,16;34,00;72,00;8,00;42,00;0,00;8,00;13,00;13,00;4,00;0,00;25,00;13,00;8,00;4,00;21,00;4,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;52,00;148,57;35,29;3,71;42,71;82,78;87,02;82,78;57,31;52,00;30,00;30,00;47,00;55,18;29,71;50,94;42,45;17,00;17,00;4,00;48,00;17,00;13,00;4,00;26,00;4,00;13,00;9,00;9,00;4,00;4,00;13,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;67,00;152,61;53,97;0,00;29,78;62,81;104,69;87,94;54,44;46,00;42,00;17,00;34,00;28,71;8,51;24,46;41,48;13,00;25,00;8,00;13,00;8,00;13,00;4,00;4,00;13,00;0,00;13,00;0,00;8,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;42,00;158,45;72,55;3,82;34,36;95,55;61,95;53,55;66,15;66,00;29,00;12,00;29,00;33,38;4,31;20,46;12,92;29,00;8,00;12,00;25,00;12,00;12,00;21,00;8,00;37,00;0,00;0,00;8,00;12,00;0,00;4,00;4,00;0,00;4,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-08-11;44,00;163,17;67,83;7,33;51,33;63,90;55,52;48,19;63,90;52,00;52,00;24,00;36,00;39,71;7,51;39,71;23,61;28,00;36,00;0,00;12,00;20,00;4,00;16,00;4,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;37,00;123,95;57,35;3,70;24,05;66,60;53,91;37,00;41,23;74,00;25,00;25,00;33,00;35,94;4,23;72,94;24,31;21,00;25,00;0,00;12,00;4,00;12,00;8,00;8,00;4,00;0,00;12,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;35,00;112,37;38,68;3,68;11,05;46,32;46,32;57,65;49,41;20,00;23,00;20,00;35,00;26,52;19,09;57,27;11,67;16,00;16,00;16,00;23,00;4,00;4,00;0,00;4,00;4,00;8,00;8,00;4,00;8,00;8,00;8,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-09-01;57,00;147,10;82,74;0,00;18,39;68,61;42,22;57,00;61,22;46,00;23,00;34,00;34,00;34,42;0,00;19,36;11,83;15,00;38,00;0,00;11,00;27,00;4,00;8,00;4,00;0,00;8,00;8,00;0,00;4,00;4,00;0,00;0,00;8,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;50,00;170,37;53,70;0,00;46,30;53,13;41,67;57,29;41,67;35,00;38,00;4,00;31,00;48,94;0,00;11,70;14,89;27,00;8,00;12,00;4,00;11,00;0,00;8,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;43,00;100,96;46,74;3,74;28,04;38,80;27,27;50,34;23,07;19,00;31,00;58,00;39,00;19,35;11,83;19,35;0,00;4,00;12,00;8,00;8,00;12,00;8,00;8,00;4,00;0,00;4,00;12,00;0,00;0,00;8,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;40,00;100,00;49,09;3,64;25,45;57,89;43,16;22,11;32,63;25,00;22,00;22,00;33,00;21,62;10,81;18,38;7,57;18,00;18,00;11,00;0,00;11,00;0,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;29,00;92,44;47,13;3,63;29,00;49,71;49,71;29,00;21,75;18,00;40,00;11,00;36,00;7,52;0,00;0,00;7,52;0,00;11,00;15,00;7,00;0,00;14,00;11,00;14,00;7,00;7,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;51,00;89,25;43,71;3,64;25,50;39,55;32,27;29,14;10,41;11,00;33,00;22,00;29,00;14,88;3,19;18,06;0,00;7,00;11,00;4,00;4,00;0,00;0,00;7,00;4,00;4,00;4,00;4,00;0,00;0,00;7,00;0,00;4,00;0,00;4,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
