Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;66,00;66,00;56,10;66,00;54,45;87,45;132,00;165,00;99,00;44,00;11,00;110,00;22,00;11,00;33,00;22,00;33,00;22,00;44,00;0,00;22,00;11,00;22,00;11,00;0,00;44,00;0,00;22,00;11,00;11,00;0,00;0,00;0,00;11,00;11,00;11,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;100,00;67,21;44,26;44,26;44,26;78,33;90,00;90,00;45,00;32,97;65,93;43,96;54,95;22,00;45,00;22,00;33,00;44,00;22,00;33,00;33,00;33,00;0,00;33,00;0,00;22,00;33,00;11,00;11,00;33,00;22,00;11,00;0,00;22,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;43,00;150,50;43,00;64,50;64,50;31,42;52,92;43,00;21,50;31,97;31,97;31,97;31,97;21,00;11,00;43,00;43,00;21,00;21,00;11,00;11,00;0,00;32,00;11,00;0,00;0,00;0,00;0,00;11,00;21,00;11,00;11,00;11,00;0,00;0,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;32,00;129,68;53,89;53,89;43,79;75,79;85,89;43,79;64,00;32,00;41,93;41,93;20,97;32,00;32,00;32,00;32,00;32,00;0,00;32,00;11,00;21,00;21,00;0,00;11,00;11,00;32,00;11,00;11,00;21,00;21,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2019-02-03;55,00;32,35;43,68;55,00;43,68;21,67;66,67;78,33;33,33;33,00;0,00;22,00;11,00;33,00;33,00;11,00;22,00;22,00;0,00;22,00;11,00;33,00;0,00;11,00;0,00;0,00;11,00;11,00;11,00;11,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;22,00;53,43;64,43;31,43;42,43;22,00;22,00;57,54;22,00;33,00;11,00;22,00;22,00;11,00;0,00;22,00;0,00;11,00;11,00;11,00;11,00;11,00;33,00;22,00;11,00;0,00;22,00;11,00;11,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;34,00;34,00;43,71;55,05;77,71;34,00;57,80;23,80;23,80;0,00;21,94;55,94;21,94;11,00;11,00;0,00;68,00;11,00;34,00;11,00;11,00;11,00;0,00;11,00;0,00;0,00;11,00;11,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00
2019-02-24;33,00;99,00;110,55;87,45;44,55;99,00;108,90;21,45;75,90;55,00;22,00;33,00;33,00;0,00;22,00;55,00;11,00;11,00;55,00;0,00;33,00;22,00;11,00;11,00;0,00;44,00;11,00;0,00;22,00;11,00;33,00;0,00;0,00;0,00;11,00;11,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;34,00;55,05;134,38;77,71;34,00;69,70;105,40;57,80;81,60;34,00;55,94;34,00;10,97;11,00;34,00;11,00;23,00;11,00;56,00;23,00;56,00;11,00;23,00;23,00;0,00;11,00;0,00;0,00;23,00;23,00;0,00;23,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;55,00;55,00;166,67;55,00;21,67;66,67;76,67;66,67;76,67;44,00;33,00;11,00;11,00;11,00;0,00;22,00;44,00;22,00;11,00;0,00;11,00;0,00;22,00;0,00;0,00;0,00;0,00;11,00;22,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;34,00;81,60;23,80;11,90;34,00;45,90;79,90;45,90;34,00;10,97;10,97;10,97;10,97;23,00;11,00;11,00;11,00;34,00;22,00;0,00;22,00;0,00;11,00;34,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;11,00;44,00;22,00;0,00;0,00;44,00;44,00;44,00;11,00;11,00;11,00;0,00;0,00;0,00;23,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;11,00;0,00;0,00;23,00;11,00;11,00;23,00;11,00;11,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;44,00;65,19;65,19;86,37;44,00;55,85;67,69;11,85;67,69;22,00;11,00;44,00;11,00;11,00;11,00;0,00;22,00;11,00;0,00;11,00;11,00;0,00;0,00;22,00;0,00;33,00;44,00;11,00;0,00;0,00;11,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00
2019-04-07;24,00;49,71;85,71;49,71;73,71;36,00;24,00;0,00;49,71;12,57;12,57;12,57;24,00;12,00;12,00;0,00;0,00;0,00;24,00;24,00;12,00;24,00;0,00;12,00;0,00;12,00;0,00;0,00;12,00;24,00;0,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;24,00;11,20;0,00;0,00;0,00;24,00;11,20;0,00;11,20;12,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;12,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;57,00;22,80;0,00;34,20;45,60;11,74;23,47;23,47;11,74;10,96;10,96;0,00;57,00;11,00;0,00;11,00;11,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;21,00;21,00;0,00;21,00;21,00;9,69;0,00;30,69;9,69;21,00;11,05;0,00;21,00;0,00;11,00;0,00;0,00;11,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;11,00;23,83;0,00;0,00;11,00;11,00;0,00;11,00;23,83;11,00;11,00;11,00;11,00;32,00;11,00;11,00;0,00;11,00;11,00;21,00;0,00;0,00;11,00;11,00;0,00;11,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;33,00;0,00;0,00;11,55;11,55;11,55;11,55;11,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;11,00;22,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00
2019-05-19;21,00;30,69;21,00;9,69;0,00;0,00;9,69;21,00;0,00;0,00;0,00;11,05;11,05;21,00;11,00;11,00;21,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;11,00;11,00;0,00;0,00;0,00;12,83;0,00;12,83;12,83;0,00;0,00;0,00;0,00;22,00;11,00;0,00;11,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;51,00;0,00;19,74;9,87;9,87;9,87;0,00;29,61;0,00;0,00;9,98;9,98;0,00;0,00;0,00;0,00;0,00;0,00;10,00;40,00;0,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;32,00;32,00;21,89;32,00;0,00;0,00;0,00;42,11;0,00;0,00;0,00;0,00;32,00;21,00;11,00;0,00;0,00;10,00;10,00;31,00;10,00;0,00;10,00;10,00;0,00;0,00;10,00;0,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;33,00;11,55;33,00;21,45;11,55;11,55;11,55;0,00;11,55;0,00;0,00;0,00;11,00;11,00;0,00;22,00;0,00;11,00;0,00;32,00;22,00;11,00;22,00;0,00;0,00;11,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;23,00;0,00;23,00;0,00;11,50;11,50;11,50;46,00;0,00;0,00;0,00;12,05;0,00;12,00;0,00;12,00;12,00;12,00;12,00;35,00;0,00;0,00;0,00;0,00;0,00;23,00;35,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;47,00;0,00;11,34;0,00;22,69;23,50;0,00;23,50;11,75;12,02;0,00;22,95;0,00;12,00;12,00;12,00;12,00;0,00;12,00;23,00;12,00;12,00;0,00;12,00;0,00;0,00;35,00;0,00;0,00;0,00;12,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;45,00;11,67;11,67;0,00;0,00;11,67;11,67;11,67;11,67;0,00;0,00;21,95;21,95;23,00;23,00;23,00;23,00;0,00;11,00;68,00;11,00;11,00;11,00;23,00;0,00;0,00;0,00;0,00;11,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;61,00;24,73;24,73;11,54;36,27;0,00;47,81;24,73;11,54;0,00;0,00;12,20;0,00;0,00;12,00;12,00;37,00;24,00;0,00;0,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;12,00;79,50;45,00;12,00;45,00;13,71;25,71;65,14;25,71;0,00;0,00;12,00;0,00;0,00;13,00;25,00;0,00;12,00;0,00;37,00;0,00;12,00;0,00;0,00;0,00;0,00;12,00;25,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
