Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;34,00;317,33;204,00;102,00;68,00;119,00;74,80;85,00;85,00;77,15;61,46;61,46;53,62;74,38;85,00;42,50;23,38;46,00;23,00;15,00;57,00;23,00;38,00;19,00;4,00;11,00;19,00;15,00;15,00;8,00;4,00;4,00;4,00;4,00;4,00;4,00
2019-01-13;35,00;256,67;210,00;140,00;128,33;131,25;70,00;70,00;131,25;49,26;95,93;57,04;64,81;41,18;63,82;49,41;30,88;12,00;39,00;35,00;39,00;39,00;31,00;19,00;42,00;8,00;12,00;15,00;27,00;4,00;4,00;4,00;0,00;8,00;8,00;0,00
2019-01-20;22,00;231,00;242,00;99,00;99,00;108,31;67,69;67,69;93,08;55,65;58,24;69,88;55,65;74,00;56,00;32,00;18,00;33,00;71,00;11,00;37,00;22,00;11,00;30,00;11,00;19,00;33,00;11,00;7,00;11,00;7,00;7,00;11,00;11,00;0,00;4,00
2019-01-27;26,00;260,00;247,00;156,00;104,00;119,60;83,20;105,73;116,13;50,70;87,10;44,20;72,80;49,83;95,33;34,67;6,50;33,00;44,00;26,00;33,00;22,00;26,00;15,00;18,00;7,00;33,00;4,00;7,00;15,00;4,00;7,00;4,00;4,00;0,00;4,00
2019-02-03;19,00;342,00;456,00;285,00;228,00;155,45;57,00;95,00;82,91;86,13;70,93;44,33;63,33;84,44;69,67;8,44;19,00;27,00;38,00;8,00;23,00;42,00;19,00;8,00;12,00;19,00;31,00;4,00;12,00;12,00;8,00;0,00;12,00;4,00;0,00;0,00
2019-02-10;50,00;312,50;212,50;162,50;112,50;110,34;94,83;113,79;129,31;115,79;50,00;61,84;69,74;41,67;72,92;45,83;12,50;31,00;62,00;19,00;31,00;15,00;23,00;27,00;23,00;12,00;27,00;4,00;12,00;8,00;4,00;4,00;8,00;8,00;4,00;8,00
2019-02-17;23,00;241,50;172,50;161,00;103,50;109,69;74,31;67,23;125,62;92,00;57,50;57,50;99,67;89,91;73,18;31,36;18,82;27,00;47,00;4,00;23,00;35,00;23,00;12,00;31,00;16,00;4,00;8,00;8,00;12,00;4,00;0,00;0,00;12,00;4,00;0,00
2019-02-24;27,00;405,00;270,00;256,50;108,00;133,20;93,60;120,60;124,20;74,25;63,45;39,15;74,25;56,08;78,92;27,00;27,00;30,00;38,00;34,00;19,00;19,00;23,00;34,00;23,00;38,00;23,00;4,00;11,00;19,00;19,00;4,00;4,00;11,00;4,00;4,00
2019-03-03;24,00;312,00;192,00;192,00;132,00;149,54;99,69;123,69;116,31;76,00;40,00;32,00;84,00;78,55;80,73;8,73;37,09;51,00;47,00;28,00;35,00;28,00;39,00;0,00;12,00;39,00;12,00;4,00;0,00;8,00;16,00;0,00;16,00;4,00;0,00;4,00
2019-03-10;27,00;310,50;256,50;162,00;148,50;120,60;77,40;93,60;113,40;39,15;66,15;78,30;59,40;83,08;51,92;18,69;27,00;30,00;61,00;30,00;30,00;27,00;8,00;4,00;11,00;27,00;15,00;8,00;4,00;8,00;0,00;4,00;4,00;8,00;4,00;4,00
