Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;35,00;10,61;3,18;0,00;45,61;4,00;0,00;18,00;4,00;21,00;4,00;35,00;42,00;25,00;7,00;11,00;11,00;21,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;58,00;3,22;0,00;0,00;44,04;0,00;11,00;0,00;7,00;7,00;0,00;40,00;4,00;18,00;4,00;22,00;11,00;11,00;0,00;11,00;4,00;0,00;0,00;7,00;0,00;4,00;7,00;22,00;0,00;4,00;4,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;72,00;10,75;7,52;0,00;32,24;0,00;0,00;4,00;0,00;21,00;0,00;18,00;4,00;11,00;4,00;0,00;11,00;21,00;4,00;11,00;0,00;0,00;4,00;4,00;0,00;4,00;4,00;7,00;14,00;0,00;7,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;42,00;6,46;6,46;6,46;38,77;3,00;7,00;7,00;0,00;10,00;0,00;24,00;0,00;7,00;14,00;14,00;3,00;10,00;0,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;7,00;7,00;14,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;52,00;0,00;7,58;0,00;29,25;15,00;0,00;7,00;0,00;4,00;0,00;15,00;4,00;4,00;15,00;11,00;15,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;18,00;4,00;0,00;7,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-02-10;22,00;3,14;7,33;0,00;22,00;0,00;4,00;4,00;0,00;7,00;7,00;19,00;0,00;19,00;11,00;4,00;11,00;11,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;30,00;7,50;3,21;0,00;18,21;7,00;0,00;0,00;0,00;15,00;0,00;15,00;7,00;15,00;7,00;7,00;11,00;4,00;0,00;4,00;0,00;0,00;0,00;7,00;0,00;4,00;0,00;11,00;0,00;0,00;4,00;0,00;4,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;41,00;3,24;3,24;0,00;36,68;0,00;0,00;0,00;0,00;30,00;0,00;11,00;0,00;15,00;7,00;4,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;35,00;3,18;3,18;0,00;41,36;7,00;4,00;7,00;0,00;11,00;4,00;18,00;0,00;11,00;4,00;7,00;4,00;4,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;11,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;33,00;0,00;7,70;3,30;15,40;4,00;4,00;0,00;0,00;7,00;0,00;11,00;0,00;11,00;4,00;11,00;11,00;4,00;0,00;0,00;4,00;0,00;0,00;7,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;26,00;0,00;3,25;0,00;18,42;0,00;0,00;0,00;0,00;4,00;4,00;19,00;0,00;7,00;11,00;4,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00
2019-03-24;45,00;0,00;7,50;0,00;25,71;0,00;0,00;4,00;4,00;15,00;4,00;22,00;0,00;7,00;4,00;11,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;44,00;3,22;7,51;3,22;28,98;0,00;0,00;7,00;7,00;11,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;28,00;3,23;3,23;0,00;20,46;7,00;3,00;0,00;0,00;7,00;0,00;17,00;0,00;7,00;3,00;10,00;7,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;57,00;8,60;0,00;4,30;16,13;4,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;8,00;4,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;49,00;4,26;8,52;0,00;40,48;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;25,00;0,00;0,00;0,00;17,39;4,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;4,00;4,00;11,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;28,00;3,23;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;18,00;0,00;0,00;0,00;3,18;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;47,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;7,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;35,00;0,00;4,38;0,00;7,66;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;8,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;40,00;0,00;3,16;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;7,00;0,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;48,00;0,00;0,00;3,27;3,27;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;11,00;0,00;0,00;7,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-06-16;45,00;0,00;0,00;0,00;3,29;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;48,00;0,00;0,00;0,00;4,36;0,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;4,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;50,00;0,00;11,70;14,89;11,70;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;8,00;27,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;12,00;0,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;43,00;0,00;0,00;4,30;11,83;4,00;0,00;0,00;0,00;0,00;0,00;19,00;4,00;4,00;19,00;12,00;12,00;16,00;0,00;4,00;8,00;0,00;0,00;4,00;0,00;0,00;12,00;4,00;8,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;78,00;0,00;0,00;0,00;8,55;4,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;4,00;17,00;4,00;12,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;100,00;0,00;0,00;4,30;26,88;0,00;0,00;5,00;0,00;5,00;0,00;9,00;0,00;5,00;9,00;5,00;9,00;5,00;0,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;5,00;14,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;54,00;0,00;0,00;4,32;8,64;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;23,00;14,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;9,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;54,00;0,00;4,32;0,00;12,96;0,00;0,00;4,00;0,00;0,00;0,00;17,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;50,00;4,35;11,96;0,00;4,35;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;11,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;63,00;0,00;0,00;0,00;3,20;0,00;0,00;0,00;0,00;0,00;0,00;15,00;7,00;4,00;4,00;7,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;40,00;0,00;0,00;0,00;7,57;0,00;0,00;7,00;0,00;0,00;0,00;15,00;0,00;4,00;4,00;7,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;7,00;0,00;7,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;45,00;3,21;0,00;0,00;17,14;0,00;0,00;3,00;0,00;3,00;0,00;7,00;0,00;7,00;0,00;7,00;7,00;7,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;51,00;0,00;0,00;7,60;10,85;4,00;0,00;4,00;0,00;4,00;0,00;15,00;0,00;0,00;4,00;11,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2019-09-15;67,00;3,24;0,00;0,00;7,56;0,00;4,00;7,00;4,00;0,00;0,00;22,00;0,00;4,00;7,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;15,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;40,00;3,24;0,00;3,24;10,81;4,00;0,00;0,00;0,00;4,00;0,00;7,00;0,00;0,00;7,00;4,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;40,00;0,00;0,00;0,00;18,38;0,00;0,00;7,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;4,00;4,00;4,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;33,00;0,00;0,00;0,00;7,70;0,00;0,00;0,00;0,00;4,00;0,00;11,00;0,00;0,00;4,00;7,00;0,00;4,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;11,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;76,00;3,21;0,00;0,00;25,69;4,00;0,00;0,00;0,00;4,00;0,00;11,00;0,00;0,00;0,00;7,00;0,00;4,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;31,00;0,00;0,00;0,00;20,31;0,00;0,00;3,00;3,00;0,00;0,00;10,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;35,00;6,56;0,00;0,00;6,56;0,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;7,00;3,00;3,00;7,00;0,00;3,00;0,00;0,00;0,00;7,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;41,00;3,24;3,24;3,24;14,03;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;7,00;3,00;7,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;21,00;3,32;3,32;0,00;32,05;3,00;3,00;3,00;0,00;0,00;0,00;10,00;0,00;3,00;7,00;0,00;0,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;7,00;14,00;3,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;28,00;3,23;6,46;0,00;34,46;0,00;0,00;0,00;0,00;17,00;0,00;21,00;0,00;10,00;10,00;10,00;7,00;0,00;0,00;7,00;0,00;0,00;3,00;7,00;0,00;3,00;7,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;30,00;3,21;0,00;0,00;23,57;0,00;3,00;3,00;0,00;0,00;0,00;23,00;0,00;3,00;0,00;3,00;3,00;7,00;0,00;7,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;10,00;3,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;35,00;0,00;6,56;0,00;20,78;14,00;0,00;3,00;0,00;10,00;0,00;10,00;0,00;7,00;7,00;7,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;10,00;10,00;0,00;7,00;3,00;14,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;34,00;10,63;0,00;0,00;10,63;7,00;0,00;7,00;0,00;10,00;0,00;17,00;0,00;3,00;3,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;7,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;35,00;13,79;3,18;0,00;24,39;4,00;7,00;0,00;0,00;7,00;4,00;25,00;0,00;7,00;14,00;0,00;7,00;7,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;50,00;17,02;0,00;0,00;28,72;17,00;0,00;8,00;0,00;21,00;8,00;21,00;8,00;25,00;13,00;8,00;8,00;8,00;0,00;21,00;0,00;0,00;8,00;4,00;0,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;56,00;0,00;0,00;0,00;32,31;4,00;4,00;8,00;4,00;20,00;0,00;20,00;0,00;16,00;0,00;4,00;4,00;16,00;0,00;4,00;4,00;0,00;4,00;8,00;0,00;4,00;0,00;12,00;0,00;0,00;12,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;58,00;0,00;0,00;3,22;53,70;10,00;7,00;0,00;3,00;10,00;3,00;14,00;3,00;27,00;3,00;10,00;7,00;10,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;7,00;0,00;0,00;10,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
