Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;16,00;144,00;140,80;89,60;76,80;66,67;9,33;70,67;92,00;53,33;125,33;112,00;58,67;82,29;59,43;59,43;25,14;31,00;62,00;28,00;56,00;9,00;81,00;34,00;25,00;2,67;6,67;94,67;0,00;9,00;9,00;0,00;6,00;3,00;3,00
2019-01-13;22,00;144,57;125,71;62,86;119,43;57,75;6,88;57,75;93,50;60,50;115,50;167,75;79,75;44,00;35,20;24,20;22,00;48,00;45,00;22,00;61,00;6,00;38,00;16,00;10,00;9,06;2,59;56,94;10,00;6,00;3,00;6,00;0,00;6,00;0,00
2019-01-20;41,00;135,62;170,31;50,46;148,23;43,73;0,00;94,30;69,70;54,67;106,60;150,33;54,67;29,61;54,67;50,11;25,06;22,00;66,00;19,00;44,00;9,00;57,00;44,00;6,00;13,23;2,65;47,61;6,00;3,00;0,00;3,00;3,00;3,00;0,00
2019-01-27;19,00;174,17;104,50;66,50;107,67;85,50;2,71;92,29;88,21;65,14;133,00;149,29;62,43;28,50;99,75;47,50;42,75;25,00;49,00;15,00;52,00;3,00;55,00;25,00;12,00;9,50;0,00;88,21;0,00;6,00;3,00;0,00;3,00;0,00;3,00
2019-02-03;16,00;188,80;124,80;51,20;96,00;53,33;0,00;73,33;53,33;69,33;93,33;149,33;56,00;59,43;75,43;52,57;36,57;39,00;32,00;29,00;36,00;6,00;55,00;19,00;26,00;9,33;2,67;98,67;3,00;0,00;3,00;0,00;3,00;3,00;6,00
2019-02-10;36,00;165,00;165,00;66,00;81,00;68,00;2,67;100,00;64,00;44,31;91,38;149,54;44,31;45,00;87,75;58,50;15,75;23,00;30,00;26,00;49,00;13,00;39,00;13,00;26,00;6,43;0,00;38,57;3,00;7,00;7,00;3,00;7,00;0,00;7,00
2019-02-17;23,00;187,29;144,57;78,86;98,57;35,18;0,00;110,94;90,65;46,00;123,63;181,13;57,50;43,70;75,90;75,90;16,10;29,00;36,00;20,00;52,00;10,00;49,00;33,00;7,00;6,76;0,00;54,12;0,00;3,00;0,00;0,00;7,00;7,00;0,00
2019-02-24;36,00;166,91;101,45;85,09;98,18;92,77;2,77;85,85;66,46;77,54;55,38;144,00;91,38;45,00;90,00;60,75;27,00;26,00;20,00;29,00;33,00;26,00;29,00;19,00;16,00;16,00;2,67;56,00;3,00;7,00;3,00;7,00;13,00;0,00;0,00
2019-03-03;19,00;180,50;158,33;95,00;107,67;55,64;9,50;65,14;96,36;89,57;119,43;195,43;78,71;64,13;71,25;64,13;26,13;28,00;62,00;40,00;43,00;3,00;68,00;22,00;19,00;6,79;0,00;57,00;3,00;9,00;0,00;3,00;6,00;3,00;0,00
2019-03-10;29,00;174,00;180,44;67,67;112,78;71,81;6,90;74,57;93,90;72,50;84,10;147,90;95,70;55,77;75,85;78,08;44,62;38,00;64,00;32,00;45,00;16,00;54,00;26,00;26,00;19,77;0,00;92,27;0,00;0,00;0,00;10,00;10,00;0,00;3,00
2019-03-17;39,00;162,00;129,00;90,00;84,00;94,14;2,69;51,10;100,86;72,43;94,71;183,86;41,79;62,83;62,83;62,83;26,00;39,00;49,00;20,00;46,00;26,00;82,00;26,00;20,00;13,00;0,00;61,10;3,00;0,00;7,00;3,00;23,00;3,00;3,00
2019-03-24;23,00;144,57;128,14;92,00;82,14;81,18;6,76;87,94;81,18;54,63;89,13;181,13;77,63;52,90;126,50;52,90;39,10;56,00;30,00;49,00;66,00;16,00;46,00;16,00;20,00;12,78;2,56;83,06;10,00;3,00;0,00;3,00;3,00;3,00;0,00
2019-03-31;71,00;185,22;135,83;80,26;108,04;84,65;6,83;58,71;99,67;96,56;105,08;204,48;85,20;57,69;108,72;28,84;44,38;48,00;16,00;26,00;23,00;13,00;52,00;13,00;6,00;6,57;2,63;71,00;0,00;3,00;3,00;3,00;16,00;6,00;0,00
2019-04-07;49,00;245,00;150,27;81,67;124,13;111,61;9,53;84,39;81,67;63,41;141,24;216,18;69,18;46,77;111,36;62,36;51,23;64,00;42,00;45,00;42,00;12,00;82,00;33,00;12,00;18,54;18,54;75,49;6,00;0,00;3,00;0,00;12,00;12,00;6,00
2019-04-14;72,00;313,04;147,13;106,43;172,17;135,85;6,79;96,45;114,11;88,62;135,69;276,92;74,77;60,75;135,00;85,50;60,75;46,00;64,00;64,00;61,00;14,00;86,00;14,00;29,00;10,47;3,93;78,55;11,00;14,00;0,00;14,00;14,00;25,00;7,00
2019-04-21;32,00;204,80;195,20;83,20;128,00;101,33;0,00;84,00;90,67;45,33;122,67;205,33;72,00;82,29;116,57;66,29;68,57;32,00;32,00;47,00;54,00;7,00;82,00;14,00;21,00;14,08;3,84;52,48;0,00;4,00;4,00;7,00;22,00;7,00;0,00
2019-04-28;25,00;156,25;143,75;62,50;193,75;76,39;6,94;88,89;83,33;61,11;100,00;180,56;77,78;63,64;93,18;68,18;34,09;56,00;47,00;28,00;41,00;12,00;65,00;34,00;22,00;9,21;9,21;75,00;13,00;0,00;3,00;3,00;22,00;6,00;3,00
2019-05-05;41,00;164,00;126,15;69,38;151,38;84,73;0,00;75,17;109,33;54,67;114,80;150,33;71,07;59,22;104,78;63,78;38,72;41,00;50,00;50,00;59,00;19,00;47,00;16,00;28,00;15,87;6,61;96,55;3,00;6,00;9,00;0,00;0,00;0,00;6,00
2019-05-12;35,00;143,18;124,09;60,45;159,09;115,77;0,00;87,50;113,08;61,92;94,23;201,92;75,38;67,81;89,69;83,13;17,50;44,00;38,00;35,00;44,00;19,00;51,00;22,00;25,00;6,48;2,59;84,26;6,00;0,00;3,00;3,00;10,00;0,00;3,00
2019-05-19;38,00;104,50;136,17;79,17;161,50;104,50;2,71;90,93;78,71;76,00;103,14;179,14;65,14;64,82;111,76;78,24;40,24;44,00;38,00;41,00;38,00;22,00;54,00;38,00;13,00;9,17;6,55;60,28;10,00;6,00;13,00;0,00;13,00;6,00;0,00
2019-05-26;48,00;128,00;147,20;70,40;118,40;100,11;0,00;48,00;75,43;67,76;121,41;231,53;81,88;86,86;75,43;86,86;61,71;41,00;31,00;41,00;24,00;17,00;65,00;41,00;20,00;13,33;0,00;62,67;14,00;7,00;0,00;0,00;27,00;7,00;3,00
2019-06-02;72,00;112,70;134,61;65,74;150,26;91,02;2,72;74,72;65,21;41,54;80,31;216,00;74,77;81,00;186,75;58,50;47,25;32,00;39,00;39,00;32,00;26,00;65,00;52,00;26,00;6,67;9,33;56,00;3,00;10,00;0,00;6,00;6,00;13,00;3,00
2019-06-09;29,00;151,44;128,89;45,11;122,44;91,14;2,76;91,14;85,62;66,70;107,30;174,00;63,80;69,15;73,62;46,85;42,38;52,00;35,00;32,00;39,00;26,00;52,00;35,00;16,00;9,23;0,00;60,64;13,00;10,00;0,00;3,00;0,00;3,00;0,00
2019-06-16;46,00;168,67;147,20;42,93;125,73;48,71;9,47;67,65;55,47;43,13;106,38;181,13;69,00;50,60;85,10;57,50;29,90;55,00;36,00;42,00;29,00;7,00;72,00;33,00;29,00;13,14;2,63;57,83;7,00;7,00;7,00;3,00;13,00;0,00;0,00
