Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;69,00;69,00;34,50;34,50;1173,00;23,00;46,00;2300,00;23,00;0,00;0,00;741,75;207,00;857,57;9,86;9,86;985,71;0,00;0,00;234,60;0,00;0,00;29,57;246,43;49,29;0,00;10,00;0,00;10,00;28,41;0,00;405,88;0,00;242,88;0,00;160,08;0,00;20,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;67,00;33,50;33,50;0,00;904,50;11,17;11,17;1518,67;22,33;8,38;16,75;569,50;184,25;363,71;0,00;19,14;650,86;10,58;0,00;176,32;10,58;0,00;0,00;335,00;10,05;0,00;19,00;0,00;19,00;0,00;7,88;283,76;0,00;115,24;0,00;268,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;95,00;63,33;15,83;31,67;475,00;11,88;11,88;902,50;23,75;7,92;7,92;324,58;166,25;275,50;0,00;28,50;456,00;0,00;10,56;172,41;10,56;9,83;9,83;144,14;9,83;9,00;0,00;0,00;0,00;0,00;7,92;253,33;0,00;162,86;0,00;95,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;48,00;48,00;0,00;0,00;408,00;48,00;0,00;792,00;24,00;24,00;0,00;168,00;248,00;259,20;0,00;28,80;508,80;10,29;0,00;113,14;0,00;9,60;0,00;176,00;19,20;0,00;0,00;0,00;19,00;0,00;0,00;304,00;0,00;152,00;0,00;85,33;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;88,00;14,67;29,33;14,67;381,33;22,00;22,00;682,00;11,00;0,00;0,00;192,00;192,00;303,11;9,78;9,78;528,00;0,00;0,00;88,00;0,00;0,00;0,00;136,89;19,56;10,00;0,00;10,00;39,00;0,00;8,00;224,00;0,00;125,33;0,00;96,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;39,00;0,00;39,00;0,00;390,00;9,75;0,00;604,50;0,00;7,80;0,00;241,80;132,60;243,75;0,00;19,50;585,00;28,36;10,64;251,73;10,64;9,75;29,25;107,25;9,75;0,00;0,00;0,00;10,00;7,80;7,80;237,90;0,00;57,20;0,00;57,20;0,00;39,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;40,00;20,00;40,00;40,00;520,00;10,00;20,00;580,00;0,00;0,00;16,00;184,00;216,00;390,00;0,00;20,00;300,00;0,00;21,82;134,55;10,91;0,00;20,00;123,33;20,00;10,00;0,00;0,00;0,00;20,00;0,00;240,00;0,00;120,00;0,00;80,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;82,00;27,33;13,67;13,67;382,67;27,33;13,67;546,67;0,00;0,00;16,40;328,00;205,00;338,25;10,25;10,25;430,50;0,00;21,39;167,57;10,70;0,00;0,00;101,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;147,60;0,00;92,93;0,00;51,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;59,00;29,50;29,50;29,50;354,00;14,75;0,00;737,50;0,00;16,86;8,43;252,86;177,00;285,17;0,00;0,00;344,17;0,00;20,82;145,76;0,00;0,00;9,83;88,50;39,33;10,00;0,00;0,00;10,00;7,87;0,00;192,73;0,00;67,05;0,00;67,05;0,00;39,00;10,00;0,00;0,00;0,00;0,00
2019-03-10;49,00;12,25;49,00;12,25;343,00;12,25;12,25;563,50;24,50;0,00;8,17;245,00;147,00;343,00;9,80;19,60;421,40;0,00;10,50;119,00;0,00;0,00;0,00;88,20;29,40;0,00;10,00;0,00;19,00;8,17;0,00;175,58;0,00;98,00;0,00;38,11;0,00;19,00;0,00;0,00;0,00;0,00;0,00
