Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;24,00;161,14;188,57;161,14;168,00;124,00;2,00;72,00;98,00;164,00;60,00;156,00;72,00;120,00;108,00;42,00;46,86;92,57;9,14;13,00;36,00;31,00;5,00;11,00;5,00;7,00;4,00;1,00;0,00;2,00;1,00;1,00
2019-01-13;29,00;181,25;210,25;159,50;170,38;105,64;2,07;72,50;116,00;182,29;58,00;136,71;63,80;121,80;133,40;52,20;55,68;90,48;11,60;10,00;46,00;27,00;7,00;8,00;0,00;6,00;5,00;4,00;1,00;7,00;1,00;1,00
2019-01-20;28,00;133,00;178,50;133,00;157,50;112,00;1,08;77,54;103,38;164,00;48,00;116,00;78,40;112,00;128,80;44,80;63,00;86,33;7,00;12,00;37,00;26,00;5,00;14,00;4,00;5,00;8,00;4,00;2,00;4,00;1,00;0,00
2019-01-27;25,00;142,86;203,57;171,43;128,57;77,08;4,17;75,00;100,00;166,67;70,83;137,50;87,50;125,00;162,50;62,50;57,95;81,82;5,68;11,00;45,00;23,00;6,00;13,00;3,00;5,00;6,00;4,00;4,00;6,00;1,00;1,00
2019-02-03;23,00;172,50;222,33;184,00;141,83;79,45;2,09;81,55;106,64;141,83;53,67;126,50;69,00;132,25;132,25;46,00;64,40;72,45;5,75;15,00;44,00;21,00;9,00;9,00;3,00;5,00;5,00;3,00;1,00;7,00;1,00;1,00
2019-02-10;25,00;135,71;196,43;160,71;110,71;77,08;0,00;83,33;116,67;183,33;75,00;150,00;87,50;150,00;125,00;56,25;63,64;67,05;5,68;12,00;36,00;40,00;5,00;18,00;1,00;4,00;8,00;4,00;3,00;4,00;0,00;0,00
2019-02-17;23,00;144,57;167,57;170,86;118,29;71,09;1,05;73,18;110,82;176,33;65,17;149,50;69,00;126,50;120,75;63,25;55,20;75,90;4,60;12,00;32,00;20,00;9,00;11,00;1,00;3,00;6,00;1,00;2,00;6,00;2,00;0,00
2019-02-24;15,00;168,75;225,00;180,00;127,50;94,29;2,14;79,29;130,71;191,25;82,50;146,25;75,00;130,00;115,00;55,00;53,08;70,38;3,46;16,00;31,00;26,00;7,00;7,00;3,00;4,00;2,00;6,00;2,00;10,00;1,00;1,00
2019-03-03;21,00;164,50;192,50;182,00;136,50;81,90;8,40;86,10;119,70;239,40;71,40;155,40;94,50;126,00;131,25;52,50;53,67;91,00;3,50;8,00;45,00;34,00;13,00;19,00;2,00;6,00;5,00;5,00;4,00;7,00;2,00;1,00
2019-03-10;31,00;182,56;196,33;179,11;137,78;99,20;4,13;74,40;134,33;205,38;93,00;131,75;72,33;129,17;108,50;56,83;47,07;81,52;3,44;15,00;40,00;26,00;10,00;16,00;2,00;4,00;2,00;3,00;3,00;8,00;2,00;2,00
2019-03-17;31,00;175,67;210,11;189,44;137,78;88,87;2,07;72,33;138,47;209,25;65,88;131,75;87,83;139,50;108,50;56,83;62,00;86,11;5,74;13,00;31,00;23,00;5,00;14,00;4,00;3,00;5,00;3,00;6,00;8,00;1,00;1,00
2019-03-24;36,00;172,80;201,60;187,20;172,80;108,00;1,06;74,12;158,82;212,00;64,00;132,00;78,00;138,00;126,00;84,00;55,74;78,97;3,48;18,00;26,00;18,00;8,00;11,00;6,00;5,00;2,00;1,00;2,00;4,00;1,00;1,00
2019-03-31;34,00;170,00;196,44;192,67;207,78;118,00;2,00;72,00;120,00;233,75;76,50;212,50;68,00;119,00;130,33;85,00;48,73;68,00;7,93;25,00;25,00;28,00;12,00;12,00;0,00;8,00;2,00;4,00;4,00;11,00;0,00;0,00
2019-04-07;29,00;192,13;210,25;188,50;199,38;105,64;2,07;93,21;207,14;248,57;78,71;194,71;87,00;133,40;145,00;69,60;69,60;53,36;11,60;11,00;44,00;30,00;6,00;18,00;5,00;7,00;4,00;5,00;3,00;8,00;1,00;1,00
