Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;47,00;14,00;1,00;0,00;13,00;2,00;13,00;4,00;5,00;10,00;1,00;6,00;2,00;1,34;1,34;21,49;6,71;20,00;6,00;1,00;17,00;0,50;6,00;2,00;21,00;1,00;0,50;5,00;2,00;1,00;4,00;3,00;3,00;0,00;1,00;1,00;1,00;1,00;0,50;0,50;1,00;1,00;0,00
2019-01-13;50,00;17,00;2,00;0,50;13,00;2,00;17,00;4,00;5,00;9,00;1,00;6,00;2,00;1,39;2,78;16,67;5,56;24,00;7,00;1,00;14,00;0,50;7,00;2,00;16,00;1,00;0,00;4,00;2,00;1,00;4,00;2,00;3,00;0,00;1,00;1,00;2,00;1,00;0,50;0,50;1,00;1,00;0,00
2019-01-20;44,00;16,00;1,00;1,00;11,00;2,00;16,00;4,00;4,00;9,00;1,00;6,00;2,00;1,38;1,38;27,50;5,50;22,00;7,00;2,00;19,00;1,00;8,00;1,00;20,00;1,00;0,50;3,00;3,00;0,50;4,00;1,00;4,00;0,50;1,00;1,00;1,00;2,00;0,00;0,50;1,00;1,00;0,50
2019-01-27;43,00;19,00;2,00;0,50;10,00;2,00;13,00;4,00;5,00;9,00;1,00;4,00;2,00;2,77;2,77;27,74;8,32;27,00;7,00;1,00;18,00;0,50;8,00;0,50;20,00;2,00;0,00;3,00;3,00;1,00;5,00;2,00;4,00;0,50;1,00;0,50;2,00;1,00;0,50;1,00;2,00;1,00;0,00
2019-02-03;41,00;19,00;2,00;0,50;12,00;2,00;19,00;5,00;3,00;5,00;3,00;5,00;3,00;2,73;1,37;27,33;8,20;28,00;9,00;1,00;15,00;1,00;8,00;3,00;16,00;3,00;0,00;5,00;4,00;0,50;4,00;3,00;4,00;0,50;1,00;1,00;2,00;2,00;0,00;1,00;1,00;1,00;0,00
2019-02-10;43,00;19,00;2,00;1,00;11,00;3,00;19,00;5,00;4,00;7,00;2,00;4,00;3,00;0,69;1,39;23,58;13,87;28,00;9,00;1,00;18,00;1,00;8,00;2,00;23,00;1,00;0,50;4,00;5,00;1,00;6,00;5,00;5,00;0,50;1,00;1,00;2,00;2,00;0,50;1,00;1,00;1,00;0,00
2019-02-17;44,00;18,00;1,00;0,00;12,00;3,00;17,00;7,00;4,00;6,00;2,00;7,00;2,00;1,38;2,75;34,38;12,38;35,00;8,00;2,00;19,00;1,00;8,00;1,00;18,00;2,00;0,00;4,00;4,00;1,00;5,00;5,00;7,00;0,50;1,00;2,00;2,00;2,00;0,50;0,50;2,00;1,00;0,50
2019-02-24;47,00;24,00;2,00;1,00;13,00;3,00;18,00;7,00;5,00;8,00;3,00;5,00;2,00;2,76;4,15;31,79;12,44;29,00;10,00;1,00;16,00;2,00;11,00;2,00;22,00;2,00;0,00;4,00;6,00;0,50;7,00;4,00;4,00;0,50;1,00;2,00;2,00;3,00;0,00;1,00;0,50;1,00;0,50
2019-03-03;41,00;23,00;2,00;1,00;12,00;4,00;20,00;4,00;4,00;6,00;2,00;7,00;4,00;2,73;2,73;27,33;10,93;30,00;10,00;2,00;20,00;1,00;10,00;3,00;20,00;2,00;0,50;5,00;3,00;0,50;5,00;5,00;4,00;0,00;1,00;1,00;3,00;1,00;0,00;1,00;1,00;1,00;0,00
2019-03-10;50,00;20,00;2,00;1,00;10,00;4,00;17,00;6,00;4,00;6,00;2,00;4,00;5,00;2,70;1,35;27,03;9,46;24,00;8,00;1,00;23,00;0,50;9,00;1,00;19,00;1,00;0,50;3,00;3,00;0,50;5,00;2,00;4,00;0,00;2,00;1,00;2,00;1,00;1,00;1,00;1,00;1,00;0,00
2019-03-17;45,00;23,00;3,00;1,00;12,00;5,00;21,00;6,00;7,00;8,00;2,00;6,00;3,00;2,73;1,36;30,00;10,91;28,00;10,00;2,00;22,00;1,00;9,00;2,00;19,00;2,00;0,00;5,00;5,00;1,00;3,00;5,00;4,00;0,50;1,00;2,00;3,00;2,00;0,50;1,00;1,00;1,00;0,00
2019-03-24;50,00;22,00;3,00;1,00;10,00;4,00;18,00;4,00;6,00;7,00;2,00;4,00;3,00;2,70;1,35;28,38;9,46;26,00;8,00;1,00;20,00;2,00;7,00;2,00;20,00;2,00;0,50;4,00;5,00;1,00;7,00;3,00;9,00;0,50;1,00;2,00;2,00;3,00;1,00;1,00;2,00;1,00;0,00
