Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;47,00;323,78;57,44;15,67;20,89;40,00;39,00;17,00;32,00;17,00;8,00;7,00;13,00;13,82;23,50;5,53;51,15;6,00;10,00;88,00;6,00;53,88;3,44;1,15;2,29;45,00;13,00;32,00;1,00;40,82;23,50;39,58;7,42;5,00;7,00;7,00
2019-01-13;50,00;322,22;61,11;11,11;27,78;32,00;35,00;13,00;28,00;15,00;9,00;12,00;9,00;9,72;16,67;2,78;51,39;7,00;13,00;85,00;6,00;54,65;2,33;2,33;2,33;43,00;13,00;31,00;2,00;43,59;26,92;30,77;6,41;4,00;10,00;8,00
2019-01-20;44,00;335,50;44,00;16,50;22,00;31,00;38,00;18,00;24,00;11,00;8,00;9,00;11,00;11,00;17,88;4,13;55,00;5,00;10,00;88,00;4,00;62,53;3,47;2,32;1,16;48,00;16,00;28,00;3,00;40,23;23,89;40,23;5,03;3,00;7,00;7,00
2019-01-27;43,00;333,25;43,00;16,13;26,88;34,00;40,00;16,00;30,00;12,00;10,00;11,00;11,00;9,71;18,03;5,55;51,32;6,00;11,00;65,00;6,00;54,62;3,49;3,49;1,16;61,00;16,00;17,00;2,00;36,68;25,29;36,68;7,59;5,00;7,00;6,00
2019-02-03;41,00;343,38;56,38;15,38;25,63;31,00;33,00;22,00;33,00;15,00;11,00;11,00;11,00;12,30;16,40;4,10;49,20;6,00;14,00;69,00;6,00;66,77;3,51;2,34;2,34;41,00;13,00;19,00;3,00;45,97;27,33;37,27;8,70;4,00;5,00;7,00
2019-02-10;43,00;360,13;48,38;16,13;26,88;35,00;39,00;17,00;36,00;15,00;8,00;10,00;13,00;13,87;22,19;5,55;49,94;4,00;10,00;72,00;5,00;62,76;2,32;1,16;2,32;45,00;13,00;17,00;1,00;45,53;27,82;40,47;8,85;5,00;6,00;8,00
2019-02-17;44,00;368,50;55,00;16,50;27,50;38,00;38,00;19,00;35,00;17,00;8,00;11,00;16,00;15,13;19,25;5,50;56,38;8,00;9,00;72,00;5,00;64,84;3,47;3,47;1,16;49,00;16,00;16,00;2,00;37,71;32,69;36,46;8,80;5,00;7,00;7,00
2019-02-24;47,00;339,44;47,00;15,67;26,11;37,00;41,00;26,00;32,00;12,00;9,00;8,00;12,00;9,68;15,21;5,53;49,76;7,00;13,00;72,00;5,00;72,85;2,35;2,35;2,35;50,00;16,00;20,00;3,00;52,08;26,68;36,84;7,62;4,00;5,00;9,00
2019-03-03;41,00;369,00;52,71;17,57;29,29;36,00;32,00;18,00;33,00;14,00;10,00;10,00;12,00;11,31;21,21;4,24;59,38;6,00;12,00;68,00;5,00;60,91;3,51;1,17;1,17;59,00;15,00;20,00;1,00;38,44;33,31;39,72;8,97;7,00;6,00;6,00
2019-03-10;50,00;350,00;50,00;16,67;27,78;31,00;32,00;16,00;35,00;14,00;8,00;13,00;14,00;8,33;22,22;2,78;55,56;7,00;9,00;62,00;6,00;61,63;3,49;1,16;2,33;45,00;16,00;16,00;2,00;45,00;23,75;32,50;7,50;4,00;7,00;9,00
2019-03-17;45,00;382,50;50,63;16,88;33,75;35,00;34,00;20,00;33,00;13,00;8,00;11,00;14,00;9,55;19,09;4,09;53,18;6,00;12,00;71,00;8,00;63,46;3,46;3,46;2,31;45,00;12,00;16,00;2,00;37,50;27,50;36,25;10,00;6,00;6,00;6,00
2019-03-24;50,00;377,78;50,00;16,67;33,33;37,00;39,00;17,00;36,00;13,00;10,00;9,00;14,00;11,11;18,06;4,17;61,11;6,00;10,00;70,00;6,00;65,12;3,49;1,16;3,49;47,00;13,00;16,00;2,00;43,75;31,25;37,50;8,75;7,00;5,00;8,00
2019-03-31;59,00;380,82;42,91;16,09;32,18;37,00;41,00;19,00;32,00;13,00;7,00;11,00;15,00;10,98;21,95;5,49;54,88;6,00;12,00;98,00;6,00;62,47;2,31;3,47;2,31;51,00;14,00;32,00;2,00;40,17;30,13;52,72;8,79;6,00;9,00;7,00
2019-04-07;55,00;401,50;55,00;16,50;33,00;39,00;41,00;23,00;37,00;20,00;10,00;16,00;16,00;9,63;22,00;6,88;57,75;10,00;14,00;86,00;7,00;69,04;4,68;3,51;2,34;51,00;14,00;33,00;2,00;40,93;31,98;43,49;8,95;9,00;12,00;8,00
2019-04-14;70,00;538,46;53,85;16,15;37,69;33,00;49,00;21,00;37,00;13,00;9,00;15,00;17,00;12,35;19,22;4,12;54,90;8,00;11,00;82,00;7,00;72,33;3,50;1,17;2,33;53,00;14,00;35,00;2,00;42,50;35,00;53,75;12,50;7,00;11,00;7,00
2019-04-21;63,00;406,64;57,27;11,45;28,64;32,00;37,00;19,00;32,00;12,00;9,00;9,00;13,00;11,20;18,20;4,20;57,40;8,00;11,00;88,00;5,00;72,33;3,50;3,50;3,50;46,00;16,00;39,00;3,00;39,06;39,06;36,54;12,60;7,00;11,00;9,00
2019-04-28;66,00;379,50;44,00;16,50;27,50;36,00;38,00;19,00;33,00;15,00;7,00;15,00;13,00;11,00;17,88;4,13;70,13;8,00;11,00;78,00;6,00;76,42;3,47;2,32;2,32;48,00;13,00;39,00;3,00;38,60;32,38;36,11;8,72;9,00;10,00;6,00
2019-05-05;58,00;326,91;42,18;15,82;26,36;33,00;37,00;18,00;32,00;13,00;9,00;14,00;13,00;9,67;22,10;2,76;51,10;9,00;14,00;71,00;5,00;62,64;3,48;2,32;3,48;46,00;13,00;36,00;2,00;41,61;29,00;36,57;8,83;7,00;10,00;6,00
2019-05-12;61,00;354,91;38,82;11,09;33,27;34,00;36,00;21,00;28,00;10,00;7,00;11,00;10,00;11,09;15,25;2,77;58,23;5,00;8,00;73,00;6,00;63,35;3,52;2,35;1,17;47,00;15,00;32,00;1,00;38,13;30,50;33,04;7,63;6,00;9,00;9,00
2019-05-19;60,00;343,64;43,64;10,91;32,73;30,00;38,00;20,00;27,00;11,00;8,00;12,00;13,00;8,37;15,35;4,19;57,21;7,00;9,00;88,00;4,00;66,92;3,46;2,31;1,15;50,00;12,00;36,00;2,00;41,25;28,75;33,75;10,00;6,00;9,00;10,00
