Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2019-01-06;22,00;33,00;7,00
2019-01-13;62,00;26,00;22,00
2019-01-20;15,00;22,00;0,00
2019-01-27;4,00;14,00;4,00
2019-02-03;7,00;25,00;11,00
2019-02-10;15,00;23,00;11,00
2019-02-17;4,00;41,00;11,00
2019-02-24;22,00;19,00;4,00
2019-03-03;11,00;7,00;11,00
2019-03-10;15,00;29,00;7,00
2019-03-17;7,00;8,00;8,00
2019-03-24;23,00;23,00;4,00
2019-03-31;11,00;19,00;0,00
2019-04-07;15,00;26,00;4,00
2019-04-14;12,00;12,00;12,00
2019-04-21;8,00;38,00;0,00
2019-04-28;11,00;22,00;0,00
2019-05-05;18,00;15,00;4,00
2019-05-12;8,00;19,00;8,00
2019-05-19;11,00;4,00;8,00
2019-05-26;15,00;7,00;15,00
2019-06-02;7,00;18,00;11,00
2019-06-09;14,00;18,00;18,00
2019-06-16;7,00;7,00;4,00
2019-06-23;7,00;15,00;11,00
2019-06-30;15,00;11,00;11,00
2019-07-07;15,00;15,00;0,00
2019-07-14;18,00;4,00;11,00
2019-07-21;15,00;19,00;4,00
2019-07-28;8,00;19,00;4,00
2019-08-04;7,00;15,00;0,00
2019-08-11;11,00;26,00;4,00
2019-08-18;11,00;19,00;0,00
2019-08-25;15,00;26,00;0,00
2019-09-01;7,00;32,00;4,00
2019-09-08;11,00;29,00;7,00
2019-09-15;7,00;11,00;7,00
2019-09-22;3,00;31,00;7,00
2019-09-29;14,00;3,00;3,00
2019-10-06;14,00;14,00;7,00
2019-10-13;24,00;31,00;3,00
2019-10-20;7,00;20,00;14,00
2019-10-27;20,00;17,00;20,00
2019-11-03;23,00;23,00;20,00
2019-11-10;13,00;13,00;13,00
2019-11-17;13,00;30,00;10,00
2019-11-24;22,00;19,00;10,00
2019-12-01;3,00;7,00;10,00
2019-12-08;7,00;14,00;10,00
2019-12-15;25,00;25,00;0,00
2019-12-22;42,00;4,00;11,00
2019-12-29;48,00;45,00;17,00
2020-01-05;32,00;10,00;16,00
2020-01-12;25,00;16,00;3,00
2020-01-19;19,00;16,00;23,00
2020-01-26;13,00;19,00;10,00
2020-02-02;10,00;36,00;20,00
2020-02-09;6,00;25,00;9,00
2020-02-16;9,00;22,00;3,00
2020-02-23;9,00;25,00;12,00
2020-03-01;22,00;19,00;16,00
2020-03-08;18,00;15,00;12,00
2020-03-15;9,00;21,00;0,00
2020-03-22;11,00;23,00;6,00
2020-03-29;17,00;11,00;3,00
2020-04-05;9,00;21,00;3,00
2020-04-12;20,00;38,00;6,00
2020-04-19;3,00;37,00;11,00
2020-04-26;8,00;23,00;3,00
2020-05-03;11,00;14,00;0,00
2020-05-10;0,00;11,00;3,00
2020-05-17;0,00;23,00;3,00
2020-05-24;15,00;18,00;3,00
2020-05-31;8,00;20,00;3,00
2020-06-07;8,00;11,00;6,00
2020-06-14;6,00;17,00;9,00
2020-06-21;3,00;15,00;6,00
2020-06-28;22,00;31,00;6,00
2020-07-05;12,00;21,00;3,00
2020-07-12;9,00;18,00;3,00
2020-07-19;6,00;22,00;13,00
2020-07-26;10,00;26,00;16,00
2020-08-02;13,00;22,00;3,00
2020-08-09;10,00;10,00;10,00
2020-08-16;3,00;22,00;9,00
2020-08-23;6,00;31,00;3,00
2020-08-30;13,00;26,00;3,00
2020-09-06;16,00;22,00;0,00
2020-09-13;6,00;3,00;3,00
2020-09-20;0,00;6,00;6,00
2020-09-27;13,00;10,00;6,00
2020-10-04;16,00;19,00;3,00
2020-10-11;30,00;13,00;0,00
2020-10-18;33,00;17,00;3,00
2020-10-25;23,00;19,00;0,00
2020-11-01;9,00;19,00;13,00
2020-11-08;13,00;25,00;6,00
2020-11-15;3,00;19,00;6,00
2020-11-22;22,00;22,00;3,00
2020-11-29;10,00;3,00;3,00
2020-12-06;13,00;23,00;3,00
2020-12-13;13,00;10,00;7,00
2020-12-20;11,00;40,00;4,00
2020-12-27;89,00;10,00;3,00
2021-01-03;15,00;28,00;3,00
2021-01-10;31,00;22,00;6,00
2021-01-17;12,00;28,00;0,00
2021-01-24;6,00;9,00;6,00
2021-01-31;19,00;25,00;3,00
2021-02-07;16,00;16,00;0,00
2021-02-14;20,00;10,00;10,00
2021-02-21;13,00;10,00;0,00
2021-02-28;19,00;13,00;0,00
2021-03-07;7,00;23,00;3,00
2021-03-14;6,00;16,00;10,00
2021-03-21;10,00;23,00;3,00
2021-03-28;7,00;18,00;7,00
2021-04-04;3,00;20,00;37,00
2021-04-11;11,00;18,00;21,00
2021-04-18;4,00;18,00;4,00
2021-04-25;10,00;31,00;3,00
2021-05-02;13,00;17,00;3,00
2021-05-09;3,00;20,00;3,00
2021-05-16;10,00;3,00;3,00
2021-05-23;4,00;14,00;0,00
2021-05-30;11,00;19,00;4,00
2021-06-06;4,00;11,00;4,00
2021-06-13;14,00;28,00;3,00
2021-06-20;7,00;42,00;4,00
2021-06-27;3,00;24,00;3,00
2021-07-04;10,00;14,00;0,00
2021-07-11;0,00;33,00;4,00
2021-07-18;4,00;30,00;0,00
2021-07-25;7,00;18,00;4,00
2021-08-01;0,00;47,00;4,00
2021-08-08;7,00;15,00;0,00
2021-08-15;11,00;14,00;14,00
2021-08-22;4,00;12,00;0,00
2021-08-29;23,00;8,00;4,00
2021-09-05;100,00;19,00;8,00
2021-09-12;27,00;18,00;4,00
