Semaine;London (GB);Paris (FR);Amsterdam (NL);Barcelona (ES);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);stanbul (TR);Budapest (HU);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;78,00;96,20;28,60;23,40;0,50;22,00;13,00;21,00;22,00;9,00;25,00;8,00;3,00;10,00;8,00;2,00;8,00;3,00;11,00;7,00;9,00;1,00;2,00;0,00;3,00;1,00;1,00;0,50;0,00;3,00;0,00;0,50
2019-01-13;73,00;67,79;26,07;20,86;1,00;23,00;16,00;22,00;24,00;9,00;23,00;9,00;3,00;10,00;10,00;1,00;4,00;2,00;11,00;6,00;8,00;1,00;3,00;0,50;3,00;1,00;0,50;1,00;0,50;4,00;0,00;0,50
2019-01-20;65,00;59,80;23,40;23,40;0,00;19,00;14,00;20,00;23,00;8,00;18,00;8,00;1,00;11,00;5,00;2,00;8,00;2,00;8,00;5,00;8,00;0,50;2,00;0,50;2,00;1,00;1,00;1,00;0,50;1,00;0,00;0,00
2019-01-27;66,00;48,23;20,31;20,31;0,50;21,00;14,00;19,00;19,00;9,00;19,00;8,00;3,00;12,00;8,00;1,00;6,00;2,00;7,00;5,00;9,00;1,00;1,00;0,00;3,00;1,00;0,50;0,50;1,00;6,00;0,00;0,50
2019-02-03;70,00;46,67;18,15;15,56;0,50;18,00;11,00;17,00;24,00;10,00;22,00;8,00;2,00;8,00;9,00;1,00;7,00;1,00;9,00;5,00;8,00;1,00;2,00;0,00;2,00;0,50;0,50;1,00;0,50;5,00;0,00;0,50
2019-02-10;63,00;37,80;20,16;17,64;0,50;20,00;13,00;16,00;19,00;10,00;17,00;10,00;3,00;9,00;8,00;0,50;5,00;2,00;6,00;4,00;7,00;2,00;2,00;0,00;2,00;0,50;0,50;1,00;1,00;4,00;0,00;0,50
2019-02-17;72,00;43,71;23,14;23,14;1,00;22,00;12,00;22,00;25,00;6,00;22,00;7,00;3,00;11,00;10,00;2,00;7,00;5,00;9,00;6,00;9,00;1,00;2,00;0,50;3,00;0,00;1,00;1,00;0,50;5,00;0,00;0,50
2019-02-24;69,00;51,11;20,44;23,00;0,50;24,00;13,00;22,00;22,00;11,00;16,00;10,00;2,00;11,00;8,00;1,00;7,00;4,00;7,00;6,00;10,00;2,00;2,00;0,50;3,00;0,50;0,50;1,00;1,00;4,00;0,00;0,00
2019-03-03;70,00;46,67;20,74;20,74;0,50;21,00;12,00;20,00;20,00;8,00;18,00;9,00;3,00;11,00;8,00;0,50;7,00;3,00;7,00;6,00;12,00;2,00;3,00;0,00;2,00;0,50;0,00;1,00;0,50;6,00;0,00;0,50
2019-03-10;65,00;46,80;23,40;23,40;0,50;20,00;13,00;20,00;22,00;7,00;18,00;8,00;2,00;12,00;7,00;1,00;7,00;4,00;10,00;5,00;9,00;2,00;3,00;0,50;3,00;0,00;0,50;0,50;0,50;6,00;0,00;0,50
2019-03-17;71,00;43,11;27,89;25,36;0,00;21,00;15,00;21,00;22,00;9,00;22,00;7,00;1,00;12,00;9,00;1,00;5,00;3,00;8,00;7,00;10,00;1,00;2,00;1,00;3,00;0,50;0,50;1,00;0,50;3,00;0,50;0,50
2019-03-24;67,00;46,38;20,62;23,19;0,50;20,00;14,00;22,00;21,00;8,00;24,00;9,00;4,00;13,00;9,00;1,00;7,00;2,00;11,00;5,00;8,00;2,00;3,00;0,00;4,00;1,00;0,50;0,50;0,50;3,00;0,00;0,50
2019-03-31;69,00;43,44;15,33;25,56;1,00;19,00;13,00;19,00;26,00;10,00;19,00;11,00;3,00;12,00;10,00;1,00;6,00;2,00;11,00;6,00;6,00;1,00;2,00;0,50;5,00;0,50;0,50;0,50;1,00;3,00;0,00;0,50
2019-04-07;67,00;46,38;20,62;25,77;0,00;19,00;14,00;24,00;22,00;9,00;18,00;10,00;2,00;13,00;9,00;2,00;6,00;3,00;13,00;5,00;9,00;2,00;3,00;1,00;2,00;1,00;0,00;1,00;0,50;4,00;0,50;0,50
2019-04-14;69,00;255,56;17,89;25,56;1,00;19,00;11,00;18,00;24,00;9,00;18,00;8,00;2,00;12,00;9,00;3,00;8,00;4,00;14,00;5,00;10,00;2,00;3,00;1,00;5,00;1,00;1,00;1,00;0,50;3,00;0,00;0,50
2019-04-21;80,00;56,77;23,23;25,81;0,50;16,00;12,00;18,00;23,00;11,00;25,00;10,00;4,00;10,00;7,00;2,00;5,00;5,00;13,00;8,00;13,00;2,00;2,00;1,00;4,00;1,00;1,00;1,00;0,50;4,00;0,50;0,00
2019-04-28;65,00;52,00;20,80;26,00;1,00;18,00;16,00;17,00;20,00;11,00;20,00;8,00;1,00;8,00;7,00;2,00;6,00;3,00;28,00;8,00;12,00;2,00;2,00;1,00;3,00;0,50;1,00;1,00;0,50;4,00;0,50;0,50
2019-05-05;66,00;43,15;20,31;27,92;0,50;20,00;11,00;16,00;22,00;11,00;16,00;7,00;2,00;12,00;9,00;3,00;8,00;4,00;15,00;8,00;9,00;2,00;2,00;1,00;2,00;1,00;0,50;1,00;0,00;4,00;0,50;0,50
2019-05-12;60,00;44,35;15,65;28,70;0,50;19,00;12,00;13,00;21,00;8,00;19,00;8,00;3,00;13,00;7,00;2,00;5,00;2,00;8,00;5,00;5,00;1,00;3,00;0,50;3,00;0,50;1,00;1,00;0,50;3,00;0,00;0,50
2019-05-19;52,00;49,40;15,60;26,00;0,50;15,00;9,00;14,00;16,00;8,00;13,00;7,00;3,00;9,00;5,00;5,00;6,00;3,00;10,00;6,00;7,00;3,00;4,00;0,50;3,00;2,00;0,50;0,50;0,50;5,00;0,50;0,50
2019-05-26;51,00;43,35;15,30;22,95;1,00;15,00;9,00;13,00;18,00;7,00;21,00;6,00;2,00;8,00;6,00;2,00;4,00;4,00;7,00;6,00;9,00;1,00;1,00;1,00;3,00;0,50;1,00;1,00;1,00;6,00;0,00;0,00
2019-06-02;57,00;46,64;18,14;28,50;1,00;18,00;10,00;10,00;20,00;7,00;17,00;7,00;2,00;15,00;9,00;1,00;5,00;3,00;8,00;8,00;8,00;1,00;2,00;1,00;4,00;0,50;1,00;1,00;0,50;2,00;0,00;0,50
