Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;55,00;122,22;42,78;42,78;134,44;31,43;23,57;785,71;31,43;0,00;33,85;258,08;63,46;305,56;0,00;12,22;146,67;44,69;10,31;22,34;22,34;11,00;0,00;78,00;0,00;0,00;11,00;11,00;22,00;22,00;22,00;44,00;11,00;21,39;10,69;0,00;122,22;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;54,00;54,00;54,00;24,00;126,00;38,57;54,00;362,57;30,86;0,00;31,50;247,50;45,00;273,00;0,00;21,00;108,00;0,00;21,94;21,94;43,88;0,00;0,00;98,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;55,00;0,00;21,60;10,80;0,00;109,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;42,00;84,00;30,00;54,00;54,00;8,40;25,20;319,20;33,60;29,40;0,00;142,80;58,80;138,00;33,00;33,00;42,00;10,08;31,92;20,16;0,00;21,00;21,00;42,00;0,00;0,00;11,00;11,00;11,00;11,00;0,00;21,00;0,00;21,78;0,00;10,89;74,67;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;32,00;108,80;57,60;32,00;76,80;32,00;0,00;280,00;48,00;32,00;0,00;132,57;22,86;142,55;11,64;11,64;40,73;32,00;32,00;21,33;10,67;32,00;11,00;63,00;11,00;0,00;10,00;0,00;10,00;21,00;0,00;32,00;0,00;51,81;0,00;0,00;51,81;10,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;11,00;49,50;38,50;60,50;27,50;77,00;33,00;451,00;0,00;16,50;44,00;220,00;27,50;110,00;11,00;11,00;71,50;11,00;47,67;34,83;0,00;11,00;22,00;77,00;0,00;11,00;22,00;11,00;11,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;89,57;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;22,00;38,50;49,50;49,50;154,00;36,67;29,33;227,33;22,00;30,80;8,80;96,80;30,80;276,57;0,00;22,00;69,14;0,00;10,15;54,15;0,00;11,00;22,00;44,00;0,00;0,00;0,00;0,00;11,00;0,00;11,00;0,00;11,00;22,00;11,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;11,00;154,00;38,50;11,00;93,50;11,00;33,00;385,00;33,00;0,00;18,33;106,33;47,67;187,00;30,25;0,00;52,25;11,00;20,43;31,43;0,00;0,00;34,00;34,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;11,00;11,00;34,57;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;11,00;82,50;71,50;38,50;49,50;0,00;11,00;264,00;66,00;0,00;11,00;113,67;66,00;154,00;0,00;52,25;52,25;11,00;20,43;11,00;0,00;11,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;11,00;11,00;23,00;0,00;23,57;11,00;0,00;23,57;11,00;0,00;0,00;11,00;0,00;0,00;11,00
2019-03-03;34,00;88,40;74,80;13,60;61,20;25,50;25,50;433,50;0,00;21,25;34,00;85,00;42,50;185,45;0,00;12,36;105,09;11,90;22,10;11,90;34,00;0,00;11,00;45,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;44,82;22,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;33,00;46,20;138,60;13,20;118,80;33,00;24,75;214,50;8,25;33,00;33,00;188,57;56,57;87,00;12,00;12,00;33,00;0,00;22,58;10,42;10,42;0,00;11,00;66,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
