Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;39,00;39,00;10,92;4,68;7,80;19,00;1,00;1,00;14,00;210,60;15,60;7,80;19,50;3,77;80,52;3,77;0,00;4,00;4,00;7,00;0,00;68,59;8,07;17,48;2,69;0,00;0,00;1,00;1,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;36,00;37,57;6,26;4,70;3,13;24,00;1,00;1,00;22,00;190,80;10,80;3,60;21,60;6,21;59,59;6,21;0,00;4,00;1,00;8,00;0,00;69,33;6,67;16,00;5,33;0,00;0,00;0,00;0,00;6,00;4,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;32,00;47,24;6,10;9,14;6,10;17,00;0,00;3,00;21,00;195,56;14,22;3,56;28,44;9,85;55,38;7,38;0,00;4,00;0,00;15,00;0,00;88,00;8,00;10,67;5,33;0,00;1,00;0,00;0,00;10,00;0,00;1,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;53,00;38,97;4,68;4,68;0,00;15,00;1,00;0,00;18,00;177,93;15,14;7,57;26,50;10,10;54,26;3,79;0,00;6,00;4,00;3,00;0,00;86,97;5,44;9,51;5,44;0,00;1,00;0,00;1,00;4,00;0,00;0,00;1,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;49,00;50,53;4,59;4,59;4,59;22,00;0,00;1,00;19,00;165,85;15,08;15,08;26,38;10,05;72,87;1,26;0,00;4,00;4,00;4,00;0,00;77,58;6,81;14,97;2,72;0,00;0,00;0,00;0,00;10,00;0,00;1,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;43,00;54,15;3,19;6,37;1,59;15,00;1,00;0,00;14,00;195,45;15,64;3,91;19,55;11,38;56,91;1,26;0,00;3,00;0,00;7,00;0,00;84,61;9,71;15,26;5,55;0,00;1,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;55,00;44,00;7,86;25,14;3,14;17,00;3,00;1,00;24,00;198,00;22,00;11,00;18,33;13,75;53,75;6,25;1,25;0,00;1,00;10,00;0,00;67,07;6,71;25,49;5,37;0,00;0,00;0,00;0,00;6,00;1,00;0,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;34,00;54,09;7,73;9,27;4,64;23,00;0,00;0,00;22,00;204,00;11,33;11,33;18,89;3,78;51,63;12,59;1,26;7,00;0,00;4,00;0,00;85,68;2,72;12,24;4,08;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;1,00;0,00;3,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-03-03;39,00;37,44;4,68;6,24;6,24;31,00;3,00;1,00;12,00;241,80;15,60;11,70;23,40;3,77;46,55;3,77;0,00;10,00;1,00;4,00;0,00;80,69;6,72;18,83;8,07;0,00;0,00;0,00;1,00;10,00;1,00;0,00;1,00;6,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-03-10;47,00;83,03;3,13;3,13;6,27;34,00;1,00;0,00;18,00;172,33;19,58;7,83;27,42;20,32;74,95;3,81;0,00;4,00;0,00;6,00;1,00;91,24;8,29;23,50;5,53;1,00;0,00;0,00;0,00;0,00;3,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;44,00;51,86;6,29;1,57;6,29;23,00;0,00;1,00;14,00;238,33;11,00;11,00;22,00;10,06;57,83;2,51;0,00;10,00;0,00;4,00;3,00;86,67;8,00;16,00;5,33;0,00;1,00;0,00;0,00;7,00;1,00;0,00;0,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;52,00;63,03;4,73;3,15;6,30;32,00;0,00;4,00;17,00;208,00;11,14;7,43;26,00;8,88;65,95;7,61;1,27;4,00;3,00;3,00;1,00;78,00;15,05;23,26;4,11;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;48,00;41,81;6,19;6,19;4,65;23,00;4,00;1,00;19,00;203,08;18,46;7,38;25,85;20,21;54,32;12,63;0,00;7,00;1,00;9,00;0,00;73,33;8,00;17,33;4,00;0,00;0,00;0,00;0,00;9,00;3,00;1,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;36,00;59,48;4,70;14,09;7,83;23,00;1,00;0,00;19,00;234,00;14,40;18,00;10,80;6,43;57,86;10,29;0,00;1,00;1,00;3,00;1,00;101,08;16,62;18,00;5,54;0,00;0,00;0,00;0,00;7,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;52,00;61,45;7,88;1,58;7,88;25,00;3,00;3,00;15,00;286,00;14,86;7,43;22,29;16,49;79,90;7,61;0,00;4,00;1,00;6,00;0,00;110,84;9,58;15,05;4,11;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
