Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;12,00;12,00;18,00;144,00;66,00;91,00
2019-01-13;11,00;5,50;16,50;132,00;55,00;80,00
2019-01-20;11,00;5,50;16,50;154,00;49,50;94,00
2019-01-27;10,00;10,00;15,00;125,00;45,00;84,00
2019-02-03;9,00;9,00;13,50;112,50;40,50;85,00
2019-02-10;12,00;12,00;18,00;144,00;54,00;80,00
2019-02-17;11,00;11,00;16,50;121,00;49,50;82,00
2019-02-24;6,00;6,00;18,00;150,00;60,00;72,00
2019-03-03;10,00;5,00;15,00;115,00;40,00;68,00
2019-03-10;5,00;10,00;10,00;130,00;45,00;81,00
2019-03-17;7,00;7,00;14,00;161,00;56,00;78,00
2019-03-24;6,00;6,00;18,00;132,00;36,00;85,00
2019-03-31;5,00;5,00;10,00;115,00;30,00;71,00
2019-04-07;5,00;5,00;15,00;140,00;35,00;64,00
2019-04-14;6,00;6,00;18,00;114,00;36,00;63,00
2019-04-21;7,00;7,00;21,00;154,00;49,00;65,00
2019-04-28;4,00;4,00;8,00;72,00;32,00;63,00
2019-05-05;3,00;6,00;12,00;114,00;42,00;68,00
2019-05-12;4,00;4,00;8,00;84,00;36,00;65,00
2019-05-19;5,00;5,00;10,00;105,00;30,00;79,00
2019-05-26;5,00;5,00;10,00;135,00;35,00;73,00
2019-06-02;6,00;6,00;12,00;414,00;42,00;82,00
2019-06-09;6,00;6,00;18,00;576,00;48,00;73,00
2019-06-16;20,00;5,00;10,00;500,00;40,00;68,00
2019-06-23;49,00;10,89;16,33;343,00;38,11;96,00
2019-06-30;8,00;8,00;16,00;216,00;64,00;78,00
2019-07-07;5,00;10,00;15,00;105,00;45,00;73,00
2019-07-14;6,00;6,00;12,00;126,00;48,00;85,00
2019-07-21;5,00;2,50;15,00;95,00;40,00;82,00
2019-07-28;4,00;4,00;12,00;64,00;28,00;72,00
2019-08-04;4,00;2,00;12,00;56,00;20,00;66,00
2019-08-11;3,00;6,00;12,00;84,00;48,00;73,00
2019-08-18;6,00;6,00;12,00;72,00;48,00;69,00
2019-08-25;10,00;5,00;15,00;65,00;40,00;84,00
2019-09-01;6,00;6,00;12,00;78,00;42,00;74,00
2019-09-08;2,00;4,00;12,00;52,00;28,00;52,00
2019-09-15;10,00;5,00;10,00;60,00;35,00;69,00
2019-09-22;8,00;16,00;16,00;112,00;48,00;56,00
2019-09-29;10,00;5,00;10,00;60,00;40,00;64,00
2019-10-06;9,00;4,50;9,00;63,00;27,00;60,00
2019-10-13;6,00;6,00;12,00;78,00;30,00;73,00
2019-10-20;8,00;16,00;8,00;104,00;40,00;61,00
2019-10-27;6,00;6,00;12,00;84,00;30,00;53,00
2019-11-03;5,00;10,00;10,00;80,00;30,00;63,00
2019-11-10;10,00;5,00;10,00;80,00;35,00;58,00
2019-11-17;10,00;10,00;10,00;75,00;30,00;65,00
2019-11-24;9,00;4,50;9,00;54,00;31,50;66,00
2019-12-01;7,00;7,00;14,00;91,00;49,00;64,00
2019-12-08;13,00;6,50;13,00;97,50;45,50;56,00
2019-12-15;7,00;14,00;14,00;91,00;49,00;72,00
2019-12-22;10,00;5,00;15,00;80,00;40,00;76,00
2019-12-29;14,00;7,00;21,00;126,00;91,00;83,00
2020-01-05;8,00;24,00;32,00;136,00;88,00;100,00
2020-01-12;13,00;13,00;19,50;117,00;71,50;81,00
2020-01-19;10,00;10,00;15,00;95,00;50,00;73,00
2020-01-26;11,00;11,00;16,50;104,50;44,00;75,00
2020-02-02;9,00;9,00;13,50;76,50;36,00;72,00
2020-02-09;12,00;6,00;12,00;108,00;72,00;64,00
2020-02-16;8,00;16,00;24,00;168,00;72,00;87,00
2020-02-23;10,00;10,00;20,00;120,00;45,00;75,00
2020-03-01;10,00;5,00;5,00;90,00;35,00;74,00
2020-03-08;8,00;16,00;24,00;192,00;56,00;70,00
2020-03-15;7,00;7,00;7,00;140,00;28,00;52,00
2020-03-22;6,00;12,00;3,00;54,00;24,00;37,00
2020-03-29;4,00;4,00;4,00;36,00;12,00;39,00
2020-04-05;7,00;7,00;7,00;49,00;14,00;45,00
2020-04-12;4,00;4,00;4,00;36,00;12,00;31,00
2020-04-19;10,00;5,00;5,00;40,00;20,00;40,00
2020-04-26;8,00;8,00;8,00;72,00;24,00;35,00
2020-05-03;6,00;6,00;6,00;60,00;18,00;36,00
2020-05-10;5,00;5,00;5,00;50,00;15,00;48,00
2020-05-17;6,00;12,00;3,00;60,00;24,00;48,00
2020-05-24;5,00;5,00;5,00;60,00;15,00;42,00
2020-05-31;6,00;6,00;12,00;72,00;24,00;47,00
2020-06-07;6,00;6,00;6,00;78,00;30,00;38,00
2020-06-14;7,00;7,00;7,00;77,00;35,00;42,00
2020-06-21;3,00;3,00;3,00;33,00;12,00;39,00
2020-06-28;4,00;4,00;4,00;48,00;16,00;42,00
2020-07-05;8,00;16,00;8,00;120,00;24,00;66,00
2020-07-12;6,00;6,00;6,00;78,00;18,00;87,00
2020-07-19;4,00;4,00;4,00;52,00;16,00;81,00
2020-07-26;5,00;5,00;10,00;60,00;20,00;77,00
2020-08-02;7,00;7,00;7,00;84,00;28,00;46,00
2020-08-09;7,00;7,00;14,00;77,00;28,00;62,00
2020-08-16;6,00;6,00;6,00;84,00;18,00;58,00
2020-08-23;8,00;8,00;16,00;96,00;32,00;53,00
2020-08-30;6,00;6,00;6,00;78,00;24,00;45,00
2020-09-06;8,00;8,00;16,00;104,00;40,00;45,00
2020-09-13;7,00;14,00;7,00;70,00;28,00;52,00
2020-09-20;5,00;5,00;5,00;70,00;25,00;44,00
2020-09-27;5,00;10,00;5,00;60,00;20,00;48,00
2020-10-04;4,00;4,00;4,00;52,00;20,00;48,00
2020-10-11;7,00;14,00;14,00;91,00;35,00;43,00
2020-10-18;11,00;5,50;5,50;60,50;27,50;40,00
2020-10-25;5,00;5,00;5,00;65,00;20,00;45,00
2020-11-01;4,00;4,00;4,00;32,00;16,00;35,00
2020-11-08;7,00;7,00;14,00;77,00;35,00;48,00
2020-11-15;9,00;4,50;9,00;54,00;18,00;45,00
2020-11-22;7,00;7,00;7,00;77,00;42,00;39,00
2020-11-29;7,00;7,00;7,00;77,00;28,00;52,00
2020-12-06;3,00;3,00;3,00;45,00;15,00;43,00
2020-12-13;6,00;6,00;6,00;72,00;24,00;43,00
2020-12-20;6,00;6,00;6,00;84,00;24,00;42,00
2020-12-27;6,00;6,00;12,00;84,00;30,00;64,00
2021-01-03;7,00;7,00;14,00;105,00;35,00;57,00
2021-01-10;5,00;10,00;10,00;90,00;30,00;61,00
2021-01-17;5,00;5,00;10,00;75,00;30,00;48,00
2021-01-24;7,00;7,00;7,00;98,00;42,00;42,00
2021-01-31;6,00;6,00;12,00;84,00;18,00;47,00
2021-02-07;6,00;6,00;12,00;78,00;36,00;44,00
2021-02-14;9,00;9,00;4,50;76,50;36,00;49,00
2021-02-21;8,00;8,00;16,00;144,00;48,00;41,00
2021-02-28;8,00;8,00;16,00;128,00;64,00;47,00
2021-03-07;5,00;5,00;10,00;90,00;35,00;48,00
2021-03-14;5,00;5,00;10,00;100,00;35,00;56,00
2021-03-21;5,00;5,00;10,00;105,00;45,00;56,00
2021-03-28;8,00;16,00;24,00;136,00;64,00;58,00
2021-04-04;11,00;5,50;16,50;115,50;44,00;58,00
2021-04-11;9,00;9,00;9,00;85,50;36,00;69,00
2021-04-18;6,00;12,00;18,00;120,00;48,00;59,00
2021-04-25;6,00;12,00;12,00;126,00;42,00;66,00
2021-05-02;14,00;4,67;9,33;98,00;32,67;57,00
2021-05-09;9,00;9,00;9,00;90,00;36,00;58,00
2021-05-16;11,00;11,00;11,00;132,00;55,00;57,00
2021-05-23;11,00;5,50;16,50;126,50;38,50;66,00
2021-05-30;8,00;8,00;24,00;168,00;64,00;58,00
2021-06-06;8,00;8,00;24,00;168,00;72,00;61,00
2021-06-13;6,00;6,00;12,00;132,00;54,00;66,00
2021-06-20;3,00;3,00;6,00;60,00;27,00;69,00
2021-06-27;7,00;7,00;21,00;154,00;70,00;79,00
2021-07-04;11,00;16,50;16,50;115,50;44,00;72,00
2021-07-11;60,00;32,73;10,91;120,00;43,64;62,00
2021-07-18;11,00;11,00;22,00;115,50;49,50;59,00
2021-07-25;8,00;16,00;8,00;176,00;48,00;63,00
2021-08-01;8,00;8,00;16,00;144,00;56,00;73,00
2021-08-08;7,00;14,00;21,00;126,00;42,00;67,00
2021-08-15;7,00;14,00;7,00;161,00;42,00;69,00
2021-08-22;5,00;5,00;10,00;70,00;35,00;56,00
2021-08-29;5,00;5,00;10,00;90,00;25,00;60,00
2021-09-05;6,00;12,00;12,00;102,00;36,00;54,00
2021-09-12;11,00;11,00;5,50;93,50;33,00;63,00
