Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;22,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,89;26,89;0,00;0,00;0,00;84,86;0,00;0,00;0,00;6,00;0,00
2019-01-13;38,00;5,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;5,07;11,40;64,60;0,00;0,00;0,00;22,17;0,00;5,00;0,00;0,00;0,00
2019-01-20;33,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,42;44,42;0,00;0,00;6,00;42,00;0,00;0,00;6,00;0,00;6,00
2019-01-27;60,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;5,11;11,49;66,38;0,00;0,00;0,00;88,42;6,32;0,00;11,00;5,00;0,00
2019-02-03;37,00;5,00;37,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,10;58,69;0,00;0,00;6,17;95,58;0,00;0,00;0,00;5,00;0,00
2019-02-10;43,00;11,00;11,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;48,06;0,00;0,00;0,00;46,07;0,00;0,00;11,00;0,00;0,00
2019-02-17;27,00;5,00;16,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;15,95;52,77;0,00;0,00;0,00;48,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;43,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,06;16,44;58,18;0,00;0,00;0,00;82,93;0,00;0,00;0,00;5,00;0,00
2019-03-03;88,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,48;28,06;5,10;0,00;0,00;72,29;0,00;0,00;5,00;0,00;0,00
2019-03-10;82,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;16,40;76,95;0,00;0,00;0,00;56,77;0,00;0,00;5,00;0,00;0,00
2019-03-17;39,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,32;32,71;0,00;0,00;0,00;68,25;0,00;0,00;6,00;6,00;17,00
2019-03-24;45,00;6,00;17,00;0,00;0,00;0,00;0,00;6,00;0,00;5,00;11,25;72,50;0,00;0,00;0,00;28,93;0,00;0,00;11,00;11,00;0,00
2019-03-31;50,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,79;28,21;5,13;0,00;0,00;50,00;0,00;0,00;0,00;11,00;0,00
2019-04-07;45,00;6,00;11,00;6,00;6,00;0,00;0,00;0,00;6,00;5,14;16,71;56,57;0,00;0,00;0,00;80,36;0,00;0,00;0,00;11,00;6,00
2019-04-14;46,00;6,00;23,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,39;86,89;0,00;0,00;0,00;61,33;0,00;0,00;0,00;12,00;6,00
2019-04-21;58,00;0,00;6,00;6,00;0,00;6,00;0,00;6,00;0,00;6,30;11,35;51,70;0,00;0,00;0,00;94,63;0,00;0,00;0,00;0,00;0,00
2019-04-28;66,00;6,00;17,00;0,00;11,00;0,00;0,00;11,00;0,00;5,08;0,00;72,35;0,00;0,00;0,00;72,29;0,00;0,00;0,00;11,00;0,00
2019-05-05;74,00;11,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;16,59;57,41;0,00;0,00;0,00;83,25;0,00;0,00;0,00;0,00;11,00
2019-05-12;34,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,96;85,63;0,00;0,00;0,00;55,64;0,00;0,00;6,00;0,00;0,00
2019-05-19;46,00;0,00;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,50;63,89;6,39;0,00;0,00;79,73;0,00;0,00;0,00;6,00;12,00
2019-05-26;100,00;6,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;35,44;100,00;0,00;0,00;0,00;112,50;0,00;0,00;6,00;12,00;0,00
2019-06-02;62,00;11,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;5,06;11,39;50,61;0,00;0,00;0,00;310,00;0,00;0,00;6,00;6,00;0,00
2019-06-09;64,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;6,40;23,04;93,44;0,00;0,00;0,00;83,20;0,00;0,00;6,00;0,00;17,00
2019-06-16;23,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;75,39;0,00;0,00;0,00;98,57;0,00;0,00;0,00;0,00;0,00
2019-06-23;47,00;6,00;47,00;0,00;0,00;0,00;0,00;6,00;0,00;6,35;6,35;47,00;0,00;0,00;0,00;53,27;0,00;0,00;12,00;6,00;6,00
2019-06-30;79,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,37;79,00;0,00;6,32;0,00;79,00;0,00;0,00;6,00;6,00;0,00
2019-07-07;51,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,58;91,80;0,00;0,00;0,00;51,00;0,00;0,00;11,00;0,00;6,00
2019-07-14;52,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,41;46,93;0,00;0,00;0,00;58,12;0,00;0,00;6,00;0,00;0,00
2019-07-21;66,00;24,00;24,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;11,42;59,65;0,00;0,00;0,00;47,14;0,00;0,00;0,00;0,00;0,00
2019-07-28;58,00;6,00;12,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;40,35;0,00;0,00;0,00;73,26;6,11;0,00;6,00;0,00;6,00
2019-08-04;35,00;6,00;17,00;0,00;12,00;12,00;0,00;0,00;0,00;0,00;11,67;59,63;6,48;0,00;0,00;47,73;0,00;6,00;6,00;0,00;0,00
2019-08-11;34,00;0,00;17,00;0,00;0,00;0,00;0,00;6,00;11,00;0,00;17,63;56,67;0,00;6,18;0,00;55,64;6,18;0,00;6,00;0,00;0,00
2019-08-18;56,00;17,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,45;56,00;0,00;0,00;0,00;77,78;0,00;0,00;11,00;6,00;6,00
2019-08-25;60,00;5,00;22,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;11,25;65,00;0,00;0,00;0,00;50,53;0,00;0,00;0,00;0,00;0,00
2019-09-01;37,00;5,00;11,00;0,00;0,00;5,00;5,00;0,00;0,00;5,10;5,10;70,17;0,00;0,00;6,17;46,25;6,17;0,00;11,00;21,00;11,00
2019-09-08;52,00;10,00;21,00;0,00;0,00;5,00;5,00;0,00;10,00;0,00;0,00;31,71;0,00;0,00;6,12;55,06;9,18;0,00;10,00;5,00;5,00
2019-09-15;57,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,20;30,40;0,00;0,00;6,33;63,33;0,00;0,00;0,00;15,00;0,00
2019-09-22;47,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,24;36,84;0,00;0,00;0,00;53,27;6,27;0,00;5,00;0,00;0,00
2019-09-29;69,00;5,00;21,00;0,00;0,00;5,00;0,00;11,00;0,00;0,00;21,33;62,73;0,00;0,00;0,00;43,91;0,00;0,00;16,00;0,00;5,00
2019-10-06;37,00;0,00;11,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;10,21;37,00;0,00;6,17;0,00;89,42;0,00;0,00;5,00;5,00;0,00
2019-10-13;42,00;0,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;10,18;31,82;0,00;0,00;0,00;90,46;0,00;0,00;5,00;10,00;0,00
2019-10-20;31,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,33;42,63;0,00;0,00;0,00;31,00;0,00;0,00;0,00;10,00;10,00
2019-10-27;16,00;0,00;11,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;16,00;28,00;0,00;0,00;0,00;70,40;6,40;0,00;0,00;0,00;0,00
2019-11-03;51,00;0,00;10,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;30,60;35,70;0,00;0,00;9,56;79,69;0,00;0,00;5,00;10,00;5,00
2019-11-10;56,00;0,00;15,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;25,45;25,45;0,00;0,00;0,00;80,89;0,00;0,00;0,00;10,00;5,00
2019-11-17;47,00;21,00;10,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,08;52,08;0,00;0,00;0,00;47,00;6,27;0,00;10,00;10,00;5,00
2019-11-24;27,00;16,00;11,00;0,00;0,00;5,00;0,00;0,00;11,00;5,14;5,14;38,57;0,00;0,00;0,00;36,00;0,00;0,00;5,00;5,00;5,00
2019-12-01;50,00;5,00;20,00;5,00;0,00;5,00;0,00;0,00;5,00;0,00;10,00;35,00;5,00;0,00;0,00;56,25;0,00;0,00;10,00;0,00;0,00
2019-12-08;26,00;20,00;10,00;0,00;5,00;5,00;0,00;10,00;0,00;0,00;26,00;67,60;0,00;0,00;0,00;52,00;0,00;0,00;5,00;5,00;15,00
2019-12-15;26,00;5,00;11,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;21,05;40,86;0,00;0,00;0,00;55,25;0,00;0,00;5,00;5,00;11,00
2019-12-22;23,00;0,00;12,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;23,00;76,67;6,39;0,00;0,00;55,86;0,00;0,00;0,00;0,00;6,00
