Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;47,00;47,00;16,00;0,00;0,00;32,05;0,00;0,00;0,00;0,00;30,65;30,65;0,00;0,00;0,00;14,95;0,00;0,00;47,00;0,00;0,00
2019-01-13;16,00;0,00;0,00;16,00;0,00;16,00;16,00;0,00;16,00;0,00;92,00;46,00;16,00;0,00;16,00;118,86;0,00;200,00;66,00;16,00;34,00
2019-01-20;0,00;0,00;31,00;15,00;15,00;22,00;0,00;0,00;0,00;0,00;7,00;30,00;7,00;0,00;0,00;22,00;0,00;24,00;8,00;8,00;16,00
2019-01-27;45,00;30,00;0,00;15,00;0,00;15,00;0,00;0,00;0,00;0,00;45,00;45,00;0,00;15,00;0,00;15,00;0,00;0,00;30,00;0,00;15,00
2019-02-03;16,00;32,00;0,00;16,00;0,00;0,00;34,29;0,00;0,00;0,00;62,00;92,00;0,00;0,00;0,00;68,57;50,29;0,00;116,00;0,00;0,00
2019-02-10;0,00;0,00;16,00;0,00;0,00;22,00;0,00;7,00;0,00;8,00;15,00;31,00;0,00;0,00;0,00;37,00;0,00;0,00;8,00;0,00;0,00
2019-02-17;64,00;48,00;16,00;0,00;0,00;64,00;0,00;0,00;17,07;0,00;64,00;64,00;0,00;0,00;17,07;49,07;17,07;0,00;96,00;0,00;32,00
2019-02-24;31,00;16,00;31,00;0,00;16,00;14,47;14,47;0,00;14,47;16,53;47,53;31,00;0,00;0,00;0,00;59,93;14,47;0,00;63,94;0,00;15,50
2019-03-03;0,00;0,00;0,00;0,00;0,00;23,00;23,00;0,00;0,00;0,00;55,00;55,00;0,00;0,00;0,00;8,00;0,00;0,00;17,00;0,00;8,00
2019-03-10;16,00;16,00;0,00;16,00;0,00;50,29;0,00;0,00;0,00;16,00;16,00;92,00;0,00;0,00;0,00;50,29;0,00;0,00;32,00;0,00;0,00
2019-03-17;16,00;16,00;16,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;32,00;0,00;16,00;0,00;0,00;122,00;16,00;0,00;30,22;0,00;0,00
