Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;43,00;344,00;71,67;14,33;43,00;10,00;7,00;20,00;13,00;10,00;0,00;3,00;0,00
2019-01-13;33,00;220,00;55,00;11,00;22,00;10,00;16,00;7,00;0,00;7,00;10,00;0,00;0,00
2019-01-20;38,00;291,33;63,33;12,67;12,67;25,00;6,00;10,00;16,00;3,00;10,00;3,00;3,00
2019-01-27;19,00;161,50;57,00;4,75;9,50;12,00;12,00;0,00;0,00;13,00;3,00;3,00;0,00
2019-02-03;33,00;187,00;66,00;22,00;11,00;33,00;10,00;0,00;3,00;10,00;3,00;7,00;0,00
2019-02-10;29,00;333,50;116,00;29,00;29,00;39,00;19,00;3,00;16,00;0,00;3,00;6,00;0,00
2019-02-17;23,00;230,00;46,00;23,00;0,00;23,00;20,00;7,00;10,00;3,00;20,00;13,00;3,00
2019-02-24;39,00;299,00;78,00;13,00;13,00;26,00;19,00;0,00;6,00;16,00;10,00;0,00;6,00
2019-03-03;43,00;225,75;64,50;21,50;21,50;17,00;17,00;7,00;7,00;7,00;3,00;10,00;7,00
2019-03-10;42,00;336,00;70,00;14,00;28,00;23,00;19,00;3,00;3,00;3,00;0,00;10,00;6,00
2019-03-17;30,00;330,00;75,00;7,50;30,00;27,00;13,00;10,00;7,00;10,00;3,00;7,00;3,00
2019-03-24;7,00;168,00;49,00;7,00;7,00;20,00;10,00;3,00;3,00;7,00;7,00;20,00;0,00
2019-03-31;36,00;252,00;72,00;24,00;24,00;36,00;16,00;16,00;3,00;0,00;3,00;6,00;0,00
2019-04-07;52,00;377,00;78,00;26,00;39,00;24,00;24,00;14,00;0,00;10,00;3,00;7,00;3,00
2019-04-14;28,00;1400,00;98,00;28,00;14,00;32,00;32,00;11,00;11,00;25,00;7,00;21,00;7,00
2019-04-21;40,00;200,00;80,00;13,33;26,67;30,00;27,00;7,00;3,00;17,00;10,00;7,00;3,00
2019-04-28;38,00;253,33;76,00;12,67;25,33;41,00;19,00;9,00;6,00;3,00;13,00;13,00;3,00
2019-05-05;25,00;212,50;50,00;25,00;12,50;31,00;9,00;3,00;3,00;9,00;12,00;3,00;3,00
2019-05-12;56,00;224,00;56,00;11,20;22,40;26,00;26,00;20,00;26,00;3,00;3,00;3,00;0,00
2019-05-19;34,00;181,33;45,33;22,67;22,67;28,00;16,00;6,00;3,00;3,00;0,00;13,00;0,00
2019-05-26;44,00;242,00;77,00;22,00;11,00;16,00;16,00;13,00;3,00;6,00;6,00;13,00;0,00
2019-06-02;18,00;486,00;90,00;18,00;18,00;24,00;18,00;12,00;15,00;15,00;3,00;9,00;9,00
2019-06-09;40,00;226,67;66,67;13,33;13,33;52,00;28,00;12,00;15,00;9,00;6,00;6,00;6,00
2019-06-16;42,00;308,00;98,00;28,00;14,00;35,00;26,00;6,00;16,00;10,00;0,00;6,00;10,00
2019-06-23;44,00;242,00;77,00;11,00;22,00;38,00;34,00;7,00;3,00;20,00;14,00;10,00;14,00
2019-06-30;62,00;297,60;86,80;24,80;24,80;41,00;62,00;10,00;10,00;3,00;7,00;17,00;7,00
2019-07-07;50,00;325,00;75,00;37,50;25,00;43,00;37,00;17,00;10,00;10,00;13,00;20,00;13,00
2019-07-14;49,00;318,50;61,25;36,75;36,75;39,00;4,00;21,00;14,00;18,00;0,00;4,00;14,00
2019-07-21;55,00;371,25;68,75;27,50;41,25;11,00;18,00;7,00;7,00;22,00;15,00;18,00;11,00
2019-07-28;62,00;384,40;99,20;49,60;37,20;22,00;36,00;11,00;4,00;7,00;4,00;22,00;11,00
2019-08-04;42,00;350,00;112,00;28,00;28,00;53,00;25,00;7,00;25,00;14,00;4,00;28,00;4,00
2019-08-11;45,00;315,00;78,75;33,75;22,50;34,00;31,00;10,00;10,00;17,00;3,00;14,00;0,00
2019-08-18;42,00;308,00;84,00;28,00;28,00;38,00;10,00;14,00;17,00;7,00;7,00;3,00;0,00
2019-08-25;23,00;230,00;57,50;11,50;11,50;17,00;27,00;0,00;7,00;13,00;3,00;13,00;3,00
2019-09-01;45,00;236,25;78,75;22,50;22,50;32,00;16,00;10,00;6,00;3,00;3,00;6,00;6,00
2019-09-08;29,00;319,00;101,50;43,50;29,00;29,00;26,00;13,00;3,00;13,00;13,00;13,00;3,00
2019-09-15;39,00;299,00;78,00;26,00;13,00;16,00;13,00;6,00;6,00;3,00;6,00;10,00;0,00
2019-09-22;37,00;222,00;74,00;24,67;24,67;52,00;22,00;3,00;6,00;3,00;6,00;6,00;3,00
2019-09-29;22,00;264,00;55,00;11,00;11,00;28,00;9,00;0,00;3,00;3,00;6,00;0,00;3,00
2019-10-06;35,00;210,00;46,67;23,33;23,33;28,00;13,00;3,00;3,00;6,00;0,00;3,00;3,00
2019-10-13;12,00;228,00;60,00;24,00;24,00;18,00;3,00;18,00;12,00;6,00;3,00;3,00;6,00
2019-10-20;34,00;260,67;90,67;22,67;34,00;15,00;12,00;12,00;9,00;3,00;3,00;3,00;9,00
2019-10-27;42,00;406,00;112,00;28,00;42,00;13,00;6,00;6,00;13,00;10,00;3,00;3,00;0,00
2019-11-03;12,00;312,00;48,00;24,00;24,00;21,00;18,00;6,00;9,00;9,00;0,00;3,00;3,00
2019-11-10;15,00;390,00;75,00;45,00;30,00;15,00;15,00;0,00;22,00;6,00;3,00;0,00;0,00
2019-11-17;18,00;378,00;90,00;54,00;9,00;27,00;6,00;6,00;6,00;0,00;6,00;0,00;0,00
2019-11-24;18,00;396,00;144,00;108,00;36,00;12,00;6,00;6,00;12,00;3,00;3,00;3,00;3,00
2019-12-01;15,00;285,00;75,00;30,00;15,00;12,00;9,00;6,00;12,00;12,00;3,00;3,00;3,00
2019-12-08;21,00;231,00;31,50;42,00;21,00;9,00;3,00;15,00;15,00;12,00;0,00;0,00;3,00
2019-12-15;39,00;299,00;78,00;39,00;13,00;18,00;15,00;3,00;15,00;0,00;9,00;6,00;0,00
2019-12-22;13,00;364,00;78,00;39,00;13,00;3,00;13,00;10,00;3,00;10,00;0,00;0,00;3,00
2019-12-29;29,00;362,50;72,50;14,50;29,00;3,00;13,00;0,00;3,00;3,00;6,00;3,00;0,00
2020-01-05;20,00;210,00;50,00;10,00;20,00;23,00;23,00;6,00;9,00;9,00;3,00;0,00;3,00
2020-01-12;36,00;264,00;60,00;36,00;36,00;34,00;3,00;8,00;14,00;14,00;3,00;3,00;0,00
2020-01-19;23,00;276,00;69,00;34,50;23,00;23,00;26,00;6,00;6,00;9,00;6,00;9,00;3,00
2020-01-26;26,00;299,00;78,00;13,00;39,00;34,00;14,00;9,00;20,00;6,00;3,00;3,00;9,00
2020-02-02;20,00;220,00;60,00;20,00;20,00;15,00;12,00;6,00;9,00;9,00;6,00;9,00;6,00
2020-02-09;23,00;207,00;57,50;11,50;23,00;25,00;20,00;0,00;3,00;3,00;6,00;3,00;6,00
2020-02-16;45,00;270,00;56,25;22,50;22,50;28,00;11,00;3,00;20,00;6,00;3,00;6,00;3,00
2020-02-23;17,00;340,00;68,00;34,00;34,00;20,00;11,00;6,00;14,00;0,00;6,00;8,00;3,00
2020-03-01;23,00;230,00;57,50;23,00;23,00;31,00;22,00;11,00;3,00;6,00;8,00;11,00;3,00
2020-03-08;100,00;287,50;37,50;12,50;12,50;6,00;19,00;3,00;11,00;0,00;0,00;6,00;0,00
2020-03-15;16,00;144,00;32,00;16,00;16,00;16,00;5,00;3,00;14,00;3,00;8,00;0,00;0,00
2020-03-22;3,00;48,00;12,00;3,00;3,00;0,00;3,00;8,00;0,00;3,00;0,00;0,00;0,00
2020-03-29;8,00;48,00;4,00;0,00;4,00;13,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00
2020-04-05;0,00;6,00;0,00;1,00;0,00;8,00;3,00;17,00;0,00;3,00;0,00;6,00;0,00
2020-04-12;8,00;40,00;4,00;4,00;4,00;5,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00
2020-04-19;16,00;64,00;8,00;16,00;8,00;8,00;0,00;0,00;3,00;5,00;3,00;0,00;0,00
2020-04-26;0,00;5,00;1,00;0,00;0,50;10,00;5,00;5,00;5,00;0,00;0,00;0,00;3,00
2020-05-03;5,00;40,00;10,00;0,00;5,00;8,00;0,00;3,00;5,00;3,00;0,00;3,00;0,00
2020-05-10;0,00;4,00;0,50;0,50;0,50;10,00;10,00;0,00;8,00;5,00;3,00;0,00;0,00
2020-05-17;8,00;40,00;16,00;0,00;4,00;13,00;3,00;0,00;3,00;8,00;0,00;0,00;0,00
2020-05-24;16,00;64,00;16,00;16,00;16,00;18,00;0,00;5,00;8,00;5,00;0,00;10,00;3,00
2020-05-31;27,00;94,50;27,00;6,75;13,50;27,00;10,00;5,00;7,00;10,00;2,00;15,00;2,00
2020-06-07;25,00;125,00;50,00;12,50;12,50;25,00;12,00;5,00;5,00;12,00;5,00;10,00;2,00
2020-06-14;35,00;116,67;46,67;11,67;35,00;38,00;15,00;10,00;13,00;15,00;8,00;3,00;15,00
2020-06-21;19,00;104,50;38,00;9,50;19,00;24,00;19,00;3,00;11,00;3,00;5,00;13,00;0,00
2020-06-28;48,00;156,00;72,00;24,00;36,00;61,00;45,00;16,00;16,00;19,00;8,00;13,00;3,00
2020-07-05;36,00;228,00;48,00;24,00;24,00;67,00;42,00;19,00;11,00;14,00;3,00;0,00;0,00
2020-07-12;53,00;265,00;79,50;26,50;39,75;53,00;27,00;0,00;9,00;21,00;30,00;3,00;0,00
2020-07-19;50,00;250,00;87,50;12,50;25,00;50,00;16,00;9,00;16,00;22,00;19,00;0,00;13,00
2020-07-26;42,00;238,00;84,00;14,00;28,00;33,00;15,00;12,00;3,00;18,00;12,00;3,00;3,00
2020-08-02;46,00;161,00;34,50;11,50;34,50;46,00;34,00;6,00;9,00;9,00;0,00;20,00;6,00
2020-08-09;33,00;165,00;44,00;11,00;5,50;39,00;6,00;11,00;3,00;22,00;0,00;14,00;19,00
2020-08-16;22,00;121,00;55,00;22,00;11,00;44,00;27,00;14,00;0,00;14,00;8,00;5,00;3,00
2020-08-23;36,00;144,00;60,00;12,00;24,00;25,00;19,00;5,00;3,00;27,00;11,00;0,00;5,00
2020-08-30;28,00;98,00;56,00;28,00;14,00;11,00;8,00;8,00;3,00;8,00;0,00;6,00;0,00
2020-09-06;31,00;82,67;41,33;10,33;10,33;20,00;11,00;8,00;11,00;6,00;3,00;6,00;6,00
2020-09-13;14,00;126,00;28,00;14,00;14,00;9,00;3,00;17,00;3,00;11,00;0,00;9,00;0,00
2020-09-20;17,00;170,00;51,00;17,00;17,00;11,00;11,00;5,00;0,00;3,00;6,00;0,00;0,00
2020-09-27;14,00;126,00;42,00;14,00;7,00;11,00;11,00;3,00;8,00;6,00;3,00;0,00;0,00
2020-10-04;17,00;187,00;68,00;8,50;17,00;6,00;14,00;6,00;3,00;8,00;0,00;6,00;3,00
2020-10-11;3,00;48,00;18,00;6,00;6,00;3,00;9,00;3,00;9,00;3,00;0,00;3,00;0,00
2020-10-18;0,00;8,00;2,00;0,50;1,00;6,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-10-25;20,00;70,00;10,00;5,00;5,00;6,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-11-01;0,00;3,00;1,00;1,00;0,50;29,00;3,00;3,00;3,00;0,00;0,00;3,00;0,00
2020-11-08;8,00;32,00;8,00;4,00;8,00;6,00;0,00;0,00;6,00;0,00;3,00;0,00;0,00
2020-11-15;6,00;84,00;24,00;0,00;12,00;3,00;0,00;0,00;3,00;3,00;0,00;3,00;0,00
2020-11-22;8,00;56,00;16,00;4,00;4,00;19,00;11,00;6,00;0,00;3,00;0,00;0,00;0,00
2020-11-29;3,00;42,00;12,00;3,00;3,00;0,00;6,00;3,00;0,00;3,00;0,00;11,00;0,00
2020-12-06;8,00;56,00;16,00;4,00;8,00;6,00;0,00;3,00;0,00;6,00;3,00;6,00;0,00
2020-12-13;3,00;48,00;12,00;3,00;6,00;9,00;14,00;12,00;0,00;0,00;0,00;3,00;0,00
2020-12-20;12,00;96,00;24,00;12,00;12,00;18,00;3,00;6,00;6,00;0,00;0,00;6,00;6,00
2020-12-27;9,00;72,00;18,00;4,50;0,00;24,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00
2021-01-03;17,00;119,00;34,00;8,50;0,00;6,00;6,00;6,00;11,00;6,00;0,00;0,00;3,00
