Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;48,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;94,74;0,00;0,00;0,00;72,59;0,00;0,00;0,00;0,00;0,00
2019-01-13;96,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,65;24,65;0,00;0,00;0,00;23,41;0,00;0,00;0,00;0,00;0,00
2019-01-20;69,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;69,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;23,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;93,28;0,00;0,00;0,00;46,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;47,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;47,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;94,42;0,00;0,00;0,00;0,00;0,00
2019-02-24;69,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;69,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;130,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;0,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;0,00;0,00;0,00;39,00;0,00;0,00;0,00;0,00;0,00
