Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;49,00;9,00;0,00;0,00;0,00;0,00;4,00;18,00;4,00;9,00;18,00;18,00;40,00;0,00;9,00;0,00;4,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;49,00;0,00;4,00;0,00;4,00;9,00;4,00;18,00;0,00;9,00;13,00;9,00;27,00;0,00;9,00;0,00;4,00;0,00;0,00;4,00;18,00;4,00;9,00;4,00;0,00;0,00;0,00;0,00
2019-01-20;85,00;18,00;0,00;0,00;0,00;4,00;0,00;18,00;4,00;27,00;9,00;9,00;36,00;0,00;9,00;0,00;4,00;0,00;0,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;61,00;4,00;4,00;4,00;4,00;4,00;0,00;17,00;0,00;13,00;9,00;13,00;22,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;60,00;0,00;9,00;0,00;9,00;0,00;0,00;27,00;0,00;5,00;14,00;14,00;18,00;9,00;9,00;5,00;0,00;0,00;0,00;14,00;14,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;27,00;9,00;5,00;0,00;5,00;5,00;5,00;14,00;14,00;14,00;18,00;14,00;5,00;0,00;0,00;5,00;5,00;5,00;5,00;9,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;47,00;5,00;0,00;0,00;0,00;5,00;0,00;9,00;5,00;14,00;9,00;23,00;19,00;5,00;5,00;5,00;9,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;55,00;9,00;9,00;0,00;0,00;9,00;0,00;14,00;5,00;5,00;5,00;18,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;35,00;9,00;4,00;0,00;4,00;4,00;0,00;13,00;9,00;0,00;4,00;18,00;0,00;0,00;13,00;0,00;4,00;0,00;4,00;0,00;13,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;36,00;0,00;18,00;0,00;9,00;4,00;0,00;13,00;0,00;13,00;9,00;9,00;13,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;56,00;14,00;5,00;0,00;5,00;0,00;0,00;9,00;5,00;0,00;5,00;14,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;56,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;19,00;14,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;59,00;5,00;9,00;5,00;0,00;0,00;0,00;5,00;0,00;14,00;5,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;9,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;34,00;0,00;9,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;55,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;66,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;26,00;0,00;0,00;0,00;4,00;0,00;0,00;13,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;40,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;36,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;82,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;64,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;27,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;5,00;0,00;0,00;5,00;0,00;14,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;74,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;9,00;5,00;9,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;98,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;81,00;0,00;5,00;19,00;0,00;0,00;0,00;5,00;0,00;5,00;14,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;58,00;14,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;14,00;14,00;5,00;0,00;14,00;5,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;62,00;0,00;5,00;0,00;5,00;0,00;0,00;5,00;0,00;15,00;15,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
