Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;17,00;153,00;7,29;21,86;21,86;19,00;3,00;6,00;6,00;3,00;3,00;0,00;6,00
2019-01-13;30,00;107,50;2,50;30,00;27,50;0,00;11,00;0,00;8,00;3,00;5,00;3,00;3,00
2019-01-20;25,00;142,50;0,00;22,50;20,00;8,00;8,00;6,00;8,00;0,00;3,00;3,00;0,00
2019-01-27;29,00;125,67;4,83;26,58;12,08;16,00;5,00;3,00;3,00;3,00;3,00;0,00;3,00
2019-02-03;17,00;133,57;2,43;19,43;26,71;6,00;6,00;3,00;3,00;3,00;3,00;0,00;0,00
2019-02-10;25,00;152,50;2,50;20,00;27,50;23,00;11,00;3,00;6,00;3,00;3,00;0,00;0,00
2019-02-17;12,00;146,40;0,00;28,80;28,80;9,00;6,00;0,00;6,00;3,00;3,00;0,00;3,00
2019-02-24;29,00;142,58;0,00;16,92;31,42;6,00;11,00;0,00;6,00;3,00;3,00;0,00;3,00
2019-03-03;22,00;149,11;7,33;19,56;26,89;5,00;0,00;0,00;0,00;11,00;3,00;0,00;3,00
2019-03-10;45,00;167,50;7,50;40,00;45,00;8,00;8,00;0,00;0,00;3,00;6,00;8,00;6,00
2019-03-17;29,00;157,08;0,00;24,17;24,17;20,00;9,00;3,00;6,00;6,00;0,00;6,00;3,00
2019-03-24;35,00;132,50;2,50;35,00;30,00;17,00;12,00;3,00;0,00;6,00;6,00;3,00;3,00
2019-03-31;39,00;151,13;4,88;31,69;21,94;20,00;11,00;8,00;0,00;3,00;6,00;3,00;3,00
2019-04-07;53,00;149,36;4,82;45,77;57,82;13,00;16,00;5,00;3,00;5,00;0,00;3,00;8,00
2019-04-14;47,00;247,37;0,00;47,00;61,84;22,00;13,00;3,00;3,00;9,00;3,00;9,00;12,00
2019-04-21;47,00;163,26;2,47;56,89;34,63;13,00;13,00;3,00;0,00;0,00;0,00;3,00;3,00
2019-04-28;22,00;117,33;2,44;14,67;22,00;16,00;16,00;3,00;11,00;8,00;3,00;0,00;0,00
2019-05-05;27,00;110,45;2,45;46,64;36,82;22,00;16,00;3,00;3,00;5,00;8,00;8,00;5,00
2019-05-12;36,00;134,40;2,40;24,00;33,60;14,00;11,00;3,00;8,00;0,00;0,00;6,00;3,00
2019-05-19;66,00;122,22;2,44;46,44;48,89;11,00;8,00;6,00;0,00;8,00;6,00;3,00;14,00
2019-05-26;33,00;165,00;0,00;48,23;45,69;12,00;3,00;3,00;6,00;18,00;0,00;3,00;3,00
2019-06-02;42,00;116,12;4,94;44,47;24,71;20,00;17,00;6,00;0,00;6,00;6,00;3,00;3,00
2019-06-09;51,00;126,29;0,00;26,71;34,00;20,00;26,00;3,00;3,00;17,00;3,00;0,00;3,00
2019-06-16;40,00;155,00;2,50;27,50;20,00;14,00;0,00;6,00;3,00;0,00;3,00;9,00;0,00
2019-06-23;58,00;141,22;0,00;22,70;30,26;15,00;0,00;0,00;3,00;3,00;9,00;6,00;6,00
2019-06-30;50,00;152,50;0,00;17,50;20,00;39,00;12,00;6,00;9,00;6,00;0,00;3,00;6,00
2019-07-07;62,00;166,16;0,00;34,72;42,16;27,00;30,00;9,00;18,00;6,00;3,00;6,00;6,00
2019-07-14;45,00;145,00;7,50;45,00;20,00;10,00;13,00;3,00;3,00;6,00;6,00;3,00;6,00
2019-07-21;62,00;146,32;7,44;27,28;37,20;17,00;7,00;3,00;0,00;10,00;3,00;3,00;10,00
2019-07-28;28,00;162,91;0,00;45,82;17,82;14,00;14,00;3,00;3,00;0,00;14,00;7,00;7,00
2019-08-04;35,00;122,50;2,50;42,50;47,50;10,00;16,00;3,00;10,00;10,00;10,00;3,00;6,00
2019-08-11;38,00;136,80;0,00;12,67;32,93;9,00;15,00;0,00;3,00;3,00;3,00;0,00;0,00
2019-08-18;31,00;124,00;0,00;33,38;23,85;8,00;8,00;3,00;3,00;11,00;6,00;3,00;0,00
2019-08-25;45,00;112,50;2,50;37,50;22,50;11,00;14,00;6,00;3,00;6,00;9,00;8,00;6,00
2019-09-01;32,00;182,15;2,46;24,62;39,38;8,00;16,00;3,00;0,00;3,00;5,00;3,00;5,00
2019-09-08;39,00;192,56;4,88;26,81;39,00;11,00;14,00;8,00;8,00;3,00;0,00;0,00;0,00
2019-09-15;14,00;200,67;2,33;49,00;14,00;6,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00
2019-09-22;17,00;182,14;2,43;31,57;38,86;19,00;8,00;6,00;8,00;6,00;0,00;6,00;6,00
2019-09-29;39,00;126,75;0,00;48,75;41,44;14,00;8,00;11,00;3,00;8,00;0,00;3,00;6,00
2019-10-06;34,00;165,14;2,43;55,86;19,43;8,00;14,00;3,00;0,00;3,00;0,00;6,00;3,00
2019-10-13;33,00;129,64;2,36;47,14;42,43;3,00;8,00;3,00;8,00;0,00;6,00;0,00;11,00
2019-10-20;8,00;197,33;0,00;29,33;45,33;22,00;11,00;3,00;0,00;8,00;3,00;0,00;8,00
2019-10-27;19,00;114,00;7,13;30,88;38,00;5,00;8,00;3,00;3,00;0,00;5,00;3,00;3,00
2019-11-03;13,00;132,60;5,20;41,60;18,20;11,00;16,00;3,00;0,00;3,00;3,00;0,00;3,00
2019-11-10;19,00;121,13;7,13;33,25;42,75;3,00;3,00;3,00;5,00;3,00;5,00;0,00;5,00
2019-11-17;13,00;179,40;7,80;28,60;33,80;0,00;5,00;3,00;5,00;3,00;3,00;3,00;8,00
2019-11-24;18,00;162,00;0,00;54,00;23,14;5,00;13,00;3,00;3,00;5,00;3,00;0,00;5,00
2019-12-01;19,00;135,38;0,00;52,25;33,25;5,00;3,00;3,00;3,00;3,00;5,00;0,00;0,00
2019-12-08;16,00;141,33;5,33;29,33;37,33;8,00;8,00;3,00;0,00;5,00;11,00;16,00;0,00
2019-12-15;27,00;179,18;0,00;24,55;31,91;5,00;3,00;5,00;0,00;11,00;5,00;5,00;8,00
2019-12-22;26,00;158,60;0,00;36,40;46,80;13,00;16,00;6,00;3,00;10,00;3,00;0,00;3,00
2019-12-29;22,00;180,89;0,00;46,44;14,67;6,00;12,00;3,00;6,00;6,00;3,00;0,00;3,00
2020-01-05;21,00;139,13;2,63;10,50;15,75;13,00;5,00;0,00;8,00;3,00;3,00;0,00;3,00
2020-01-12;33,00;172,62;5,08;25,38;22,85;18,00;13,00;0,00;3,00;8,00;0,00;3,00;0,00
2020-01-19;18,00;123,43;0,00;20,57;23,14;13,00;13,00;3,00;0,00;8,00;3,00;3,00;5,00
2020-01-26;20,00;112,50;2,50;25,00;12,50;18,00;15,00;3,00;0,00;0,00;3,00;0,00;0,00
2020-02-02;20,00;137,50;2,50;15,00;25,00;18,00;23,00;0,00;5,00;8,00;5,00;0,00;3,00
