Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;33,00;16,00;16,00;0,00;0,00;83,00;17,00;17,00;0,00;17,77;33,00;187,85;0,00;0,00;0,00;83,60;33,00;0,00;49,50;16,50;0,00
2019-01-13;48,00;64,00;16,00;0,00;0,00;48,00;0,00;0,00;16,00;0,00;79,20;141,60;0,00;0,00;0,00;80,73;0,00;16,62;48,00;0,00;33,23
2019-01-20;16,00;16,00;0,00;16,00;0,00;32,00;0,00;0,00;0,00;16,00;45,71;75,43;0,00;0,00;0,00;100,57;0,00;16,00;62,22;0,00;0,00
2019-01-27;96,00;64,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;78,77;14,77;0,00;0,00;15,27;63,27;0,00;0,00;112,62;0,00;16,62
2019-02-03;81,00;32,00;0,00;0,00;0,00;16,00;16,00;0,00;0,00;0,00;127,64;63,82;0,00;15,32;0,00;113,84;0,00;0,00;81,00;0,00;16,57
2019-02-10;33,00;99,00;16,00;0,00;0,00;16,00;0,00;0,00;16,00;0,00;101,54;83,77;0,00;0,00;0,00;116,60;0,00;0,00;33,00;0,00;16,50
2019-02-17;16,00;49,00;0,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00;91,43;61,71;0,00;0,00;0,00;76,00;16,00;0,00;64,00;0,00;16,00
2019-02-24;68,00;17,00;17,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;68,00;51,00;0,00;0,00;0,00;50,45;0,00;0,00;51,46;16,54;0,00
2019-03-03;33,00;49,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;185,31;66,00;0,00;0,00;0,00;48,40;0,00;0,00;33,00;0,00;16,50
2019-03-10;49,00;16,00;0,00;0,00;0,00;16,00;0,00;16,00;0,00;0,00;31,85;63,70;0,00;0,00;0,00;49,00;33,41;0,00;32,67;0,00;0,00
2019-03-17;34,00;0,00;17,00;0,00;0,00;34,00;0,00;0,00;0,00;0,00;99,57;150,57;0,00;0,00;0,00;65,88;82,88;0,00;0,00;0,00;17,00
2019-03-24;67,00;67,00;17,00;0,00;0,00;17,00;0,00;0,00;34,00;34,74;168,74;101,74;0,00;0,00;0,00;49,71;49,71;0,00;16,75;0,00;16,75
2019-03-31;17,00;17,00;34,00;17,00;0,00;17,00;0,00;0,00;0,00;17,00;82,57;133,57;0,00;0,00;0,00;65,88;48,88;0,00;52,89;0,00;0,00
2019-04-07;67,00;50,00;17,00;17,00;0,00;84,00;17,00;0,00;0,00;0,00;84,37;67,00;0,00;0,00;0,00;67,00;17,29;0,00;32,59;0,00;0,00
2019-04-14;18,00;37,00;0,00;18,00;0,00;0,00;19,00;0,00;0,00;0,00;210,86;77,14;0,00;0,00;0,00;94,50;18,00;0,00;108,00;0,00;18,00
2019-04-21;18,00;18,00;0,00;0,00;0,00;18,00;18,00;0,00;0,00;36,00;92,57;128,57;0,00;0,00;0,00;74,25;0,00;0,00;104,40;0,00;18,00
2019-04-28;66,00;50,00;17,00;0,00;0,00;0,00;0,00;0,00;17,00;17,11;97,78;132,00;0,00;0,00;0,00;116,60;17,60;0,00;0,00;16,50;33,00
2019-05-05;32,00;32,00;16,00;0,00;16,00;32,00;16,00;16,00;0,00;0,00;81,23;145,23;0,00;0,00;0,00;14,93;14,93;0,00;0,00;0,00;16,00
2019-05-12;50,00;17,00;34,00;0,00;0,00;50,00;0,00;0,00;17,00;0,00;120,00;170,00;0,00;0,00;32,61;117,39;17,39;0,00;33,33;0,00;33,33
2019-05-19;66,00;33,00;17,00;0,00;0,00;17,00;17,00;0,00;0,00;17,11;146,67;163,78;0,00;0,00;0,00;99,00;17,60;0,00;66,00;0,00;49,50
2019-05-26;17,00;17,00;68,00;0,00;0,00;34,00;0,00;0,00;17,00;17,00;133,57;82,57;0,00;0,00;0,00;148,75;17,00;0,00;17,00;0,00;17,00
2019-06-02;100,00;67,00;50,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00;131,71;180,49;0,00;0,00;0,00;115,22;32,61;0,00;83,33;0,00;83,33
2019-06-09;52,00;34,00;17,00;17,00;0,00;52,00;0,00;0,00;17,00;0,00;156,00;121,33;0,00;0,00;0,00;52,00;34,67;0,00;139,29;0,00;35,29
2019-06-16;51,00;34,00;17,00;0,00;0,00;17,00;17,00;0,00;0,00;0,00;133,57;201,57;0,00;17,74;0,00;190,70;35,48;0,00;34,61;0,00;16,39
2019-06-23;34,00;68,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;184,57;167,57;0,00;0,00;0,00;34,00;0,00;16,11;66,21;0,00;34,00
