Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;25,00;3,00;1,00;2,00;2,00;0,00;5,00;4,00;1,00;0,00;0,00;3,00;2,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00
2019-01-13;24,00;2,00;0,00;3,00;2,00;0,00;7,00;3,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;27,00;0,00;3,00;7,00;3,00;1,00;1,00;2,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00
2019-01-27;23,00;7,00;6,00;2,00;1,00;2,00;3,00;1,00;0,00;0,00;1,00;3,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-02-03;28,00;5,00;2,00;4,00;0,00;2,00;3,00;6,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-02-10;21,00;4,00;3,00;1,00;2,00;1,00;4,00;3,00;0,00;0,00;2,00;2,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00
2019-02-17;37,00;3,00;0,00;1,00;2,00;1,00;4,00;3,00;0,00;1,00;0,00;0,00;2,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00
2019-02-24;18,00;3,00;1,00;6,00;1,00;3,00;4,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;32,00;3,00;0,00;0,00;3,00;0,00;5,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;32,00;5,00;1,00;4,00;1,00;0,00;5,00;2,00;0,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
