Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;0,00;43,00;14,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;14,00;7,00;0,00;5,00;0,00;16,00;5,00;0,00;0,00;0,00;0,00
2019-01-13;16,00;0,00;30,86;0,00;16,00;0,00;0,00;0,00;16,00;0,00;61,71;45,71;0,00;0,00;0,00;150,40;0,00;0,00;0,00;0,00;0,00
2019-01-20;31,00;31,00;0,00;0,00;15,50;15,00;0,00;0,00;0,00;0,00;31,00;62,00;0,00;0,00;0,00;108,50;0,00;0,00;0,00;0,00;15,00
2019-01-27;31,00;78,69;0,00;15,50;0,00;0,00;0,00;0,00;15,00;14,31;62,00;76,31;0,00;15,50;0,00;124,00;0,00;0,00;15,00;0,00;0,00
2019-02-03;33,00;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;80,14;63,64;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;49,00;16,33;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;34,30;17,15;0,00;0,00;0,00;128,63;0,00;0,00;0,00;0,00;0,00
2019-02-17;33,00;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;96,64;33,00;0,00;0,00;0,00;129,00;0,00;0,00;16,00;0,00;0,00
2019-02-24;16,00;30,86;16,00;0,00;0,00;16,00;0,00;0,00;16,00;0,00;75,43;45,71;0,00;16,00;0,00;131,20;0,00;0,00;0,00;0,00;0,00
2019-03-03;17,00;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;85,00;0,00;0,00;0,00;129,20;0,00;0,00;0,00;0,00;0,00
2019-03-10;0,00;56,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;41,00;48,00;0,00;0,00;0,00;38,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;50,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,67;66,67;116,67;0,00;0,00;0,00;187,50;0,00;0,00;0,00;0,00;33,00
2019-03-24;49,00;98,00;0,00;0,00;0,00;0,00;0,00;16,00;16,00;0,00;49,00;128,33;16,33;0,00;0,00;82,69;0,00;0,00;16,00;0,00;0,00
