Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;27,00;34,00;21,00;7,00;14,00;7,00;7,00;21,00;0,00
2019-01-13;39,00;7,00;13,00;13,00;0,00;0,00;0,00;7,00;0,00
2019-01-20;25,00;0,00;12,00;44,00;6,00;0,00;0,00;6,00;6,00
2019-01-27;6,00;6,00;6,00;19,00;0,00;0,00;13,00;0,00;6,00
2019-02-03;27,00;13,00;40,00;20,00;0,00;0,00;7,00;0,00;7,00
2019-02-10;40,00;13,00;13,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;40,00;20,00;13,00;33,00;13,00;0,00;7,00;0,00;0,00
2019-02-24;13,00;19,00;13,00;26,00;6,00;0,00;0,00;6,00;0,00
2019-03-03;20,00;14,00;0,00;54,00;0,00;0,00;7,00;0,00;14,00
2019-03-10;27,00;7,00;13,00;7,00;7,00;0,00;0,00;7,00;0,00
2019-03-17;14,00;14,00;34,00;14,00;0,00;0,00;0,00;14,00;0,00
2019-03-24;60,00;0,00;0,00;40,00;0,00;7,00;7,00;0,00;0,00
2019-03-31;6,00;6,00;13,00;26,00;0,00;0,00;6,00;19,00;0,00
2019-04-07;32,00;0,00;26,00;13,00;6,00;6,00;6,00;13,00;0,00
2019-04-14;62,00;28,00;7,00;21,00;0,00;0,00;14,00;14,00;7,00
2019-04-21;20,00;26,00;20,00;7,00;0,00;0,00;13,00;7,00;13,00
2019-04-28;40,00;0,00;7,00;26,00;13,00;0,00;0,00;0,00;7,00
2019-05-05;26,00;26,00;51,00;38,00;0,00;0,00;13,00;0,00;6,00
2019-05-12;65,00;7,00;7,00;20,00;0,00;0,00;0,00;13,00;7,00
2019-05-19;52,00;19,00;13,00;13,00;0,00;0,00;6,00;6,00;19,00
2019-05-26;58,00;19,00;6,00;32,00;6,00;0,00;6,00;19,00;0,00
2019-06-02;38,00;13,00;31,00;38,00;0,00;6,00;0,00;0,00;0,00
2019-06-09;50,00;31,00;13,00;38,00;6,00;0,00;6,00;6,00;6,00
2019-06-16;33,00;0,00;20,00;26,00;0,00;0,00;0,00;7,00;0,00
2019-06-23;27,00;13,00;20,00;20,00;0,00;0,00;7,00;7,00;0,00
2019-06-30;40,00;13,00;34,00;34,00;0,00;0,00;0,00;13,00;0,00
2019-07-07;85,00;20,00;0,00;7,00;0,00;7,00;13,00;0,00;0,00
2019-07-14;34,00;7,00;0,00;0,00;0,00;7,00;27,00;14,00;7,00
2019-07-21;48,00;0,00;20,00;20,00;0,00;0,00;20,00;7,00;7,00
2019-07-28;56,00;28,00;21,00;28,00;7,00;0,00;7,00;0,00;14,00
2019-08-04;63,00;35,00;7,00;21,00;7,00;7,00;7,00;14,00;7,00
2019-08-11;56,00;7,00;28,00;35,00;7,00;21,00;14,00;7,00;0,00
2019-08-18;14,00;0,00;21,00;21,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;46,00;0,00;13,00;33,00;0,00;0,00;13,00;0,00;0,00
2019-09-01;31,00;6,00;12,00;12,00;0,00;0,00;12,00;12,00;6,00
2019-09-08;25,00;6,00;12,00;31,00;6,00;0,00;12,00;6,00;12,00
2019-09-15;55,00;12,00;24,00;18,00;0,00;0,00;12,00;0,00;6,00
2019-09-22;31,00;6,00;12,00;43,00;0,00;6,00;0,00;0,00;0,00
2019-09-29;24,00;6,00;24,00;30,00;0,00;0,00;6,00;0,00;0,00
2019-10-06;24,00;0,00;24,00;24,00;0,00;0,00;12,00;0,00;0,00
2019-10-13;6,00;6,00;18,00;30,00;12,00;0,00;0,00;18,00;0,00
2019-10-20;24,00;24,00;12,00;30,00;0,00;12,00;12,00;0,00;6,00
2019-10-27;18,00;30,00;18,00;18,00;0,00;0,00;6,00;0,00;12,00
2019-11-03;53,00;12,00;12,00;24,00;12,00;0,00;12,00;0,00;6,00
2019-11-10;29,00;12,00;12,00;18,00;0,00;6,00;6,00;0,00;0,00
2019-11-17;6,00;6,00;12,00;23,00;0,00;0,00;0,00;6,00;6,00
2019-11-24;17,00;6,00;0,00;29,00;6,00;0,00;6,00;0,00;6,00
2019-12-01;18,00;0,00;12,00;30,00;6,00;0,00;0,00;6,00;6,00
2019-12-08;25,00;19,00;12,00;37,00;0,00;6,00;0,00;0,00;0,00
2019-12-15;71,00;6,00;0,00;18,00;12,00;6,00;0,00;6,00;12,00
2019-12-22;13,00;13,00;34,00;7,00;7,00;20,00;7,00;34,00;0,00
2019-12-29;46,00;7,00;0,00;20,00;7,00;0,00;7,00;20,00;7,00
2020-01-05;85,00;24,00;6,00;18,00;0,00;6,00;0,00;12,00;0,00
2020-01-12;44,00;11,00;11,00;22,00;0,00;0,00;11,00;0,00;6,00
2020-01-19;50,00;16,00;11,00;22,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;23,00;11,00;11,00;23,00;0,00;0,00;6,00;6,00;11,00
2020-02-02;17,00;11,00;17,00;40,00;6,00;23,00;29,00;6,00;17,00
2020-02-09;40,00;6,00;11,00;29,00;0,00;0,00;0,00;6,00;11,00
2020-02-16;34,00;11,00;28,00;28,00;0,00;11,00;11,00;0,00;0,00
2020-02-23;28,00;11,00;11,00;6,00;11,00;0,00;6,00;0,00;0,00
2020-03-01;60,00;5,00;11,00;27,00;11,00;0,00;5,00;11,00;11,00
2020-03-08;21,00;11,00;11,00;5,00;0,00;0,00;11,00;5,00;21,00
2020-03-15;10,00;0,00;10,00;0,00;5,00;0,00;16,00;0,00;16,00
2020-03-22;45,00;10,00;25,00;25,00;10,00;0,00;5,00;5,00;0,00
2020-03-29;39,00;0,00;5,00;20,00;0,00;5,00;0,00;5,00;10,00
2020-04-05;37,00;5,00;11,00;32,00;0,00;5,00;5,00;0,00;0,00
2020-04-12;50,00;5,00;0,00;20,00;0,00;0,00;0,00;10,00;0,00
2020-04-19;34,00;0,00;0,00;24,00;10,00;0,00;0,00;0,00;5,00
2020-04-26;45,00;0,00;5,00;0,00;5,00;0,00;5,00;20,00;10,00
