Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;48,00;17,83;8,23;27,43;6,86;14,00;5,00;18,00;0,50;4,00;2,00;3,00;2,00;2,00;1,00;1,00;2,00;1,00;0,50;0,50;0,50
2019-01-13;48,00;16,46;6,86;24,69;5,49;16,00;5,00;17,00;2,00;5,00;4,00;5,00;3,00;3,00;1,00;1,00;1,00;1,00;0,50;0,50;1,00
2019-01-20;48,00;24,69;6,86;20,57;5,49;13,00;7,00;19,00;1,00;2,00;4,00;5,00;2,00;2,00;1,00;1,00;1,00;2,00;0,00;0,50;1,00
2019-01-27;40,00;22,67;8,00;22,67;8,00;16,00;9,00;18,00;1,00;4,00;4,00;5,00;3,00;3,00;1,00;1,00;2,00;0,50;0,50;1,00;1,00
2019-02-03;42,00;23,03;9,48;25,74;8,13;16,00;8,00;17,00;2,00;5,00;5,00;4,00;4,00;4,00;1,00;2,00;1,00;1,00;0,00;1,00;1,00
2019-02-10;40,00;24,83;11,03;28,97;8,28;20,00;9,00;23,00;2,00;5,00;6,00;4,00;4,00;5,00;1,00;2,00;3,00;1,00;0,50;0,50;2,00
2019-02-17;45,00;32,73;12,27;32,73;6,82;19,00;7,00;18,00;3,00;6,00;5,00;4,00;4,00;5,00;2,00;3,00;3,00;2,00;0,50;0,50;1,00
2019-02-24;43,00;29,56;10,75;30,91;9,41;19,00;10,00;19,00;2,00;6,00;5,00;5,00;4,00;4,00;2,00;1,00;2,00;2,00;0,50;1,00;1,00
2019-03-03;40,00;29,33;12,00;26,67;9,33;17,00;10,00;21,00;2,00;5,00;4,00;5,00;4,00;4,00;1,00;2,00;3,00;2,00;0,50;0,50;1,00
2019-03-10;47,00;25,51;9,40;22,83;8,06;21,00;10,00;20,00;1,00;4,00;3,00;6,00;3,00;5,00;2,00;1,00;2,00;2,00;0,50;1,00;2,00
2019-03-17;49,00;31,31;12,25;28,58;8,17;21,00;10,00;20,00;2,00;5,00;4,00;4,00;3,00;4,00;1,00;1,00;2,00;2,00;0,50;1,00;1,00
2019-03-24;47,00;26,86;12,09;29,54;9,40;20,00;9,00;18,00;1,00;3,00;6,00;6,00;3,00;7,00;1,00;2,00;2,00;2,00;1,00;1,00;1,00
2019-03-31;56,00;34,15;13,66;31,41;9,56;25,00;10,00;24,00;2,00;5,00;4,00;8,00;3,00;5,00;1,00;1,00;2,00;2,00;0,50;0,50;2,00
2019-04-07;59,00;37,55;20,11;33,52;13,41;25,00;10,00;26,00;3,00;8,00;8,00;7,00;6,00;8,00;1,00;2,00;3,00;3,00;0,50;1,00;1,00
2019-04-14;71,00;36,87;21,85;36,87;15,02;31,00;12,00;28,00;3,00;9,00;8,00;6,00;9,00;8,00;3,00;3,00;3,00;5,00;1,00;2,00;1,00
2019-04-21;62,00;36,39;22,91;31,00;16,17;31,00;11,00;30,00;2,00;8,00;7,00;9,00;7,00;8,00;2,00;2,00;3,00;5,00;1,00;1,00;2,00
2019-04-28;61,00;33,89;18,98;32,53;16,27;23,00;13,00;27,00;2,00;5,00;7,00;10,00;6,00;9,00;3,00;3,00;4,00;5,00;1,00;1,00;1,00
2019-05-05;53,00;32,62;13,59;27,18;13,59;24,00;9,00;29,00;2,00;3,00;6,00;9,00;6,00;6,00;1,00;2,00;3,00;2,00;1,00;0,50;2,00
2019-05-12;58,00;32,37;17,53;29,67;12,14;29,00;16,00;28,00;3,00;6,00;4,00;11,00;5,00;8,00;1,00;2,00;3,00;4,00;0,50;0,50;2,00
2019-05-19;59,00;32,93;17,84;32,93;16,47;23,00;15,00;30,00;2,00;8,00;3,00;9,00;6,00;8,00;1,00;1,00;3,00;3,00;0,50;1,00;1,00
2019-05-26;65,00;38,72;26,28;37,34;24,89;29,00;15,00;27,00;2,00;10,00;7,00;11,00;9,00;9,00;3,00;4,00;4,00;5,00;0,50;1,00;2,00
2019-06-02;66,00;35,75;24,75;30,25;24,75;29,00;13,00;26,00;1,00;5,00;6,00;11,00;7,00;8,00;2,00;2,00;3,00;5,00;1,00;1,00;2,00
2019-06-09;64,00;40,85;19,06;32,68;20,43;30,00;12,00;32,00;2,00;9,00;6,00;13,00;6,00;10,00;3,00;2,00;2,00;5,00;1,00;1,00;2,00
2019-06-16;74,00;32,29;18,84;29,60;25,56;30,00;15,00;30,00;2,00;11,00;6,00;10,00;9,00;10,00;4,00;3,00;2,00;4,00;0,50;2,00;1,00
2019-06-23;82,00;42,37;19,13;31,43;27,33;33,00;15,00;33,00;3,00;15,00;11,00;12,00;11,00;13,00;4,00;4,00;4,00;5,00;0,50;1,00;1,00
2019-06-30;73,00;40,56;21,63;36,50;29,74;33,00;14,00;33,00;3,00;12,00;7,00;11,00;9,00;10,00;5,00;4,00;4,00;6,00;0,50;2,00;2,00
2019-07-07;78,00;51,10;22,86;36,31;37,66;41,00;20,00;39,00;4,00;24,00;9,00;14,00;11,00;13,00;3,00;5,00;5,00;7,00;1,00;2,00;1,00
2019-07-14;78,00;54,74;31,47;41,05;36,95;47,00;17,00;39,00;3,00;22,00;10,00;15,00;15,00;19,00;6,00;4,00;4,00;6,00;1,00;2,00;2,00
2019-07-21;88,00;64,98;31,14;41,97;43,32;51,00;23,00;41,00;3,00;21,00;8,00;14,00;15,00;13,00;5,00;6,00;6,00;8,00;1,00;3,00;2,00
2019-07-28;85,00;76,77;43,87;53,47;50,73;51,00;19,00;39,00;3,00;24,00;10,00;17,00;16,00;21,00;5,00;7,00;7,00;7,00;1,00;2,00;3,00
2019-08-04;97,00;81,97;39,62;57,38;53,28;55,00;25,00;47,00;3,00;28,00;12,00;19,00;18,00;22,00;7,00;6,00;8,00;10,00;1,00;3,00;3,00
2019-08-11;100,00;94,59;43,24;56,76;52,70;53,00;28,00;47,00;4,00;23,00;11,00;19,00;20,00;22,00;7,00;6,00;8,00;9,00;1,00;2,00;3,00
2019-08-18;88,00;135,38;32,49;41,97;51,45;52,00;21,00;45,00;5,00;22,00;9,00;17,00;14,00;17,00;6,00;6,00;6,00;10,00;1,00;3,00;3,00
2019-08-25;77,00;75,65;24,32;41,88;28,37;36,00;12,00;32,00;4,00;14,00;6,00;13,00;8,00;10,00;5,00;5,00;5,00;6,00;0,00;2,00;2,00
2019-09-01;78,00;39,68;19,16;30,11;17,79;35,00;14,00;30,00;2,00;8,00;5,00;14,00;7,00;8,00;2,00;2,00;3,00;5,00;0,50;2,00;2,00
2019-09-08;74,00;31,52;16,44;34,26;16,44;27,00;10,00;26,00;2,00;6,00;6,00;10,00;6,00;6,00;1,00;2,00;2,00;5,00;1,00;1,00;2,00
