Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;28,00;117,60;86,80;126,00;5,60;9,00;21,00;3,00;4,00
2019-01-13;26,00;118,44;78,00;124,22;2,89;5,00;22,00;8,00;4,00
2019-01-20;33,00;99,00;74,25;110,00;2,75;3,00;29,00;5,00;8,00
2019-01-27;23,00;109,25;69,00;109,25;8,63;7,00;24,00;4,00;3,00
2019-02-03;32,00;107,64;81,45;107,64;2,91;6,00;19,00;6,00;5,00
2019-02-10;40,00;100,00;68,57;102,86;2,86;5,00;16,00;6,00;3,00
2019-02-17;28,00;86,80;78,40;103,60;5,60;7,00;46,00;7,00;3,00
2019-02-24;27,00;102,60;67,50;102,60;2,70;4,00;20,00;5,00;2,00
2019-03-03;25,00;94,44;63,89;111,11;8,33;6,00;30,00;5,00;6,00
2019-03-10;29,00;89,90;58,00;101,50;2,90;6,00;28,00;9,00;7,00
2019-03-17;25,00;88,89;55,56;94,44;2,78;6,00;29,00;7,00;3,00
2019-03-24;30,00;90,00;60,00;105,00;3,00;5,00;25,00;6,00;4,00
2019-03-31;22,00;82,50;60,50;101,75;2,75;6,00;18,00;7,00;5,00
2019-04-07;29,00;81,20;52,20;136,30;2,90;4,00;28,00;7,00;4,00
2019-04-14;27,00;67,50;51,30;108,00;2,70;6,00;23,00;8,00;4,00
2019-04-21;25,00;72,22;50,00;105,56;2,78;3,00;27,00;5,00;3,00
2019-04-28;29,00;72,50;58,00;104,40;2,90;5,00;26,00;7,00;4,00
2019-05-05;23,00;77,63;46,00;117,88;2,88;2,00;27,00;5,00;7,00
2019-05-12;31,00;67,64;53,55;101,45;2,82;5,00;29,00;8,00;6,00
2019-05-19;25,00;58,33;44,44;113,89;2,78;4,00;22,00;5,00;5,00
2019-05-26;24,00;56,00;37,33;109,33;2,67;4,00;16,00;7,00;3,00
2019-06-02;22,00;60,50;38,50;107,25;5,50;5,00;24,00;4,00;2,00
2019-06-09;28,00;61,60;50,40;109,20;2,80;5,00;38,00;4,00;4,00
2019-06-16;29,00;72,50;46,40;101,50;5,80;4,00;30,00;5,00;3,00
2019-06-23;33,00;66,00;46,75;107,25;2,75;7,00;39,00;7,00;2,00
2019-06-30;32,00;69,82;52,36;107,64;2,91;3,00;36,00;5,00;6,00
2019-07-07;26,00;78,00;43,33;127,11;2,89;7,00;38,00;7,00;3,00
2019-07-14;32,00;75,64;55,27;113,45;2,91;2,00;19,00;4,00;2,00
2019-07-21;31,00;76,09;56,36;112,73;1,41;2,00;26,00;10,00;1,00
2019-07-28;34,00;87,83;65,17;124,67;5,67;7,00;27,00;8,00;4,00
2019-08-04;36,00;80,31;58,15;113,54;2,77;6,00;26,00;6,00;5,00
2019-08-11;29,00;87,00;55,10;133,40;2,90;7,00;24,00;11,00;4,00
2019-08-18;33,00;77,00;49,50;123,75;2,75;4,00;22,00;8,00;7,00
2019-08-25;30,00;69,00;69,00;114,00;3,00;5,00;26,00;3,00;5,00
2019-09-01;23,00;74,75;57,50;117,88;2,88;4,00;31,00;5,00;7,00
2019-09-08;31,00;70,45;42,27;109,91;2,82;5,00;16,00;4,00;5,00
2019-09-15;21,00;65,63;49,88;115,50;2,63;6,00;28,00;7,00;4,00
2019-09-22;22,00;63,25;44,00;112,75;2,75;2,00;26,00;6,00;3,00
2019-09-29;27,00;62,10;45,90;118,80;2,70;3,00;18,00;5,00;3,00
2019-10-06;22,00;63,25;41,25;107,25;2,75;4,00;23,00;7,00;6,00
2019-10-13;21,00;81,00;54,00;141,00;6,00;5,00;30,00;7,00;4,00
2019-10-20;25,00;72,22;52,78;163,89;5,56;4,00;100,00;7,00;1,00
2019-10-27;24,00;87,00;66,00;138,00;3,00;3,00;36,00;6,00;3,00
2019-11-03;27,00;78,00;57,00;135,00;3,00;3,00;27,00;5,00;4,00
2019-11-10;22,00;71,50;49,50;121,00;2,75;3,00;17,00;7,00;6,00
2019-11-17;23,00;86,25;60,38;117,88;2,88;3,00;29,00;6,00;6,00
2019-11-24;26,00;72,22;63,56;132,89;2,89;3,00;21,00;5,00;3,00
2019-12-01;24,00;69,33;48,00;106,67;2,67;7,00;31,00;6,00;5,00
2019-12-08;39,00;75,21;61,29;103,07;2,79;4,00;49,00;4,00;3,00
2019-12-15;31,00;70,45;50,73;104,27;2,82;3,00;24,00;12,00;4,00
2019-12-22;41,00;106,60;73,80;125,73;2,73;6,00;20,00;6,00;2,00
2019-12-29;40,00;111,43;71,43;134,29;2,86;8,00;25,00;8,00;11,00
2020-01-05;36,00;94,15;80,31;144,00;5,54;5,00;23,00;6,00;10,00
2020-01-12;29,00;107,30;75,40;139,20;2,90;6,00;23,00;5,00;4,00
2020-01-19;29,00;104,40;75,40;136,30;2,90;3,00;25,00;7,00;5,00
2020-01-26;27,00;89,10;59,40;118,80;5,40;2,00;30,00;7,00;5,00
2020-02-02;27,00;99,90;56,70;124,20;2,70;4,00;19,00;5,00;5,00
2020-02-09;29,00;104,40;66,70;130,50;2,90;5,00;29,00;5,00;3,00
2020-02-16;25,00;97,22;61,11;127,78;2,78;3,00;24,00;9,00;6,00
2020-02-23;27,00;90,00;69,00;117,00;3,00;2,00;31,00;4,00;5,00
2020-03-01;20,00;91,43;62,86;131,43;2,86;3,00;24,00;5,00;4,00
2020-03-08;22,00;88,00;60,50;126,50;2,75;2,00;21,00;6,00;5,00
2020-03-15;21,00;72,00;42,00;117,00;6,00;3,00;20,00;5,00;4,00
2020-03-22;30,00;49,09;27,27;92,73;2,73;1,00;29,00;2,00;2,00
2020-03-29;25,00;41,67;27,78;97,22;2,78;4,00;35,00;3,00;4,00
2020-04-05;32,00;52,36;26,18;93,09;2,91;0,00;28,00;2,00;3,00
2020-04-12;26,00;40,44;23,11;95,33;2,89;2,00;22,00;2,00;3,00
2020-04-19;25,00;44,44;27,78;86,11;2,78;1,00;31,00;2,00;4,00
2020-04-26;24,00;37,33;24,00;98,67;2,67;2,00;27,00;5,00;3,00
2020-05-03;23,00;48,88;25,88;86,25;2,88;1,00;64,00;5,00;4,00
2020-05-10;31,00;45,09;28,18;84,55;5,64;3,00;44,00;5,00;4,00
2020-05-17;21,00;49,88;31,50;91,88;5,25;5,00;26,00;4,00;6,00
2020-05-24;26,00;52,00;37,56;95,33;5,78;3,00;31,00;4,00;3,00
2020-05-31;26,00;54,89;37,56;80,89;2,89;3,00;28,00;4,00;4,00
2020-06-07;24,00;63,00;30,00;96,00;6,00;2,00;23,00;3,00;2,00
2020-06-14;22,00;60,50;35,75;104,50;5,50;3,00;32,00;3,00;4,00
2020-06-21;34,00;65,17;42,50;107,67;5,67;3,00;29,00;4,00;5,00
2020-06-28;25,00;63,89;41,67;102,78;5,56;1,00;38,00;4,00;5,00
2020-07-05;27,00;56,70;35,10;110,70;5,40;5,00;34,00;5,00;2,00
2020-07-12;38,00;48,86;32,57;105,86;5,43;3,00;29,00;4,00;3,00
2020-07-19;35,00;55,42;37,92;116,67;5,83;4,00;27,00;6,00;4,00
2020-07-26;38,00;57,00;35,29;108,57;2,71;4,00;27,00;8,00;2,00
2020-08-02;41,00;54,67;35,53;109,33;2,73;3,00;24,00;8,00;3,00
2020-08-09;31,00;62,00;56,36;107,09;2,82;2,00;20,00;2,00;3,00
2020-08-16;37,00;62,62;48,38;102,46;2,85;6,00;21,00;6,00;2,00
2020-08-23;34,00;65,17;36,83;110,50;2,83;5,00;24,00;3,00;3,00
2020-08-30;24,00;56,00;45,33;117,33;2,67;4,00;24,00;4,00;4,00
2020-09-06;34,00;65,17;36,83;113,33;5,67;4,00;28,00;3,00;5,00
2020-09-13;26,00;54,89;34,67;101,11;5,78;4,00;23,00;2,00;3,00
2020-09-20;32,00;58,18;32,00;113,45;2,91;4,00;16,00;4,00;0,50
2020-09-27;23,00;63,25;34,50;120,75;1,44;2,00;24,00;2,00;5,00
2020-10-04;24,00;53,33;37,33;117,33;2,67;3,00;19,00;4,00;5,00
2020-10-11;31,00;53,55;42,27;126,82;2,82;2,00;23,00;5,00;5,00
2020-10-18;31,00;56,36;62,00;107,09;2,82;3,00;20,00;5,00;2,00
2020-10-25;23,00;60,38;40,25;135,13;2,88;1,00;29,00;2,00;1,00
2020-11-01;25,00;47,22;27,78;91,67;2,78;2,00;19,00;4,00;2,00
2020-11-08;30,00;43,64;30,00;87,27;5,45;3,00;19,00;6,00;4,00
2020-11-15;23,00;60,38;43,13;106,38;2,88;2,00;23,00;4,00;3,00
2020-11-22;22,00;66,00;38,50;101,75;1,38;3,00;24,00;4,00;2,00
2020-11-29;20,00;71,43;54,29;102,86;2,86;6,00;24,00;7,00;5,00
2020-12-06;31,00;98,64;78,91;121,18;5,64;10,00;22,00;12,00;3,00
2020-12-13;21,00;107,63;89,25;141,75;2,63;5,00;42,00;7,00;4,00
2020-12-20;25,00;111,11;77,78;133,33;2,78;11,00;24,00;11,00;5,00
2020-12-27;32,00;157,09;101,82;160,00;5,82;7,00;24,00;13,00;7,00
2021-01-03;27,00;172,80;105,30;170,10;2,70;6,00;26,00;11,00;4,00
2021-01-10;30,00;166,36;117,27;272,73;2,73;8,00;34,00;12,00;4,00
2021-01-17;27,00;183,00;105,00;198,00;6,00;8,00;29,00;9,00;3,00
2021-01-24;26,00;112,67;75,11;144,44;2,89;4,00;40,00;7,00;3,00
2021-01-31;26,00;106,89;57,78;118,44;2,89;7,00;55,00;2,00;4,00
2021-02-07;23,00;86,25;40,25;115,00;2,88;5,00;25,00;7,00;3,00
2021-02-14;20,00;85,71;51,43;114,29;5,71;6,00;23,00;4,00;4,00
2021-02-21;24,00;72,00;42,00;111,00;3,00;5,00;33,00;3,00;6,00
2021-02-28;25,00;66,67;38,89;122,22;1,39;3,00;26,00;4,00;6,00
2021-03-07;27,00;67,50;32,40;110,70;2,70;2,00;29,00;2,00;3,00
2021-03-14;27,00;48,60;40,50;94,50;2,70;3,00;26,00;3,00;2,00
2021-03-21;30,00;49,09;38,18;95,45;2,73;4,00;25,00;5,00;3,00
2021-03-28;22,00;49,50;27,50;93,50;5,50;1,00;27,00;1,00;4,00
2021-04-04;26,00;49,11;26,00;89,56;2,89;2,00;21,00;2,00;3,00
2021-04-11;24,00;48,00;29,33;93,33;5,33;3,00;24,00;5,00;6,00
2021-04-18;30,00;69,00;39,00;111,00;3,00;4,00;25,00;7,00;4,00
2021-04-25;25,00;61,11;27,78;100,00;2,78;3,00;24,00;5,00;4,00
2021-05-02;26,00;72,22;46,22;104,00;5,78;5,00;26,00;7,00;4,00
2021-05-09;26,00;72,22;49,11;106,89;5,78;5,00;17,00;3,00;4,00
2021-05-16;27,00;75,00;51,00;105,00;3,00;3,00;29,00;3,00;1,00
2021-05-23;24,00;75,00;51,00;123,00;3,00;3,00;20,00;4,00;2,00
2021-05-30;26,00;80,89;49,11;109,78;5,78;3,00;25,00;6,00;5,00
2021-06-06;35,00;75,38;51,15;110,38;2,69;3,00;30,00;11,00;1,00
2021-06-13;25,00;63,89;50,00;113,89;2,78;4,00;32,00;9,00;3,00
2021-06-20;30,00;70,91;54,55;111,82;2,73;3,00;25,00;7,00;4,00
2021-06-27;30,00;79,09;46,36;120,00;2,73;5,00;28,00;6,00;4,00
2021-07-04;28,00;78,40;56,00;114,80;5,60;2,00;21,00;5,00;2,00
2021-07-11;32,00;87,27;75,64;157,09;2,91;4,00;35,00;4,00;1,00
2021-07-18;39,00;86,36;52,93;108,64;2,79;4,00;22,00;4,00;5,00
2021-07-25;51,00;119,00;70,83;195,50;2,83;8,00;27,00;3,00;3,00
