Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;30,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;6,21;30,00;0,00;0,00;0,00;35,45;0,00;0,00;24,00;0,00;6,00
2019-01-13;35,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;35,00;0,00;0,00;0,00;43,75;5,83;0,00;6,00;0,00;6,00
2019-01-20;24,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;11,48;24,00;0,00;0,00;0,00;75,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;57,50;0,00;0,00;0,00;0,00;17,00
2019-02-03;35,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,18;51,47;0,00;0,00;0,00;52,50;0,00;0,00;0,00;17,00;6,00
2019-02-10;48,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,13;6,13;0,00;0,00;0,00;64,94;0,00;0,00;0,00;0,00;12,00
2019-02-17;42,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,29;0,00;5,60;0,00;95,20;0,00;0,00;0,00;0,00;0,00
2019-02-24;36,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,17;29,83;0,00;0,00;0,00;30,46;0,00;0,00;6,00;0,00;6,00
2019-03-03;72,00;12,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;66,24;0,00;0,00;12,00;0,00;6,00
2019-03-10;53,00;18,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,24;47,80;0,00;11,16;0,00;64,16;0,00;0,00;0,00;0,00;0,00
2019-03-17;42,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;12,29;29,71;0,00;0,00;0,00;58,80;0,00;0,00;6,00;0,00;6,00
2019-03-24;50,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;25,00;0,00;0,00;0,00;61,11;0,00;0,00;0,00;6,00;0,00
2019-03-31;31,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,97;0,00;0,00;0,00;47,91;0,00;0,00;12,00;0,00;6,00
2019-04-07;60,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,21;23,79;17,59;6,21;0,00;0,00;54,29;0,00;0,00;0,00;0,00;12,00
