Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;100,00;44,00;51,00;42,00;64,00;38,00;13,00;22,00;15,00;11,11;111,11;11,11;37,78;9,00;20,00;9,00;11,00;4,00;51,00;29,00;13,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;80,00;37,00;33,00;26,00;54,00;30,00;13,00;35,00;13,00;4,44;66,67;13,33;34,44;0,00;22,00;6,00;22,00;0,00;48,00;30,00;6,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00
2019-01-20;66,00;35,00;26,00;50,00;55,00;42,00;0,00;15,00;9,00;4,47;77,19;4,47;13,42;0,00;55,00;7,00;24,00;2,00;31,00;22,00;7,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2019-01-27;65,00;27,00;23,00;34,00;19,00;34,00;11,00;21,00;11,00;2,20;60,59;2,20;25,34;4,00;13,00;4,00;2,00;0,00;29,00;21,00;8,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-02-03;62,00;30,00;28,00;17,00;45,00;36,00;2,00;13,00;17,00;13,29;62,00;2,21;25,46;4,00;23,00;13,00;6,00;0,00;34,00;19,00;2,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00
2019-02-10;54,00;31,00;38,00;16,00;45,00;25,00;9,00;18,00;11,00;4,50;58,50;4,50;18,00;4,00;27,00;7,00;9,00;0,00;38,00;27,00;9,00;0,00;2,00;2,00;0,00;0,00;2,00;0,00
2019-02-17;58,00;25,00;22,00;29,00;31,00;22,00;2,00;18,00;13,00;8,92;80,31;4,46;13,38;2,00;16,00;4,00;9,00;0,00;38,00;42,00;11,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-02-24;36,00;22,00;36,00;24,00;49,00;24,00;7,00;22,00;4,00;4,50;83,25;4,50;18,00;0,00;18,00;0,00;0,00;0,00;38,00;13,00;7,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00
2019-03-03;48,00;31,00;24,00;35,00;35,00;33,00;13,00;20,00;18,00;4,36;41,45;4,36;19,64;0,00;9,00;9,00;9,00;0,00;26,00;44,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00
2019-03-10;44,00;52,00;22,00;15,00;30,00;24,00;9,00;26,00;4,00;0,00;48,51;0,00;15,79;0,00;13,00;7,00;11,00;0,00;22,00;11,00;9,00;2,00;2,00;0,00;0,00;0,00;0,00;2,00
2019-03-17;33,00;13,00;29,00;22,00;29,00;13,00;4,00;13,00;7,00;2,20;39,60;4,40;17,60;0,00;20,00;2,00;2,00;0,00;11,00;16,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;44,00;25,00;25,00;18,00;23,00;23,00;2,00;21,00;11,00;9,03;37,23;4,51;6,77;2,00;18,00;5,00;5,00;0,00;14,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;27,00;25,00;20,00;9,00;38,00;11,00;9,00;9,00;0,00;4,50;24,75;4,50;4,50;0,00;2,00;4,00;4,00;0,00;4,00;11,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;47,00;31,00;11,00;16,00;22,00;22,00;2,00;7,00;2,00;0,00;29,10;4,48;6,71;0,00;9,00;2,00;4,00;0,00;22,00;22,00;4,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2019-04-14;21,00;17,00;5,00;7,00;19,00;5,00;2,00;2,00;0,00;2,21;26,53;0,00;4,42;2,00;2,00;5,00;2,00;0,00;9,00;12,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
