Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;78,00;48,53;31,20;39,87;8,67;17,00;4,00;13,00;22,00
2019-01-13;55,00;67,03;20,63;34,38;0,00;51,00;13,00;17,00;26,00
2019-01-20;43,00;86,00;20,64;34,40;0,00;34,00;13,00;4,00;13,00
2019-01-27;66,00;62,53;20,84;36,47;8,68;8,00;4,00;21,00;33,00
2019-02-03;42,00;29,75;26,25;8,75;3,50;8,00;0,00;4,00;8,00
2019-02-10;61,00;69,71;13,94;48,80;13,94;39,00;4,00;9,00;4,00
2019-02-17;39,00;33,91;22,04;5,09;5,09;9,00;0,00;4,00;18,00
2019-02-24;39,00;50,87;13,57;33,91;0,00;4,00;0,00;22,00;13,00
2019-03-03;17,00;51,00;17,00;25,50;0,00;22,00;9,00;9,00;0,00
2019-03-10;47,00;29,59;20,89;60,93;0,00;9,00;9,00;9,00;4,00
2019-03-17;39,00;30,52;25,43;13,57;5,09;9,00;13,00;0,00;9,00
2019-03-24;59,00;36,44;13,88;36,44;0,00;14,00;9,00;5,00;0,00
2019-03-31;22,00;33,85;8,46;33,85;5,08;13,00;0,00;13,00;13,00
2019-04-07;39,00;25,43;8,48;42,39;0,00;9,00;9,00;9,00;4,00
2019-04-14;9,00;19,80;19,80;19,80;0,00;5,00;5,00;9,00;14,00
2019-04-21;31,00;34,44;13,78;17,22;0,00;4,00;4,00;4,00;4,00
2019-04-28;47,00;12,19;8,70;26,11;0,00;9,00;9,00;4,00;0,00
2019-05-05;65,00;21,08;8,78;43,92;0,00;17,00;0,00;13,00;9,00
2019-05-12;75,00;13,95;0,00;48,84;5,23;18,00;4,00;9,00;4,00
2019-05-19;78,00;26,00;12,13;12,13;3,47;9,00;4,00;17,00;13,00
2019-05-26;60,00;29,14;12,00;29,14;3,43;9,00;9,00;26,00;9,00
2019-06-02;20,00;23,33;15,00;8,33;3,33;16,00;0,00;8,00;12,00
2019-06-09;46,00;25,56;20,44;8,52;0,00;21,00;0,00;8,00;17,00
2019-06-16;30,00;21,18;3,53;26,47;3,53;17,00;0,00;9,00;9,00
2019-06-23;44,00;31,68;17,60;31,68;0,00;9,00;4,00;9,00;13,00
2019-06-30;39,00;33,91;5,09;42,39;5,09;17,00;0,00;9,00;9,00
2019-07-07;34,00;25,50;3,40;34,00;0,00;4,00;9,00;17,00;4,00
2019-07-14;39,00;33,91;8,48;30,52;0,00;13,00;9,00;9,00;4,00
2019-07-21;49,00;5,25;22,75;35,00;0,00;9,00;22,00;4,00;18,00
2019-07-28;36,00;22,29;13,71;39,43;0,00;9,00;4,00;9,00;4,00
2019-08-04;68,00;17,00;3,40;25,50;0,00;9,00;4,00;30,00;9,00
2019-08-11;77,00;35,00;3,50;29,75;0,00;4,00;4,00;26,00;8,00
2019-08-18;40,00;26,09;13,91;26,09;0,00;13,00;4,00;9,00;13,00
2019-08-25;82,00;17,45;8,72;29,66;0,00;9,00;17,00;4,00;22,00
2019-09-01;13,00;37,14;27,86;35,29;3,71;17,00;4,00;8,00;8,00
2019-09-08;55,00;29,22;8,59;49,84;3,44;29,00;0,00;8,00;21,00
2019-09-15;54,00;59,23;20,90;38,32;3,48;17,00;4,00;0,00;17,00
2019-09-22;44,00;21,12;28,16;24,64;0,00;16,00;4,00;12,00;12,00
2019-09-29;48,00;15,43;15,43;12,00;0,00;12,00;16,00;12,00;0,00
2019-10-06;52,00;15,60;15,60;64,13;0,00;16,00;4,00;20,00;12,00
2019-10-13;56,00;28,00;21,00;40,25;3,50;16,00;0,00;8,00;12,00
2019-10-20;36,00;27,43;27,43;42,86;12,00;16,00;20,00;8,00;16,00
2019-10-27;28,00;31,50;3,50;24,50;0,00;16,00;4,00;4,00;0,00
2019-11-03;61,00;41,83;6,97;92,37;3,49;27,00;4,00;8,00;11,00
2019-11-10;35,00;19,25;15,75;12,25;0,00;15,00;4,00;23,00;12,00
2019-11-17;58,00;15,35;27,29;30,71;0,00;12,00;12,00;12,00;12,00
2019-11-24;26,00;41,60;29,47;26,00;3,47;4,00;4,00;19,00;8,00
2019-12-01;50,00;3,45;46,55;27,59;0,00;19,00;4,00;4,00;19,00
2019-12-08;40,00;43,48;15,65;27,83;3,48;12,00;8,00;16,00;28,00
2019-12-15;49,00;23,66;11,83;28,72;0,00;25,00;4,00;4,00;21,00
2019-12-22;68,00;45,33;17,44;22,67;8,72;49,00;4,00;4,00;9,00
2019-12-29;77,00;45,50;24,50;61,25;3,50;48,00;12,00;36,00;12,00
2020-01-05;34,00;76,95;23,26;42,95;3,58;67,00;4,00;7,00;11,00
2020-01-12;37,00;52,86;22,90;52,86;3,52;11,00;4,00;26,00;15,00
2020-01-19;50,00;44,83;34,48;41,38;3,45;23,00;4,00;19,00;11,00
2020-01-26;45,00;25,96;25,96;22,50;0,00;11,00;7,00;22,00;26,00
2020-02-02;49,00;80,50;22,75;54,25;3,50;15,00;4,00;27,00;15,00
2020-02-09;82,00;59,32;26,17;29,66;0,00;19,00;0,00;19,00;0,00
2020-02-16;41,00;57,04;19,61;33,87;7,13;29,00;18,00;33,00;7,00
2020-02-23;73,00;43,45;33,02;13,90;0,00;11,00;4,00;4,00;14,00
2020-03-01;55,00;42,97;22,34;32,66;10,31;18,00;7,00;15,00;4,00
2020-03-08;50,00;20,69;6,90;39,66;3,45;28,00;18,00;25,00;4,00
2020-03-15;49,00;17,50;17,50;21,00;0,00;4,00;11,00;14,00;11,00
2020-03-22;37,00;17,62;7,05;21,14;3,52;10,00;13,00;0,00;7,00
2020-03-29;40,00;26,09;6,96;29,57;0,00;10,00;13,00;13,00;7,00
2020-04-05;76,00;17,27;10,36;17,27;0,00;10,00;7,00;7,00;10,00
