Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;10,00;175,00;2,50;5,00;5,00;5,00;3,00;0,50;5,00;0,50;0,50;0,00;0,50
2019-01-13;12,00;150,00;6,00;6,00;6,00;4,00;1,00;2,00;7,00;2,00;2,00;0,50;0,00
2019-01-20;12,00;126,00;0,00;6,00;6,00;5,00;3,00;1,00;4,00;2,00;1,00;1,00;0,00
2019-01-27;15,00;135,00;3,75;7,50;3,75;6,00;3,00;0,00;2,00;0,50;1,00;0,50;0,00
2019-02-03;17,00;102,00;2,83;5,67;2,83;5,00;3,00;0,50;1,00;0,00;1,00;0,50;0,00
2019-02-10;12,00;96,00;3,00;6,00;3,00;6,00;5,00;0,00;1,00;1,00;2,00;0,00;0,00
2019-02-17;18,00;108,00;3,00;6,00;6,00;10,00;2,00;0,50;0,00;1,00;1,00;0,50;0,00
2019-02-24;19,00;133,00;3,17;3,17;6,33;6,00;3,00;0,50;1,00;0,00;1,00;0,50;1,00
2019-03-03;15,00;127,50;3,75;7,50;3,75;9,00;7,00;0,50;2,00;1,00;0,50;0,50;0,00
2019-03-10;16,00;106,67;2,67;5,33;5,33;9,00;3,00;0,50;1,00;0,50;0,50;1,00;0,00
2019-03-17;20,00;113,33;0,00;6,67;3,33;8,00;5,00;0,50;0,00;1,00;1,00;2,00;1,00
2019-03-24;16,00;85,33;2,67;5,33;2,67;5,00;8,00;0,50;0,50;1,00;1,00;1,00;0,00
2019-03-31;22,00;132,00;0,00;7,33;7,33;8,00;3,00;1,00;1,00;1,00;2,00;1,00;0,00
2019-04-07;18,00;114,00;3,00;6,00;6,00;7,00;2,00;3,00;3,00;0,00;1,00;0,00;0,50
2019-04-14;21,00;700,00;0,00;7,00;7,00;9,00;3,00;1,00;3,00;2,00;3,00;1,00;0,50
2019-04-21;32,00;140,80;3,20;6,40;6,40;16,00;8,00;1,00;3,00;1,00;2,00;1,00;0,00
2019-04-28;21,00;126,00;3,50;7,00;7,00;8,00;3,00;1,00;3,00;1,00;3,00;0,50;0,50
2019-05-05;17,00;102,00;2,83;2,83;5,67;7,00;4,00;2,00;1,00;3,00;2,00;0,50;0,50
2019-05-12;17,00;102,00;0,00;5,67;5,67;5,00;7,00;1,00;1,00;3,00;2,00;1,00;0,00
2019-05-19;19,00;114,00;3,17;6,33;6,33;10,00;5,00;1,00;5,00;0,50;2,00;2,00;1,00
2019-05-26;18,00;108,00;3,00;6,00;6,00;7,00;3,00;2,00;1,00;3,00;2,00;3,00;1,00
2019-06-02;20,00;133,33;3,33;6,67;6,67;7,00;3,00;0,50;2,00;1,00;2,00;1,00;0,00
2019-06-09;21,00;126,00;3,50;7,00;3,50;7,00;7,00;1,00;1,00;1,00;3,00;2,00;0,00
2019-06-16;21,00;133,00;3,50;7,00;7,00;8,00;6,00;2,00;2,00;1,00;1,00;1,00;0,50
2019-06-23;23,00;109,25;2,88;5,75;5,75;13,00;3,00;2,00;2,00;4,00;1,00;1,00;0,00
2019-06-30;28,00;126,00;3,50;7,00;3,50;8,00;4,00;3,00;1,00;1,00;1,00;1,00;0,50
2019-07-07;26,00;123,50;3,25;3,25;6,50;11,00;5,00;1,00;0,50;0,50;3,00;0,00;0,50
2019-07-14;27,00;121,50;0,00;6,75;6,75;9,00;8,00;2,00;6,00;1,00;2,00;0,50;1,00
2019-07-21;23,00;138,00;2,88;5,75;5,75;10,00;7,00;1,00;3,00;2,00;6,00;1,00;0,50
2019-07-28;27,00;148,50;6,75;6,75;6,75;9,00;3,00;2,00;0,50;1,00;3,00;1,00;2,00
2019-08-04;31,00;148,80;3,10;6,20;6,20;14,00;5,00;3,00;8,00;1,00;4,00;2,00;1,00
2019-08-11;40,00;153,33;3,33;6,67;6,67;9,00;8,00;2,00;4,00;3,00;3,00;2,00;0,00
2019-08-18;32,00;153,60;3,20;6,40;6,40;12,00;4,00;2,00;3,00;2,00;4,00;2,00;1,00
2019-08-25;21,00;147,00;3,50;7,00;7,00;8,00;10,00;1,00;3,00;1,00;4,00;1,00;0,00
2019-09-01;23,00;138,00;2,88;5,75;2,88;14,00;7,00;1,00;3,00;2,00;1,00;1,00;0,50
2019-09-08;17,00;119,00;2,83;5,67;5,67;7,00;6,00;1,00;7,00;1,00;1,00;1,00;0,50
2019-09-15;17,00;124,67;2,83;5,67;5,67;8,00;4,00;2,00;4,00;0,50;1,00;0,50;0,00
2019-09-22;14,00;168,00;3,50;7,00;7,00;6,00;4,00;0,50;2,00;1,00;2,00;0,50;0,00
2019-09-29;16,00;133,33;2,67;5,33;5,33;6,00;4,00;1,00;4,00;0,50;3,00;0,50;0,00
2019-10-06;11,00;121,00;0,00;5,50;5,50;5,00;7,00;1,00;3,00;1,00;3,00;1,00;0,00
2019-10-13;12,00;132,00;3,00;3,00;6,00;8,00;5,00;3,00;4,00;2,00;1,00;0,00;0,50
2019-10-20;11,00;115,50;2,75;5,50;5,50;9,00;5,00;0,00;3,00;1,00;2,00;0,50;0,00
2019-10-27;17,00;232,33;2,83;5,67;5,67;9,00;3,00;0,50;3,00;1,00;1,00;1,00;1,00
2019-11-03;11,00;132,00;2,75;5,50;5,50;5,00;2,00;1,00;3,00;0,50;0,50;1,00;0,00
2019-11-10;9,00;216,00;4,50;9,00;9,00;7,00;4,00;0,50;3,00;1,00;2,00;0,50;0,00
2019-11-17;18,00;138,00;3,00;12,00;6,00;6,00;2,00;0,50;4,00;1,00;1,00;0,50;0,00
2019-11-24;15,00;187,50;0,00;7,50;7,50;9,00;3,00;1,00;6,00;1,00;2,00;1,00;0,50
2019-12-01;14,00;175,00;0,00;7,00;7,00;9,00;5,00;1,00;0,50;0,00;1,00;1,00;0,00
2019-12-08;12,00;126,00;3,00;6,00;6,00;7,00;4,00;1,00;2,00;0,00;2,00;1,00;0,00
2019-12-15;10,00;105,00;2,50;5,00;5,00;3,00;4,00;3,00;3,00;0,00;0,50;1,00;0,00
2019-12-22;25,00;162,50;3,13;6,25;6,25;5,00;6,00;1,00;2,00;2,00;1,00;1,00;1,00
2019-12-29;30,00;186,00;3,00;6,00;6,00;7,00;4,00;1,00;0,50;0,50;1,00;1,00;0,00
2020-01-05;22,00;198,00;3,67;7,33;7,33;6,00;1,00;0,00;2,00;1,00;1,00;0,50;0,00
2020-01-12;14,00;175,00;3,50;7,00;7,00;5,00;5,00;1,00;2,00;1,00;2,00;0,50;0,50
2020-01-19;15,00;172,50;3,75;7,50;7,50;6,00;5,00;2,00;2,00;1,00;1,00;0,50;0,00
2020-01-26;15,00;150,00;3,75;7,50;7,50;4,00;4,00;0,50;2,00;1,00;1,00;0,00;1,00
2020-02-02;12,00;108,00;3,00;6,00;6,00;6,00;5,00;0,00;4,00;1,00;3,00;0,00;0,00
2020-02-09;15,00;157,50;0,00;7,50;7,50;5,00;3,00;0,50;4,00;0,50;3,00;0,00;0,00
2020-02-16;21,00;112,00;3,50;7,00;7,00;9,00;5,00;2,00;3,00;1,00;2,00;0,50;0,00
2020-02-23;10,00;80,00;2,50;2,50;5,00;3,00;4,00;0,00;2,00;2,00;0,50;0,50;0,50
2020-03-01;9,00;126,00;0,00;9,00;4,50;4,00;1,00;0,50;1,00;1,00;0,50;0,00;1,00
2020-03-08;12,00;60,00;0,00;3,00;6,00;1,00;1,00;1,00;0,50;0,00;1,00;0,00;0,00
2020-03-15;9,00;81,00;4,50;4,50;4,50;4,00;1,00;0,50;1,00;0,00;0,50;0,00;0,00
2020-03-22;3,00;36,00;0,00;3,00;3,00;2,00;1,00;0,00;1,00;1,00;1,00;1,00;0,00
2020-03-29;3,00;36,00;0,00;3,00;3,00;1,00;1,00;1,00;0,50;1,00;0,00;0,50;0,00
2020-04-05;3,00;30,00;0,00;3,00;3,00;2,00;0,50;0,50;0,50;0,50;0,50;0,00;0,50
2020-04-12;3,00;42,00;3,00;3,00;3,00;2,00;1,00;1,00;0,50;0,50;0,50;1,00;0,00
2020-04-19;4,00;20,00;0,00;2,00;2,00;2,00;1,00;0,50;0,00;0,00;1,00;0,00;0,00
2020-04-26;4,00;20,00;2,00;2,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;0,50;0,00
2020-05-03;2,00;20,00;0,00;2,00;2,00;2,00;1,00;0,00;0,50;0,00;0,00;0,00;0,00
2020-05-10;7,00;42,00;0,00;3,50;3,50;1,00;1,00;1,00;1,00;0,50;0,50;0,00;0,00
2020-05-17;4,00;24,00;0,00;2,00;2,00;2,00;1,00;0,50;0,50;1,00;0,50;0,50;0,00
