Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;100,00;89,36;76,60;34,04;44,68;33,00;33,00;0,00;45,00;0,00;33,00;56,00;11,00;11,00;0,00;11,00;11,00;11,00;0,00;11,00;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;44,00;90,20;68,20;22,00;0,00;44,00;33,00;11,00;44,00;0,00;11,00;33,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;32,00;93,87;42,67;64,00;10,67;11,00;42,00;11,00;32,00;11,00;32,00;53,00;21,00;0,00;32,00;0,00;0,00;11,00;11,00;11,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;21,00;73,50;73,50;31,50;42,00;32,00;21,00;21,00;21,00;21,00;11,00;11,00;0,00;11,00;11,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;22,00;79,20;101,20;11,00;22,00;11,00;0,00;22,00;11,00;0,00;11,00;33,00;11,00;11,00;11,00;11,00;22,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;44,00;90,20;57,20;33,00;0,00;33,00;11,00;0,00;33,00;11,00;0,00;11,00;11,00;11,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;34,00;146,63;102,00;23,38;23,38;23,00;11,00;0,00;11,00;23,00;11,00;34,00;11,00;0,00;11,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;44,00;88,00;98,48;10,48;54,48;33,00;0,00;56,00;0,00;0,00;11,00;11,00;0,00;33,00;0,00;0,00;0,00;11,00;0,00;22,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;33,00;63,94;86,63;53,63;20,63;11,00;22,00;0,00;11,00;11,00;11,00;11,00;22,00;22,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;11,00;44,00;99,00;22,00;11,00;0,00;11,00;32,00;0,00;22,00;0,00;43,00;0,00;22,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;11,00;11,00;57,20;57,20;22,00;22,00;11,00;22,00;22,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;22,00;81,40;57,20;22,00;0,00;11,00;0,00;0,00;11,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;0,00;32,00;26,00;16,00;5,00;34,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;22,00;35,20;57,20;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;11,00;11,00;94,60;0,00;0,00;11,00;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;11,00;46,20;35,20;0,00;24,20;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;22,00;11,00;11,00;11,00;22,00;11,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2019-05-05;0,00;10,00;35,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;0,00;5,00;51,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;0,00;10,00;40,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;32,00;0,00;128,00;10,67;0,00;0,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;0,00;5,00;90,00;0,00;5,00;0,00;0,00;0,00;10,00;0,00;0,00;20,00;10,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;21,00;0,00;113,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;11,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;0,00;10,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;33,00;0,00;33,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;11,00;11,00;55,00;33,00;11,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;43,00;32,25;32,25;0,00;32,25;0,00;0,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;57,00;0,00;67,56;0,00;10,56;11,00;0,00;11,00;11,00;11,00;0,00;11,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2019-07-21;72,00;59,29;12,71;0,00;48,71;0,00;12,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;36,00;0,00;24,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;48,00;12,52;35,48;0,00;12,52;0,00;0,00;0,00;0,00;12,00;24,00;0,00;12,00;12,00;0,00;0,00;0,00;0,00;12,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;36,00;12,71;36,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00
2019-08-11;22,00;46,20;35,20;0,00;35,20;11,00;0,00;11,00;11,00;11,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;12,00;26,40;38,40;12,00;0,00;0,00;23,00;12,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;22,00;11,00;0,00;22,00;0,00;0,00;0,00;11,00;22,00;0,00;0,00;22,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;84,00;10,77;32,31;0,00;10,77;11,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;21,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2019-09-08;21,00;10,50;115,50;0,00;0,00;11,00;0,00;22,00;0,00;0,00;11,00;0,00;11,00;0,00;11,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;21,00;10,50;42,00;0,00;10,50;11,00;11,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;31,00;49,60;39,27;20,67;10,33;0,00;0,00;0,00;0,00;10,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;10,00;38,00;58,00;10,00;10,00;0,00;10,00;10,00;10,00;10,00;10,00;20,00;10,00;0,00;10,00;10,00;20,00;31,00;0,00;0,00;10,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;31,00;53,14;22,14;31,00;0,00;0,00;0,00;21,00;10,00;0,00;0,00;21,00;10,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;21,00;31,50;21,00;0,00;0,00;0,00;10,00;11,00;21,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;21,00;52,50;21,00;31,50;10,50;0,00;21,00;0,00;0,00;0,00;53,00;32,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00
2019-10-27;10,00;68,00;10,00;20,00;0,00;31,00;0,00;10,00;0,00;10,00;21,00;21,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;30,00;51,43;40,71;21,43;21,43;20,00;0,00;0,00;10,00;10,00;10,00;20,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;30,00;30,00;40,71;19,29;19,29;41,00;0,00;51,00;10,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;20,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;31,00;22,14;31,00;42,07;11,07;21,00;0,00;21,00;10,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;39,00;39,00;30,33;10,83;19,50;59,00;10,00;10,00;10,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;31,00;10,33;20,67;59,93;10,33;0,00;10,00;0,00;0,00;0,00;21,00;31,00;10,00;0,00;0,00;0,00;10,00;0,00;21,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;21,00;21,00;39,90;10,50;0,00;21,00;42,00;21,00;21,00;10,00;31,00;31,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;21,00;39,90;29,40;39,90;29,40;10,00;21,00;10,00;10,00;10,00;0,00;31,00;31,00;0,00;10,00;0,00;21,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;11,00;138,60;24,20;35,20;46,20;56,00;34,00;34,00;56,00;0,00;23,00;45,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;32,00;53,33;53,33;10,67;10,67;22,00;22,00;11,00;32,00;0,00;22,00;11,00;22,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;30,00;60,00;90,00;10,71;10,71;30,00;20,00;20,00;20,00;20,00;0,00;0,00;0,00;30,00;0,00;0,00;10,00;0,00;40,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;19,00;48,56;76,00;38,00;29,56;19,00;49,00;19,00;58,00;0,00;19,00;19,00;19,00;10,00;39,00;10,00;0,00;10,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;20,00;82,22;31,11;62,22;11,11;10,00;30,00;10,00;30,00;0,00;20,00;10,00;0,00;20,00;0,00;10,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;40,00;58,95;88,42;48,42;58,95;20,00;80,00;30,00;10,00;0,00;20,00;20,00;10,00;10,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;60,00;49,29;60,00;40,71;30,00;20,00;30,00;40,00;70,00;0,00;10,00;20,00;0,00;0,00;10,00;0,00;10,00;0,00;20,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;10,00;82,00;64,00;18,00;18,00;20,00;0,00;0,00;0,00;10,00;0,00;39,00;20,00;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;60,00;40,71;70,71;49,29;49,29;10,00;20,00;10,00;40,00;10,00;0,00;10,00;10,00;30,00;20,00;0,00;10,00;20,00;20,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00
2020-02-23;0,00;41,00;23,00;14,00;14,00;29,00;29,00;10,00;10,00;10,00;0,00;20,00;20,00;10,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00
2020-03-01;48,00;66,78;56,35;18,78;56,35;19,00;29,00;39,00;10,00;10,00;19,00;19,00;19,00;0,00;0,00;0,00;10,00;10,00;19,00;0,00;19,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;37,00;217,65;104,47;37,00;47,88;56,00;28,00;47,00;84,00;0,00;9,00;9,00;0,00;9,00;0,00;0,00;0,00;9,00;9,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;9,00;49,50;29,25;0,00;29,25;9,00;9,00;0,00;9,00;9,00;9,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;9,00;9,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;0,00;0,00;30,00;0,00;0,00;0,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;9,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;9,00;0,00;20,25;20,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;9,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;9,00;0,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;0,00;9,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;17,00;8,50;76,50;8,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;34,00;17,00;25,50;8,50;8,50;0,00;0,00;0,00;0,00;0,00;9,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;26,00;26,00;8,67;8,67;8,67;0,00;0,00;17,00;0,00;0,00;9,00;9,00;9,00;0,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-21;18,00;18,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;17,00;8,50;8,50;17,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00
