Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;32,00;768,00;16,00;8,00;16,00;23,00;5,00;9,00;14,00;5,00;23,00;0,00;5,00
2019-01-13;41,00;615,00;13,67;6,83;13,67;18,00;5,00;18,00;0,00;5,00;14,00;0,00;0,00
2019-01-20;31,00;527,00;7,75;15,50;31,00;22,00;9,00;4,00;9,00;13,00;4,00;4,00;0,00
2019-01-27;40,00;586,67;26,67;13,33;13,33;26,00;18,00;9,00;0,00;18,00;0,00;0,00;4,00
2019-02-03;5,00;400,00;10,00;10,00;5,00;14,00;18,00;5,00;9,00;5,00;5,00;0,00;0,00
2019-02-10;27,00;567,00;27,00;6,75;13,50;9,00;18,00;0,00;18,00;5,00;5,00;5,00;0,00
2019-02-17;28,00;616,00;28,00;28,00;28,00;14,00;9,00;9,00;24,00;5,00;5,00;9,00;0,00
2019-02-24;28,00;504,00;28,00;7,00;14,00;23,00;14,00;5,00;14,00;0,00;0,00;0,00;5,00
2019-03-03;14,00;574,00;28,00;14,00;14,00;28,00;9,00;0,00;18,00;18,00;5,00;0,00;0,00
2019-03-10;36,00;810,00;18,00;18,00;18,00;22,00;31,00;9,00;9,00;9,00;0,00;4,00;4,00
2019-03-17;23,00;437,00;34,50;11,50;11,50;36,00;14,00;0,00;18,00;9,00;9,00;5,00;5,00
2019-03-24;28,00;476,00;14,00;14,00;14,00;5,00;28,00;5,00;0,00;0,00;5,00;5,00;5,00
2019-03-31;28,00;546,00;7,00;14,00;28,00;42,00;14,00;5,00;0,00;19,00;9,00;5,00;0,00
2019-04-07;50,00;650,00;12,50;12,50;12,50;27,00;23,00;9,00;14,00;5,00;5,00;5,00;5,00
2019-04-14;19,00;1900,00;38,00;19,00;38,00;33,00;19,00;24,00;9,00;14,00;5,00;9,00;5,00
2019-04-21;43,00;802,67;28,67;28,67;14,33;19,00;24,00;33,00;0,00;19,00;5,00;5,00;9,00
2019-04-28;59,00;737,50;14,75;29,50;7,38;32,00;5,00;5,00;9,00;18,00;9,00;9,00;5,00
2019-05-05;36,00;666,00;18,00;18,00;18,00;27,00;27,00;22,00;18,00;0,00;4,00;4,00;4,00
2019-05-12;59,00;693,25;14,75;29,50;14,75;23,00;18,00;14,00;0,00;9,00;5,00;5,00;0,00
2019-05-19;84,00;532,00;7,00;28,00;14,00;31,00;27,00;9,00;22,00;18,00;4,00;0,00;4,00
2019-05-26;58,00;681,50;29,00;14,50;29,00;27,00;18,00;22,00;18,00;13,00;4,00;0,00;0,00
2019-06-02;42,00;658,00;14,00;14,00;14,00;21,00;25,00;8,00;29,00;13,00;8,00;4,00;8,00
2019-06-09;66,00;514,80;13,20;13,20;13,20;26,00;31,00;22,00;4,00;4,00;4,00;0,00;0,00
2019-06-16;88,00;557,33;14,67;14,67;29,33;18,00;18,00;13,00;4,00;9,00;4,00;4,00;9,00
2019-06-23;63,00;567,00;15,75;15,75;15,75;32,00;27,00;9,00;14,00;9,00;0,00;5,00;14,00
2019-06-30;72,00;619,20;14,40;28,80;86,40;67,00;13,00;36,00;22,00;4,00;4,00;9,00;9,00
2019-07-07;94,00;698,29;26,86;26,86;26,86;27,00;31,00;31,00;13,00;36,00;9,00;9,00;4,00
2019-07-14;80,00;773,33;26,67;26,67;53,33;24,00;28,00;24,00;42,00;52,00;19,00;14,00;5,00
2019-07-21;100,00;857,14;28,57;14,29;28,57;35,00;40,00;25,00;20,00;20,00;15,00;10,00;25,00
2019-07-28;70,00;896,00;28,00;28,00;42,00;30,00;45,00;10,00;10,00;20,00;0,00;0,00;10,00
2019-08-04;100,00;728,57;28,57;28,57;42,86;30,00;50,00;25,00;15,00;35,00;20,00;15,00;10,00
2019-08-11;70,00;742,00;14,00;42,00;28,00;19,00;28,00;23,00;23,00;19,00;14,00;0,00;14,00
2019-08-18;48,00;704,00;48,00;16,00;16,00;38,00;19,00;14,00;5,00;24,00;10,00;0,00;5,00
2019-08-25;70,00;504,00;28,00;28,00;0,00;28,00;5,00;19,00;14,00;14,00;0,00;14,00;0,00
2019-09-01;57,00;555,75;28,50;14,25;14,25;17,00;31,00;22,00;22,00;13,00;0,00;0,00;0,00
2019-09-08;40,00;613,33;13,33;26,67;40,00;27,00;9,00;9,00;18,00;4,00;0,00;9,00;0,00
2019-09-15;53,00;596,25;26,50;13,25;13,25;22,00;22,00;13,00;4,00;4,00;4,00;4,00;0,00
