Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;58,00;8,00;4,00;0,00;0,00;4,00;0,00;8,00;0,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;57,00;0,00;16,00;4,00;0,00;0,00;0,00;12,00;0,00;0,00;4,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-01-20;53,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;52,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;56,00;4,00;8,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;52,00;4,00;12,00;4,00;8,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;4,00;0,00;16,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;40,00;0,00;4,00;0,00;16,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;12,00;4,00;0,00;0,00;8,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;56,00;0,00;0,00;0,00;0,00;12,00;4,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;4,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;36,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;8,00;4,00;8,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-03-10;58,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;8,00;12,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;25,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;51,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;50,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;21,00;4,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;21,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;52,00;0,00;4,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;37,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-05-12;21,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;43,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;26,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;51,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;39,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;68,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;26,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;54,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;18,00;0,00;0,00;4,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;30,00;0,00;13,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;13,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;39,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;53,00;13,00;9,00;4,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;13,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;44,00;4,00;22,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-08-04;52,00;0,00;4,00;4,00;9,00;0,00;4,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;9,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-08-11;34,00;13,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;41,00;4,00;8,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;61,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;64,00;0,00;12,00;4,00;8,00;4,00;0,00;4,00;0,00;0,00;8,00;0,00;0,00;4,00;20,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-09-08;66,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;12,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;8,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;38,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;8,00;4,00;8,00;0,00;12,00;0,00;0,00;0,00;0,00
2019-09-22;55,00;8,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;12,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;47,00;0,00;8,00;0,00;8,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;28,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;59,00;0,00;0,00;4,00;16,00;0,00;4,00;4,00;0,00;0,00;12,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00
2019-10-13;51,00;8,00;0,00;0,00;0,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;4,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
