Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;100,00;15,00;27,00;5,00;1,00;19,00;1,00;22,00;6,00
2019-01-13;95,00;19,00;16,00;7,00;1,00;24,00;5,00;24,00;4,00
2019-01-20;93,00;13,00;16,00;7,00;3,00;22,00;1,00;40,00;9,00
2019-01-27;88,00;12,00;15,00;8,00;1,00;16,00;2,00;24,00;5,00
2019-02-03;78,00;14,00;20,00;7,00;2,00;16,00;3,00;27,00;3,00
2019-02-10;79,00;12,00;13,00;10,00;0,00;17,00;2,00;24,00;9,00
2019-02-17;91,00;15,00;14,00;6,00;1,00;22,00;2,00;21,00;8,00
2019-02-24;76,00;15,00;14,00;9,00;0,00;20,00;2,00;31,00;5,00
2019-03-03;81,00;12,00;20,00;6,00;2,00;17,00;0,00;21,00;3,00
2019-03-10;71,00;12,00;8,00;6,00;0,00;17,00;4,00;21,00;6,00
2019-03-17;65,00;11,00;21,00;8,00;2,00;26,00;2,00;24,00;4,00
2019-03-24;76,00;9,00;9,00;13,00;1,00;11,00;2,00;27,00;14,00
2019-03-31;63,00;10,00;7,00;10,00;1,00;16,00;1,00;24,00;7,00
2019-04-07;69,00;12,00;9,00;6,00;1,00;20,00;2,00;20,00;6,00
2019-04-14;55,00;8,00;11,00;6,00;0,00;16,00;2,00;24,00;8,00
2019-04-21;63,00;12,00;8,00;19,00;1,00;12,00;0,00;22,00;3,00
2019-04-28;71,00;10,00;9,00;8,00;2,00;17,00;3,00;22,00;5,00
2019-05-05;65,00;12,00;4,00;10,00;0,00;15,00;2,00;16,00;8,00
2019-05-12;76,00;12,00;11,00;7,00;2,00;11,00;0,00;16,00;10,00
2019-05-19;62,00;5,00;10,00;7,00;2,00;12,00;4,00;12,00;6,00
2019-05-26;73,00;8,00;8,00;10,00;1,00;15,00;1,00;24,00;3,00
2019-06-02;63,00;10,00;8,00;8,00;0,00;18,00;0,00;24,00;4,00
2019-06-09;74,00;6,00;12,00;7,00;1,00;14,00;2,00;16,00;6,00
2019-06-16;67,00;10,00;24,00;8,00;1,00;15,00;2,00;20,00;2,00
2019-06-23;72,00;11,00;65,00;9,00;0,00;12,00;2,00;25,00;3,00
2019-06-30;67,00;14,00;11,00;10,00;3,00;10,00;2,00;22,00;4,00
2019-07-07;56,00;15,00;8,00;7,00;1,00;15,00;2,00;21,00;6,00
2019-07-14;59,00;11,00;12,00;22,00;1,00;10,00;2,00;30,00;7,00
2019-07-21;81,00;10,00;7,00;10,00;2,00;11,00;0,00;22,00;4,00
2019-07-28;61,00;8,00;8,00;46,00;3,00;15,00;1,00;22,00;7,00
2019-08-04;63,00;11,00;6,00;12,00;0,00;14,00;0,00;23,00;3,00
2019-08-11;64,00;10,00;9,00;14,00;2,00;10,00;2,00;19,00;6,00
2019-08-18;61,00;7,00;7,00;6,00;2,00;14,00;4,00;18,00;9,00
2019-08-25;86,00;9,00;17,00;5,00;4,00;15,00;2,00;21,00;7,00
2019-09-01;58,00;10,00;15,00;6,00;2,00;15,00;2,00;21,00;7,00
2019-09-08;57,00;10,00;10,00;6,00;2,00;11,00;3,00;18,00;5,00
2019-09-15;66,00;7,00;13,00;10,00;2,00;18,00;1,00;23,00;10,00
2019-09-22;58,00;12,00;11,00;8,00;1,00;16,00;3,00;18,00;5,00
2019-09-29;59,00;8,00;8,00;11,00;2,00;12,00;1,00;16,00;8,00
2019-10-06;54,00;15,00;16,00;4,00;1,00;10,00;2,00;15,00;10,00
2019-10-13;63,00;7,00;7,00;11,00;2,00;11,00;1,00;18,00;5,00
2019-10-20;67,00;11,00;9,00;12,00;2,00;12,00;5,00;18,00;8,00
2019-10-27;57,00;6,00;15,00;13,00;1,00;13,00;1,00;16,00;3,00
2019-11-03;62,00;11,00;7,00;13,00;1,00;16,00;3,00;17,00;5,00
2019-11-10;69,00;14,00;15,00;7,00;3,00;19,00;1,00;18,00;6,00
2019-11-17;52,00;19,00;11,00;7,00;2,00;18,00;2,00;17,00;4,00
2019-11-24;53,00;14,00;9,00;11,00;1,00;15,00;4,00;14,00;9,00
2019-12-01;52,00;9,00;17,00;9,00;4,00;21,00;1,00;14,00;6,00
2019-12-08;59,00;20,00;22,00;8,00;1,00;15,00;1,00;15,00;7,00
2019-12-15;57,00;19,00;11,00;9,00;1,00;14,00;1,00;18,00;10,00
2019-12-22;58,00;18,00;13,00;8,00;2,00;33,00;2,00;23,00;8,00
2019-12-29;68,00;12,00;22,00;10,00;0,00;39,00;1,00;27,00;8,00
2020-01-05;83,00;24,00;19,00;9,00;1,00;36,00;9,00;31,00;7,00
2020-01-12;74,00;24,00;21,00;14,00;2,00;21,00;7,00;28,00;11,00
2020-01-19;80,00;21,00;20,00;12,00;3,00;22,00;5,00;30,00;7,00
2020-01-26;79,00;13,00;22,00;7,00;1,00;17,00;2,00;25,00;12,00
2020-02-02;59,00;18,00;21,00;11,00;1,00;25,00;2,00;27,00;11,00
2020-02-09;59,00;10,00;13,00;12,00;2,00;18,00;0,00;24,00;5,00
2020-02-16;63,00;17,00;17,00;9,00;0,00;22,00;1,00;34,00;7,00
2020-02-23;61,00;16,00;12,00;7,00;0,00;18,00;3,00;31,00;7,00
2020-03-01;57,00;16,00;13,00;14,00;2,00;16,00;2,00;16,00;4,00
2020-03-08;61,00;14,00;16,00;15,00;1,00;19,00;2,00;17,00;5,00
2020-03-15;50,00;11,00;7,00;13,00;4,00;12,00;6,00;13,00;5,00
2020-03-22;49,00;14,00;7,00;7,00;0,00;7,00;5,00;7,00;6,00
2020-03-29;37,00;5,00;9,00;10,00;0,00;8,00;4,00;11,00;7,00
2020-04-05;51,00;9,00;10,00;16,00;1,00;5,00;4,00;5,00;5,00
2020-04-12;49,00;9,00;7,00;14,00;1,00;12,00;2,00;11,00;6,00
2020-04-19;45,00;7,00;12,00;9,00;0,00;14,00;2,00;6,00;9,00
2020-04-26;43,00;6,00;10,00;11,00;3,00;10,00;6,00;4,00;4,00
2020-05-03;43,00;11,00;7,00;6,00;2,00;9,00;4,00;7,00;4,00
2020-05-10;36,00;14,00;13,00;8,00;1,00;6,00;2,00;5,00;7,00
2020-05-17;53,00;11,00;11,00;7,00;3,00;10,00;3,00;8,00;4,00
2020-05-24;37,00;11,00;6,00;12,00;1,00;7,00;5,00;12,00;3,00
2020-05-31;47,00;7,00;8,00;8,00;1,00;11,00;2,00;10,00;3,00
2020-06-07;51,00;11,00;16,00;10,00;1,00;5,00;3,00;12,00;4,00
2020-06-14;51,00;16,00;13,00;9,00;1,00;11,00;2,00;12,00;8,00
2020-06-21;49,00;9,00;10,00;8,00;3,00;15,00;4,00;12,00;10,00
2020-06-28;48,00;13,00;6,00;8,00;1,00;9,00;2,00;10,00;11,00
2020-07-05;50,00;10,00;6,00;6,00;2,00;10,00;1,00;10,00;6,00
2020-07-12;46,00;14,00;13,00;4,00;1,00;14,00;1,00;11,00;6,00
2020-07-19;51,00;12,00;11,00;22,00;2,00;16,00;4,00;10,00;4,00
2020-07-26;57,00;14,00;7,00;22,00;2,00;14,00;4,00;11,00;6,00
2020-08-02;62,00;10,00;15,00;11,00;2,00;12,00;5,00;15,00;8,00
2020-08-09;57,00;8,00;11,00;12,00;3,00;14,00;2,00;10,00;3,00
2020-08-16;54,00;10,00;9,00;12,00;1,00;13,00;1,00;8,00;6,00
2020-08-23;60,00;8,00;9,00;9,00;1,00;15,00;3,00;14,00;6,00
2020-08-30;62,00;11,00;12,00;12,00;2,00;10,00;2,00;7,00;3,00
2020-09-06;63,00;15,00;10,00;5,00;0,00;14,00;2,00;8,00;5,00
2020-09-13;57,00;11,00;8,00;12,00;3,00;8,00;3,00;14,00;5,00
2020-09-20;41,00;4,00;7,00;15,00;1,00;7,00;3,00;13,00;5,00
2020-09-27;34,00;9,00;11,00;8,00;0,00;13,00;0,00;9,00;5,00
2020-10-04;44,00;9,00;13,00;10,00;4,00;14,00;0,00;9,00;16,00
2020-10-11;64,00;13,00;6,00;9,00;2,00;16,00;0,00;7,00;2,00
2020-10-18;48,00;10,00;16,00;8,00;2,00;14,00;2,00;10,00;7,00
2020-10-25;50,00;6,00;14,00;6,00;1,00;13,00;2,00;11,00;2,00
2020-11-01;37,00;10,00;5,00;8,00;1,00;8,00;2,00;8,00;8,00
2020-11-08;50,00;13,00;14,00;9,00;2,00;20,00;1,00;13,00;4,00
2020-11-15;48,00;14,00;18,00;9,00;3,00;15,00;1,00;14,00;4,00
2020-11-22;44,00;8,00;12,00;9,00;2,00;17,00;2,00;8,00;7,00
2020-11-29;41,00;11,00;5,00;13,00;2,00;16,00;2,00;11,00;2,00
2020-12-06;52,00;13,00;6,00;10,00;0,00;10,00;2,00;11,00;10,00
2020-12-13;44,00;11,00;11,00;28,00;0,00;10,00;2,00;16,00;3,00
2020-12-20;59,00;7,00;9,00;24,00;1,00;22,00;2,00;23,00;1,00
2020-12-27;75,00;16,00;12,00;16,00;1,00;33,00;1,00;17,00;7,00
2021-01-03;54,00;10,00;7,00;13,00;1,00;21,00;2,00;13,00;2,00
2021-01-10;64,00;8,00;11,00;13,00;3,00;19,00;1,00;22,00;4,00
2021-01-17;46,00;14,00;5,00;14,00;0,00;29,00;2,00;17,00;9,00
2021-01-24;59,00;9,00;10,00;12,00;2,00;19,00;2,00;11,00;4,00
2021-01-31;58,00;10,00;11,00;8,00;3,00;24,00;2,00;11,00;5,00
2021-02-07;36,00;11,00;8,00;11,00;2,00;13,00;2,00;11,00;6,00
2021-02-14;51,00;12,00;10,00;11,00;1,00;18,00;2,00;17,00;10,00
2021-02-21;38,00;16,00;11,00;11,00;2,00;12,00;1,00;15,00;7,00
2021-02-28;43,00;8,00;11,00;8,00;2,00;14,00;2,00;15,00;8,00
2021-03-07;60,00;8,00;11,00;8,00;2,00;21,00;1,00;12,00;9,00
2021-03-14;51,00;9,00;8,00;9,00;1,00;13,00;1,00;23,00;8,00
2021-03-21;51,00;9,00;13,00;9,00;1,00;18,00;2,00;20,00;8,00
2021-03-28;50,00;13,00;8,00;10,00;2,00;14,00;3,00;23,00;4,00
2021-04-04;52,00;18,00;16,00;11,00;2,00;18,00;3,00;21,00;9,00
2021-04-11;55,00;17,00;12,00;15,00;0,00;8,00;4,00;24,00;5,00
2021-04-18;56,00;18,00;9,00;8,00;2,00;16,00;1,00;30,00;8,00
2021-04-25;56,00;12,00;10,00;8,00;1,00;18,00;2,00;21,00;8,00
2021-05-02;70,00;10,00;18,00;9,00;1,00;15,00;4,00;22,00;7,00
2021-05-09;66,00;11,00;12,00;12,00;2,00;9,00;6,00;20,00;6,00
2021-05-16;77,00;16,00;17,00;8,00;2,00;16,00;4,00;18,00;8,00
2021-05-23;56,00;9,00;13,00;14,00;2,00;16,00;3,00;27,00;2,00
2021-05-30;57,00;9,00;6,00;12,00;2,00;17,00;2,00;26,00;4,00
2021-06-06;53,00;13,00;13,00;15,00;1,00;23,00;1,00;26,00;7,00
2021-06-13;60,00;16,00;6,00;13,00;1,00;22,00;2,00;17,00;6,00
2021-06-20;71,00;9,00;7,00;18,00;1,00;22,00;3,00;23,00;6,00
2021-06-27;69,00;14,00;11,00;18,00;2,00;17,00;5,00;27,00;9,00
2021-07-04;60,00;23,00;18,00;16,00;2,00;21,00;2,00;21,00;9,00
2021-07-11;63,00;62,00;85,00;15,00;1,00;21,00;3,00;16,00;5,00
2021-07-18;61,00;14,00;13,00;17,00;3,00;16,00;2,00;26,00;2,00
2021-07-25;75,00;7,00;14,00;8,00;0,00;16,00;2,00;15,00;8,00
