Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;28,00;784,00;7,00;14,00;14,00;10,00;8,00;41,00;7,00;4,00;0,00;3,00;4,00
2019-01-13;48,00;624,00;6,00;12,00;24,00;10,00;18,00;23,00;4,00;4,00;0,00;7,00;6,00
2019-01-20;32,00;597,33;5,33;10,67;10,67;22,00;7,00;31,00;6,00;4,00;7,00;3,00;4,00
2019-01-27;55,00;550,00;0,00;11,00;11,00;16,00;15,00;31,00;15,00;3,00;3,00;11,00;0,00
2019-02-03;55,00;528,00;5,50;11,00;22,00;19,00;20,00;23,00;5,00;4,00;5,00;4,00;1,00
2019-02-10;53,00;715,50;13,25;13,25;13,25;22,00;20,00;29,00;4,00;0,00;1,00;5,00;7,00
2019-02-17;52,00;689,00;6,50;26,00;13,00;27,00;26,00;34,00;4,00;7,00;0,00;7,00;1,00
2019-02-24;39,00;715,00;6,50;13,00;13,00;19,00;9,00;23,00;3,00;3,00;1,00;8,00;3,00
2019-03-03;33,00;616,00;0,00;5,50;11,00;15,00;19,00;26,00;7,00;0,00;5,00;7,00;1,00
2019-03-10;56,00;716,80;5,60;22,40;11,20;21,00;21,00;49,00;8,00;6,00;1,00;1,00;0,00
2019-03-17;39,00;793,00;6,50;13,00;13,00;16,00;10,00;20,00;7,00;3,00;4,00;7,00;1,00
2019-03-24;37,00;715,33;6,17;12,33;12,33;19,00;21,00;27,00;6,00;3,00;0,00;3,00;6,00
2019-03-31;49,00;747,25;6,13;36,75;12,25;14,00;14,00;28,00;13,00;3,00;4,00;6,00;1,00
2019-04-07;40,00;773,33;13,33;13,33;26,67;14,00;14,00;23,00;7,00;7,00;0,00;9,00;0,00
2019-04-14;42,00;1050,00;5,25;21,00;21,00;16,00;13,00;35,00;10,00;1,00;3,00;7,00;0,00
2019-04-21;55,00;616,00;5,50;11,00;11,00;20,00;28,00;45,00;6,00;7,00;3,00;7,00;0,00
2019-04-28;45,00;630,00;11,25;22,50;22,50;28,00;17,00;42,00;3,00;7,00;0,00;8,00;4,00
2019-05-05;76,00;709,33;12,67;12,67;25,33;13,00;16,00;44,00;8,00;6,00;1,00;4,00;4,00
2019-05-12;53,00;848,00;6,63;13,25;26,50;25,00;19,00;19,00;14,00;6,00;3,00;3,00;3,00
2019-05-19;58,00;765,60;5,80;23,20;23,20;23,00;16,00;26,00;1,00;6,00;4,00;12,00;1,00
2019-05-26;46,00;770,50;5,75;23,00;23,00;22,00;24,00;34,00;7,00;3,00;3,00;9,00;1,00
2019-06-02;69,00;805,00;5,75;11,50;23,00;40,00;16,00;30,00;4,00;9,00;1,00;3,00;4,00
2019-06-09;60,00;768,00;6,00;12,00;24,00;17,00;15,00;32,00;1,00;6,00;1,00;12,00;3,00
2019-06-16;76,00;848,67;6,33;12,67;25,33;27,00;16,00;32,00;11,00;0,00;4,00;10,00;3,00
2019-06-23;69,00;759,00;11,50;11,50;34,50;25,00;12,00;34,00;6,00;3,00;3,00;12,00;0,00
2019-06-30;65,00;923,00;6,50;13,00;52,00;24,00;14,00;38,00;8,00;2,00;2,00;5,00;0,00
2019-07-07;82,00;773,14;0,00;11,71;23,43;22,00;23,00;33,00;10,00;1,00;1,00;7,00;1,00
2019-07-14;53,00;795,00;0,00;13,25;26,50;23,00;18,00;32,00;10,00;3,00;1,00;7,00;1,00
2019-07-21;55,00;649,00;11,00;11,00;22,00;17,00;11,00;39,00;5,00;3,00;0,00;8,00;0,00
2019-07-28;39,00;780,00;6,50;13,00;13,00;7,00;18,00;31,00;10,00;7,00;3,00;13,00;0,00
2019-08-04;51,00;726,75;6,38;12,75;12,75;15,00;19,00;34,00;4,00;6,00;1,00;13,00;1,00
2019-08-11;60,00;636,00;6,00;12,00;24,00;14,00;20,00;27,00;10,00;4,00;1,00;1,00;4,00
2019-08-18;49,00;722,75;6,13;12,25;24,50;7,00;20,00;41,00;7,00;8,00;3,00;6,00;1,00
2019-08-25;53,00;715,50;6,63;26,50;13,25;22,00;22,00;33,00;7,00;5,00;3,00;7,00;0,00
2019-09-01;67,00;681,17;5,58;22,33;11,17;15,00;26,00;30,00;9,00;11,00;7,00;5,00;1,00
2019-09-08;52,00;793,00;13,00;26,00;13,00;20,00;20,00;22,00;13,00;7,00;5,00;12,00;1,00
2019-09-15;52,00;767,00;13,00;26,00;26,00;18,00;21,00;33,00;7,00;8,00;0,00;5,00;1,00
2019-09-22;72,00;744,00;12,00;24,00;24,00;17,00;20,00;28,00;16,00;9,00;1,00;9,00;5,00
2019-09-29;44,00;660,00;11,00;22,00;22,00;36,00;17,00;31,00;9,00;4,00;4,00;11,00;3,00
2019-10-06;66,00;605,00;5,50;22,00;22,00;26,00;12,00;26,00;11,00;13,00;1,00;3,00;0,00
2019-10-13;37,00;690,67;12,33;24,67;24,67;17,00;12,00;31,00;4,00;9,00;3,00;4,00;1,00
2019-10-20;51,00;675,75;6,38;25,50;25,50;28,00;25,00;30,00;4,00;9,00;7,00;9,00;8,00
2019-10-27;38,00;684,00;6,33;25,33;12,67;24,00;16,00;36,00;11,00;8,00;3,00;9,00;1,00
2019-11-03;43,00;569,75;5,38;21,50;21,50;27,00;23,00;23,00;9,00;8,00;4,00;4,00;1,00
2019-11-10;52,00;689,00;6,50;26,00;26,00;22,00;22,00;28,00;10,00;5,00;5,00;6,00;4,00
2019-11-17;43,00;602,00;10,75;21,50;21,50;21,00;23,00;13,00;8,00;12,00;6,00;4,00;1,00
2019-11-24;51,00;612,00;6,38;25,50;38,25;15,00;18,00;18,00;8,00;15,00;11,00;3,00;1,00
2019-12-01;47,00;646,25;11,75;23,50;23,50;27,00;23,00;31,00;14,00;9,00;15,00;5,00;1,00
2019-12-08;59,00;637,20;11,80;23,60;23,60;30,00;27,00;27,00;10,00;8,00;13,00;3,00;4,00
2019-12-15;66,00;671,00;11,00;22,00;22,00;23,00;26,00;38,00;5,00;19,00;11,00;4,00;4,00
2019-12-22;88,00;867,43;12,57;37,71;25,14;34,00;40,00;42,00;6,00;9,00;7,00;7,00;3,00
2019-12-29;67,00;792,83;11,17;33,50;33,50;44,00;19,00;49,00;11,00;15,00;18,00;1,00;5,00
2020-01-05;100,00;912,50;12,50;37,50;50,00;28,00;21,00;32,00;24,00;20,00;8,00;8,00;10,00
2020-01-12;85,00;947,14;12,14;36,43;36,43;39,00;39,00;39,00;17,00;24,00;13,00;5,00;4,00
2020-01-19;91,00;887,25;11,38;34,13;34,13;36,00;44,00;35,00;32,00;14,00;10,00;5,00;5,00
2020-01-26;88,00;754,29;12,57;25,14;50,29;30,00;20,00;34,00;14,00;20,00;8,00;8,00;5,00
2020-02-02;72,00;720,00;12,00;24,00;24,00;40,00;22,00;25,00;20,00;14,00;6,00;16,00;1,00
2020-02-09;76,00;836,00;12,67;25,33;38,00;32,00;34,00;37,00;17,00;14,00;7,00;6,00;2,00
2020-02-16;85,00;837,86;12,14;48,57;24,29;42,00;20,00;19,00;19,00;10,00;11,00;11,00;5,00
2020-02-23;85,00;935,00;12,14;36,43;36,43;52,00;52,00;32,00;19,00;25,00;11,00;12,00;2,00
2020-03-01;73,00;803,00;12,17;48,67;36,50;31,00;37,00;19,00;18,00;24,00;11,00;1,00;4,00
2020-03-08;66,00;847,00;11,00;33,00;33,00;34,00;17,00;34,00;9,00;11,00;8,00;7,00;2,00
2020-03-15;36,00;612,00;12,00;36,00;36,00;38,00;29,00;15,00;9,00;19,00;6,00;8,00;4,00
2020-03-22;48,00;456,00;6,00;36,00;36,00;22,00;13,00;21,00;16,00;16,00;9,00;3,00;1,00
2020-03-29;31,00;320,33;10,33;20,67;10,33;21,00;16,00;12,00;8,00;8,00;4,00;0,00;2,00
2020-04-05;25,00;412,50;12,50;25,00;37,50;26,00;26,00;14,00;14,00;14,00;5,00;3,00;0,00
2020-04-12;32,00;341,33;5,33;21,33;21,33;18,00;19,00;14,00;12,00;9,00;7,00;4,00;2,00
2020-04-19;26,00;351,00;13,00;13,00;13,00;21,00;10,00;12,00;11,00;8,00;4,00;3,00;1,00
2020-04-26;27,00;337,50;6,75;13,50;13,50;13,00;14,00;10,00;6,00;8,00;9,00;3,00;6,00
2020-05-03;18,00;414,00;18,00;18,00;36,00;18,00;21,00;14,00;9,00;8,00;9,00;4,00;0,00
2020-05-10;21,00;262,50;5,25;21,00;21,00;23,00;15,00;18,00;11,00;10,00;5,00;6,00;2,00
2020-05-17;44,00;319,00;5,50;22,00;22,00;20,00;20,00;12,00;11,00;5,00;5,00;3,00;2,00
2020-05-24;30,00;260,00;10,00;20,00;20,00;16,00;10,00;14,00;7,00;6,00;10,00;2,00;5,00
2020-05-31;36,00;300,00;12,00;12,00;12,00;26,00;18,00;17,00;10,00;8,00;8,00;11,00;2,00
2020-06-07;45,00;360,00;11,25;11,25;22,50;29,00;17,00;12,00;14,00;12,00;12,00;2,00;1,00
2020-06-14;62,00;334,80;12,40;24,80;37,20;15,00;14,00;20,00;14,00;7,00;13,00;5,00;4,00
2020-06-21;43,00;268,75;5,38;10,75;32,25;23,00;21,00;28,00;12,00;14,00;8,00;2,00;1,00
2020-06-28;37,00;333,00;6,17;12,33;24,67;24,00;12,00;19,00;16,00;7,00;5,00;9,00;2,00
2020-07-05;38,00;367,33;12,67;25,33;38,00;25,00;21,00;17,00;17,00;10,00;6,00;2,00;5,00
2020-07-12;43,00;322,50;10,75;10,75;21,50;24,00;14,00;9,00;5,00;21,00;31,00;5,00;2,00
2020-07-19;52,00;416,00;13,00;26,00;39,00;48,00;19,00;16,00;14,00;17,00;29,00;4,00;2,00
2020-07-26;47,00;387,75;11,75;35,25;23,50;38,00;24,00;18,00;19,00;13,00;15,00;4,00;4,00
2020-08-02;53,00;424,00;13,25;26,50;39,75;31,00;20,00;12,00;11,00;15,00;14,00;6,00;6,00
2020-08-09;61,00;402,60;12,20;12,20;24,40;32,00;22,00;14,00;21,00;15,00;15,00;9,00;7,00
2020-08-16;40,00;360,00;13,33;26,67;40,00;32,00;11,00;21,00;9,00;12,00;5,00;2,00;1,00
2020-08-23;41,00;396,33;13,67;13,67;13,67;25,00;22,00;18,00;17,00;9,00;2,00;7,00;2,00
2020-08-30;44,00;330,00;5,50;11,00;11,00;13,00;13,00;13,00;14,00;15,00;2,00;1,00;1,00
2020-09-06;47,00;329,00;11,75;23,50;23,50;16,00;13,00;9,00;8,00;14,00;13,00;3,00;2,00
2020-09-13;45,00;337,50;11,25;22,50;33,75;27,00;24,00;16,00;15,00;13,00;5,00;3,00;3,00
2020-09-20;43,00;290,25;5,38;32,25;21,50;18,00;19,00;6,00;13,00;8,00;11,00;4,00;1,00
2020-09-27;50,00;350,00;12,50;37,50;25,00;18,00;21,00;19,00;14,00;11,00;10,00;6,00;1,00
2020-10-04;44,00;352,00;11,00;22,00;22,00;21,00;24,00;20,00;9,00;10,00;5,00;4,00;5,00
2020-10-11;45,00;371,25;11,25;22,50;11,25;21,00;21,00;18,00;19,00;8,00;12,00;5,00;4,00
2020-10-18;40,00;413,33;13,33;26,67;26,67;27,00;21,00;18,00;7,00;15,00;8,00;6,00;1,00
2020-10-25;54,00;334,80;10,80;21,60;10,80;17,00;25,00;10,00;7,00;8,00;4,00;6,00;3,00
2020-11-01;40,00;320,00;6,67;26,67;26,67;22,00;18,00;17,00;16,00;5,00;5,00;2,00;2,00
2020-11-08;58,00;290,00;5,80;23,20;23,20;24,00;7,00;15,00;12,00;7,00;8,00;3,00;4,00
2020-11-15;64,00;345,60;12,80;25,60;25,60;31,00;20,00;22,00;15,00;7,00;8,00;8,00;3,00
2020-11-22;39,00;299,00;13,00;13,00;26,00;25,00;14,00;19,00;18,00;6,00;8,00;6,00;1,00
2020-11-29;44,00;308,00;11,00;22,00;22,00;23,00;13,00;11,00;13,00;8,00;5,00;5,00;8,00
2020-12-06;44,00;319,00;11,00;22,00;22,00;13,00;20,00;12,00;22,00;11,00;8,00;3,00;3,00
2020-12-13;41,00;423,67;13,67;27,33;27,33;18,00;20,00;12,00;14,00;15,00;4,00;8,00;7,00
2020-12-20;57,00;353,40;11,40;22,80;34,20;18,00;24,00;10,00;12,00;12,00;10,00;7,00;4,00
2020-12-27;53,00;397,50;6,63;26,50;26,50;17,00;19,00;18,00;13,00;8,00;1,00;3,00;1,00
2021-01-03;51,00;395,25;12,75;12,75;25,50;25,00;25,00;22,00;13,00;6,00;10,00;4,00;3,00
2021-01-10;42,00;294,00;10,50;10,50;31,50;20,00;20,00;15,00;21,00;17,00;7,00;7,00;3,00
2021-01-17;48,00;372,00;12,00;12,00;24,00;19,00;17,00;24,00;15,00;8,00;3,00;5,00;8,00
2021-01-24;51,00;395,25;6,38;25,50;38,25;11,00;16,00;24,00;15,00;21,00;4,00;1,00;5,00
2021-01-31;33,00;286,00;5,50;22,00;22,00;12,00;20,00;7,00;11,00;8,00;9,00;4,00;4,00
2021-02-07;37,00;345,33;12,33;37,00;24,67;15,00;21,00;19,00;11,00;7,00;5,00;3,00;3,00
2021-02-14;45,00;348,75;5,63;22,50;22,50;22,00;28,00;20,00;19,00;12,00;7,00;4,00;3,00
2021-02-21;28,00;392,00;14,00;14,00;28,00;31,00;13,00;24,00;15,00;9,00;0,00;7,00;1,00
2021-02-28;44,00;308,00;5,50;22,00;22,00;9,00;19,00;13,00;16,00;11,00;4,00;7,00;1,00
2021-03-07;58,00;336,40;5,80;23,20;23,20;34,00;27,00;18,00;18,00;12,00;14,00;5,00;4,00
2021-03-14;46,00;356,50;5,75;34,50;34,50;20,00;16,00;14,00;15,00;11,00;13,00;8,00;1,00
2021-03-21;59,00;365,80;11,80;23,60;35,40;13,00;27,00;17,00;16,00;25,00;3,00;4,00;1,00
2021-03-28;50,00;400,00;12,50;25,00;50,00;31,00;25,00;22,00;11,00;20,00;12,00;7,00;3,00
2021-04-04;50,00;437,50;6,25;12,50;50,00;27,00;24,00;31,00;16,00;9,00;11,00;5,00;8,00
2021-04-11;76,00;456,00;12,67;25,33;50,67;28,00;30,00;20,00;24,00;16,00;7,00;5,00;3,00
2021-04-18;88,00;414,86;12,57;37,71;37,71;37,00;22,00;26,00;23,00;21,00;16,00;5,00;0,00
2021-04-25;55,00;385,00;11,00;22,00;33,00;37,00;19,00;27,00;22,00;16,00;13,00;5,00;0,00
2021-05-02;65,00;455,00;13,00;26,00;39,00;34,00;22,00;29,00;16,00;11,00;4,00;7,00;8,00
2021-05-09;47,00;434,75;11,75;23,50;47,00;43,00;35,00;32,00;7,00;8,00;14,00;3,00;4,00
2021-05-16;53,00;516,75;13,25;39,75;39,75;26,00;31,00;29,00;19,00;14,00;8,00;14,00;6,00
2021-05-23;79,00;440,14;11,29;45,14;22,57;29,00;26,00;29,00;19,00;11,00;11,00;3,00;4,00
2021-05-30;76,00;481,33;12,67;38,00;25,33;38,00;28,00;33,00;16,00;20,00;11,00;6,00;8,00
2021-06-06;60,00;492,00;12,00;24,00;24,00;25,00;22,00;29,00;18,00;15,00;6,00;7,00;6,00
2021-06-13;56,00;481,60;11,20;22,40;22,40;36,00;31,00;42,00;29,00;14,00;21,00;8,00;4,00
2021-06-20;48,00;516,00;12,00;36,00;24,00;41,00;27,00;17,00;14,00;20,00;20,00;7,00;7,00
2021-06-27;77,00;641,67;12,83;25,67;38,50;36,00;29,00;25,00;14,00;14,00;11,00;4,00;8,00
2021-07-04;88,00;603,43;12,57;25,14;37,71;40,00;23,00;33,00;17,00;16,00;14,00;17,00;10,00
2021-07-11;60,00;552,00;12,00;24,00;36,00;47,00;28,00;36,00;17,00;17,00;12,00;7,00;3,00
2021-07-18;83,00;569,14;11,86;23,71;35,57;35,00;31,00;25,00;21,00;17,00;16,00;7,00;6,00
2021-07-25;72,00;480,00;12,00;48,00;36,00;26,00;21,00;26,00;16,00;15,00;5,00;2,00;5,00
