Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;28,00;176,40;53,20;109,20;0,00;14,00;0,00;42,00;0,00
2019-01-13;14,00;95,20;42,00;176,40;14,00;0,00;14,00;14,00;14,00
2019-01-20;41,00;70,29;26,36;96,64;0,00;0,00;0,00;0,00;0,00
2019-01-27;67,00;96,13;55,35;107,78;0,00;27,00;0,00;27,00;0,00
2019-02-03;70,00;70,00;70,00;84,58;0,00;0,00;0,00;14,00;0,00
2019-02-10;98,00;69,18;28,82;83,59;0,00;0,00;0,00;28,00;14,00
2019-02-17;14,00;98,00;42,00;84,00;0,00;0,00;0,00;28,00;0,00
2019-02-24;42,00;102,00;30,00;57,00;15,00;0,00;14,00;0,00;14,00
2019-03-03;29,00;87,00;14,50;145,00;0,00;0,00;14,00;0,00;0,00
2019-03-10;56,00;70,74;70,74;141,47;0,00;28,00;0,00;0,00;0,00
2019-03-17;14,00;56,00;56,00;126,00;0,00;14,00;0,00;14,00;0,00
2019-03-24;29,00;58,00;58,00;87,00;0,00;0,00;29,00;14,00;0,00
2019-03-31;28,00;95,20;28,00;39,20;28,00;14,00;0,00;14,00;14,00
2019-04-07;15,00;45,00;78,00;108,00;0,00;0,00;15,00;15,00;0,00
2019-04-14;15,00;81,00;48,00;48,00;0,00;0,00;15,00;15,00;0,00
2019-04-21;29,00;29,00;0,00;116,00;0,00;0,00;0,00;29,00;0,00
2019-04-28;41,00;67,36;26,36;152,29;14,64;0,00;0,00;0,00;0,00
2019-05-05;26,00;66,44;52,00;40,44;0,00;0,00;13,00;0,00;13,00
2019-05-12;0,00;24,00;0,00;34,00;5,00;14,00;28,00;0,00;0,00
2019-05-19;54,00;147,79;79,58;108,00;0,00;0,00;40,00;0,00;0,00
2019-05-26;14,00;81,20;14,00;28,00;14,00;0,00;0,00;0,00;0,00
