Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;0,00;21,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;34,00;35,00;0,00;0,00;6,00;24,00;0,00;0,00;72,00;10,00;0,00
2019-01-13;11,00;21,00;21,00;11,00;11,00;21,00;0,00;0,00;0,00;0,00;93,50;93,50;0,00;0,00;0,00;33,00;11,00;0,00;22,00;0,00;11,00
2019-01-20;21,00;21,00;11,00;11,00;0,00;0,00;0,00;0,00;11,00;11,45;21,00;85,91;0,00;0,00;0,00;50,75;10,50;10,50;53,55;0,00;10,50
2019-01-27;21,00;31,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;85,91;32,45;0,00;0,00;0,00;61,25;0,00;0,00;52,50;0,00;21,00
2019-02-03;21,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,45;143,18;0,00;0,00;10,50;31,50;0,00;0,00;10,00;0,00;0,00
2019-02-10;11,00;43,00;22,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;53,17;53,17;0,00;0,00;0,00;44,00;0,00;0,00;23,10;0,00;23,10
2019-02-17;11,00;33,00;0,00;0,00;0,00;11,00;0,00;11,00;0,00;11,00;97,17;33,00;0,00;0,00;0,00;44,00;0,00;0,00;11,00;0,00;21,00
2019-02-24;11,00;22,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;44,00;44,00;0,00;0,00;0,00;34,83;0,00;0,00;32,00;0,00;11,00
2019-03-03;21,00;11,00;0,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;61,25;101,50;0,00;0,00;0,00;42,00;0,00;0,00;52,00;0,00;21,00
2019-03-10;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;64,17;73,33;0,00;11,00;0,00;44,00;0,00;0,00;56,10;0,00;11,00
2019-03-17;45,00;11,00;11,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;45,00;101,25;0,00;0,00;0,00;55,80;45,00;0,00;11,51;0,00;0,00
2019-03-24;55,00;44,00;11,00;0,00;0,00;11,00;0,00;0,00;11,00;0,00;152,17;77,00;0,00;0,00;0,00;42,58;0,00;0,00;21,79;0,00;0,00
2019-03-31;0,00;11,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;6,00;30,00;30,00;0,00;0,00;0,00;50,00;0,00;0,00;32,00;0,00;0,00
