Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;18,00;2,00;3,00;3,00;2,00;2,00;3,00;3,00;1,00;0,00;0,00;3,00;2,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00
2019-01-13;32,00;6,00;0,00;2,00;3,00;2,00;4,00;2,00;0,00;0,00;0,00;4,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00
2019-01-20;20,00;3,00;2,00;3,00;2,00;1,00;1,00;1,00;0,00;2,00;0,00;1,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-01-27;24,00;5,00;6,00;2,00;2,00;1,00;2,00;4,00;0,00;1,00;1,00;3,00;3,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-02-03;21,00;3,00;0,00;2,00;1,00;2,00;3,00;2,00;0,00;0,00;1,00;2,00;2,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-02-10;23,00;5,00;1,00;2,00;3,00;1,00;5,00;3,00;0,00;0,00;0,00;3,00;2,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-02-17;26,00;3,00;0,00;3,00;2,00;1,00;3,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;18,00;5,00;2,00;3,00;3,00;1,00;4,00;4,00;0,00;0,00;1,00;3,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;22,00;3,00;1,00;3,00;2,00;1,00;3,00;3,00;0,00;0,00;0,00;1,00;3,00;1,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00
2019-03-10;29,00;3,00;1,00;3,00;1,00;2,00;8,00;3,00;1,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-03-17;27,00;4,00;0,00;1,00;4,00;1,00;7,00;1,00;0,00;1,00;2,00;1,00;2,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-03-24;33,00;3,00;1,00;4,00;3,00;1,00;3,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-03-31;28,00;3,00;1,00;3,00;2,00;1,00;3,00;3,00;0,00;2,00;1,00;1,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;37,00;3,00;0,00;2,00;3,00;1,00;3,00;3,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;34,00;2,00;3,00;7,00;2,00;2,00;7,00;1,00;0,00;0,00;1,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;44,00;8,00;3,00;7,00;0,00;1,00;5,00;1,00;1,00;1,00;0,00;3,00;4,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;37,00;5,00;3,00;3,00;1,00;1,00;4,00;2,00;0,00;0,00;1,00;1,00;1,00;1,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00
2019-05-05;29,00;7,00;2,00;4,00;1,00;1,00;2,00;2,00;0,00;0,00;0,00;2,00;2,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-05-12;46,00;6,00;1,00;2,00;3,00;3,00;9,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;29,00;6,00;2,00;5,00;3,00;2,00;5,00;3,00;0,00;0,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00
2019-05-26;24,00;6,00;2,00;6,00;4,00;3,00;3,00;3,00;0,00;1,00;1,00;4,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;24,00;6,00;10,00;8,00;3,00;3,00;6,00;4,00;0,00;1,00;0,00;4,00;3,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00
2019-06-09;51,00;8,00;3,00;5,00;4,00;7,00;9,00;4,00;1,00;0,00;1,00;3,00;3,00;0,00;0,00;1,00;2,00;2,00;0,00;0,00;0,00
2019-06-16;45,00;8,00;4,00;12,00;2,00;5,00;7,00;6,00;1,00;0,00;3,00;4,00;1,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00
2019-06-23;44,00;6,00;8,00;4,00;4,00;3,00;5,00;3,00;0,00;3,00;0,00;2,00;4,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;50,00;6,00;7,00;9,00;5,00;3,00;8,00;3,00;1,00;0,00;0,00;1,00;3,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00
2019-07-07;46,00;6,00;4,00;6,00;1,00;2,00;6,00;5,00;0,00;3,00;2,00;3,00;3,00;1,00;1,00;1,00;2,00;1,00;0,00;0,00;0,00
2019-07-14;53,00;10,00;3,00;6,00;6,00;3,00;4,00;4,00;0,00;0,00;1,00;4,00;4,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-07-21;44,00;16,00;4,00;8,00;2,00;2,00;2,00;6,00;1,00;0,00;2,00;2,00;3,00;1,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00
2019-07-28;44,00;7,00;4,00;2,00;2,00;1,00;4,00;7,00;1,00;1,00;0,00;2,00;6,00;0,00;0,00;1,00;1,00;0,00;0,00;2,00;0,00
2019-08-04;52,00;16,00;8,00;5,00;4,00;1,00;5,00;5,00;0,00;1,00;1,00;1,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;36,00;11,00;5,00;3,00;6,00;5,00;5,00;3,00;2,00;0,00;1,00;2,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-08-18;49,00;67,00;3,00;5,00;4,00;1,00;4,00;5,00;0,00;1,00;0,00;3,00;2,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
