Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Les Deux Alpes (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;69,00;39,00;8,00;8,00;23,00;23,00;23,00;8,00;8,00;8,00;0,00;8,00;8,00;0,00;15,00;0,00;15,00;0,00;8,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;61,00;15,00;8,00;8,00;23,00;15,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;38,00;46,00;15,00;8,00;0,00;0,00;8,00;8,00;15,00;0,00;0,00;0,00;8,00;0,00;15,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;76,00;30,00;8,00;0,00;23,00;8,00;23,00;0,00;8,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;62,00;23,00;15,00;8,00;15,00;15,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;23,00;8,00;23,00;8,00;8,00;0,00;0,00;8,00;0,00;0,00;23,00;8,00;0,00;0,00;8,00;0,00;16,00;0,00;8,00;16,00;16,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00
2019-02-17;32,00;8,00;24,00;0,00;16,00;8,00;0,00;0,00;16,00;0,00;8,00;23,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00
2019-02-24;32,00;16,00;8,00;0,00;24,00;8,00;8,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;31,00;8,00;54,00;16,00;16,00;8,00;15,00;16,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;23,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00
2019-03-10;54,00;15,00;62,00;8,00;0,00;15,00;8,00;8,00;23,00;0,00;0,00;8,00;0,00;8,00;8,00;0,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00
2019-03-17;40,00;32,00;24,00;8,00;8,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;40,00;8,00;24,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;8,00;0,00;16,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;8,00;0,00;0,00;16,00;16,00;8,00;0,00;16,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;32,00;40,00;8,00;16,00;8,00;0,00;0,00;16,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;9,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;25,00;25,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
