Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;30,00;32,00;27,00;59,00;2,00;0,00;0,00;7,00;2,00
2019-01-13;34,00;29,00;23,00;72,00;2,00;5,00;9,00;2,00;7,00
2019-01-20;13,00;27,00;29,00;58,00;2,00;2,00;4,00;0,00;0,00
2019-01-27;20,00;25,00;13,00;27,00;0,00;2,00;4,00;9,00;0,00
2019-02-03;21,00;36,00;30,00;46,00;5,00;0,00;5,00;7,00;5,00
2019-02-10;23,00;25,00;21,00;39,00;2,00;0,00;0,00;12,00;0,00
2019-02-17;32,00;28,00;12,00;37,00;0,00;9,00;9,00;7,00;2,00
2019-02-24;12,00;43,00;12,00;31,00;5,00;2,00;5,00;17,00;7,00
2019-03-03;11,00;37,00;27,00;53,00;5,00;2,00;5,00;9,00;5,00
2019-03-10;11,00;23,00;25,00;30,00;2,00;0,00;2,00;9,00;2,00
2019-03-17;36,00;33,00;12,00;31,00;0,00;5,00;2,00;12,00;0,00
2019-03-24;9,00;30,00;21,00;40,00;0,00;0,00;2,00;12,00;9,00
2019-03-31;28,00;21,00;12,00;31,00;0,00;2,00;9,00;0,00;2,00
2019-04-07;21,00;23,00;12,00;49,00;5,00;0,00;5,00;7,00;5,00
2019-04-14;15,00;13,00;10,00;85,00;3,00;3,00;3,00;0,00;0,00
2019-04-21;17,00;25,00;20,00;50,00;2,00;2,00;2,00;5,00;0,00
2019-04-28;18,00;34,00;18,00;50,00;0,00;0,00;7,00;5,00;0,00
2019-05-05;13,00;20,00;11,00;56,00;2,00;7,00;2,00;4,00;7,00
2019-05-12;9,00;14,00;9,00;31,00;0,00;0,00;12,00;7,00;0,00
2019-05-19;19,00;23,00;14,00;42,00;2,00;2,00;2,00;5,00;2,00
2019-05-26;22,00;19,00;5,00;31,00;0,00;0,00;5,00;2,00;2,00
2019-06-02;21,00;32,00;14,00;44,00;0,00;0,00;5,00;7,00;7,00
2019-06-09;22,00;14,00;7,00;36,00;2,00;0,00;2,00;0,00;7,00
2019-06-16;31,00;12,00;19,00;55,00;0,00;0,00;5,00;7,00;2,00
2019-06-23;26,00;9,00;17,00;21,00;0,00;0,00;5,00;0,00;7,00
2019-06-30;21,00;23,00;19,00;59,00;2,00;0,00;5,00;5,00;5,00
2019-07-07;19,00;26,00;9,00;56,00;2,00;2,00;9,00;16,00;0,00
2019-07-14;15,00;22,00;15,00;32,00;0,00;0,00;2,00;5,00;5,00
2019-07-21;18,00;20,00;13,00;49,00;0,00;0,00;0,00;0,00;3,00
2019-07-28;20,00;22,00;12,00;57,00;0,00;5,00;2,00;2,00;0,00
2019-08-04;17,00;20,00;10,00;37,00;0,00;0,00;2,00;2,00;2,00
2019-08-11;12,00;24,00;5,00;35,00;0,00;0,00;7,00;2,00;0,00
2019-08-18;17,00;32,00;10,00;34,00;0,00;2,00;5,00;5,00;7,00
2019-08-25;28,00;26,00;14,00;47,00;0,00;2,00;7,00;5,00;2,00
2019-09-01;14,00;18,00;12,00;60,00;0,00;2,00;7,00;2,00;0,00
2019-09-08;18,00;18,00;11,00;59,00;2,00;2,00;2,00;7,00;2,00
2019-09-15;7,00;23,00;5,00;44,00;0,00;0,00;9,00;0,00;7,00
2019-09-22;36,00;11,00;14,00;55,00;2,00;0,00;2,00;9,00;2,00
2019-09-29;30,00;27,00;14,00;55,00;0,00;0,00;7,00;5,00;7,00
2019-10-06;30,00;16,00;25,00;46,00;5,00;5,00;2,00;5,00;2,00
2019-10-13;16,00;18,00;14,00;50,00;0,00;0,00;2,00;5,00;5,00
2019-10-20;9,00;22,00;7,00;67,00;0,00;4,00;9,00;0,00;4,00
2019-10-27;2,00;20,00;15,00;59,00;4,00;2,00;2,00;4,00;2,00
2019-11-03;4,00;15,00;11,00;49,00;0,00;2,00;2,00;13,00;4,00
2019-11-10;22,00;24,00;22,00;52,00;4,00;0,00;2,00;6,00;4,00
2019-11-17;17,00;13,00;17,00;41,00;2,00;2,00;9,00;9,00;2,00
2019-11-24;8,00;42,00;15,00;30,00;0,00;2,00;4,00;2,00;2,00
2019-12-01;15,00;26,00;20,00;22,00;2,00;2,00;7,00;2,00;2,00
