Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;3,00;12,00;12,00;9,00;4,00;6,00;99,00;9,00;9,00
2019-01-13;3,00;16,00;16,00;11,00;8,00;6,00;87,00;9,00;6,00
2019-01-20;4,00;22,00;12,00;9,00;5,00;8,00;92,00;12,00;12,00
2019-01-27;21,00;21,00;15,00;11,00;10,00;7,88;60,38;7,88;7,88
2019-02-03;26,00;27,00;14,00;13,00;15,00;10,40;65,00;7,80;7,80
2019-02-10;25,00;23,00;16,00;14,00;11,00;10,00;62,50;7,50;7,50
2019-02-17;30,00;21,00;19,00;14,00;15,00;10,91;51,82;8,18;8,18
2019-02-24;28,00;22,00;10,00;11,00;15,00;10,18;53,45;7,64;7,64
2019-03-03;24,00;17,00;14,00;13,00;15,00;13,33;56,00;8,00;8,00
2019-03-10;29,00;13,00;28,00;16,00;18,00;15,82;55,36;7,91;10,55
2019-03-17;26,00;27,00;18,00;13,00;16,00;13,00;52,00;10,40;10,40
2019-03-24;28,00;21,00;31,00;17,00;19,00;15,27;58,55;10,18;12,73
2019-03-31;6,00;28,00;19,00;10,00;16,00;9,00;81,00;12,00;15,00
2019-04-07;6,00;25,00;15,00;11,00;16,00;9,00;90,00;12,00;12,00
2019-04-14;4,00;33,00;28,00;15,00;24,00;8,00;82,00;10,00;10,00
2019-04-21;6,00;25,00;19,00;13,00;11,00;9,00;123,00;15,00;15,00
2019-04-28;5,00;25,00;20,00;11,00;18,00;12,50;90,00;10,00;10,00
2019-05-05;3,00;24,00;19,00;13,00;15,00;9,00;120,00;15,00;18,00
2019-05-12;5,00;28,00;14,00;13,00;20,00;7,50;92,50;12,50;15,00
2019-05-19;5,00;22,00;17,00;14,00;14,00;10,00;95,00;15,00;20,00
2019-05-26;7,00;46,00;24,00;18,00;20,00;9,33;123,67;16,33;18,67
2019-06-02;7,00;32,00;33,00;20,00;21,00;16,33;121,33;11,67;16,33
2019-06-09;7,00;40,00;20,00;19,00;25,00;16,33;112,00;11,67;18,67
2019-06-16;7,00;41,00;26,00;19,00;24,00;21,00;119,00;14,00;21,00
2019-06-23;9,00;53,00;18,00;20,00;32,00;24,00;156,00;18,00;27,00
2019-06-30;10,00;61,00;38,00;16,00;43,00;22,50;142,50;17,50;25,00
2019-07-07;10,00;64,00;25,00;19,00;37,00;20,00;200,00;17,50;22,50
2019-07-14;14,00;75,00;43,00;22,00;46,00;25,20;249,20;22,40;25,20
2019-07-21;18,00;82,00;44,00;25,00;45,00;20,57;223,71;23,14;20,57
2019-07-28;21,00;74,00;41,00;23,00;53,00;23,63;231,00;21,00;21,00
2019-08-04;15,00;64,00;32,00;21,00;48,00;25,00;182,50;17,50;17,50
2019-08-11;12,00;51,00;31,00;18,00;57,00;26,40;127,20;16,80;16,80
2019-08-18;16,00;52,00;22,00;18,00;35,00;21,33;149,33;21,33;16,00
2019-08-25;8,00;33,00;17,00;16,00;29,00;16,00;106,67;16,00;18,67
2019-09-01;7,00;21,00;9,00;15,00;13,00;9,33;72,33;9,33;11,67
2019-09-08;8,00;24,00;15,00;13,00;9,00;10,67;64,00;10,67;10,67
2019-09-15;4,00;22,00;10,00;11,00;8,00;8,00;84,00;16,00;16,00
2019-09-22;3,00;12,00;10,00;8,00;8,00;6,00;51,00;9,00;12,00
2019-09-29;3,00;11,00;10,00;8,00;7,00;6,00;42,00;9,00;12,00
2019-10-06;1,00;11,00;9,00;6,00;10,00;2,00;28,00;4,00;6,00
2019-10-13;2,00;13,00;10,00;9,00;5,00;2,00;38,00;4,00;6,00
2019-10-20;2,00;15,00;11,00;5,00;5,00;2,00;34,00;4,00;4,00
2019-10-27;1,00;16,00;3,00;6,00;7,00;2,00;30,00;4,00;4,00
2019-11-03;1,00;12,00;7,00;5,00;4,00;2,00;26,00;4,00;4,00
2019-11-10;2,00;12,00;2,00;7,00;4,00;2,00;22,00;4,00;4,00
2019-11-17;1,00;13,00;7,00;6,00;6,00;2,00;26,00;2,00;4,00
2019-11-24;1,00;12,00;7,00;5,00;3,00;2,00;22,00;2,00;2,00
2019-12-01;1,00;12,00;2,00;6,00;4,00;0,50;12,00;1,00;1,00
2019-12-08;1,00;9,00;5,00;4,00;4,00;2,00;28,00;2,00;2,00
2019-12-15;2,00;12,00;5,00;4,00;3,00;2,00;26,00;2,00;4,00
2019-12-22;1,00;22,00;3,00;9,00;4,00;1,00;25,00;2,00;2,00
2019-12-29;3,00;19,00;10,00;8,00;8,00;3,00;81,00;12,00;9,00
2020-01-05;3,00;13,00;10,00;9,00;5,00;6,00;96,00;9,00;9,00
2020-01-12;3,00;10,00;16,00;10,00;6,00;6,00;105,00;12,00;9,00
2020-01-19;4,00;17,00;7,00;9,00;7,00;4,00;60,00;6,00;6,00
2020-01-26;3,00;22,00;6,00;9,00;9,00;6,00;84,00;6,00;9,00
2020-02-02;3,00;20,00;13,00;10,00;8,00;6,00;87,00;9,00;9,00
2020-02-09;3,00;15,00;10,00;9,00;8,00;6,00;57,00;9,00;9,00
2020-02-16;3,00;14,00;10,00;9,00;8,00;9,00;69,00;9,00;9,00
2020-02-23;3,00;17,00;6,00;7,00;9,00;3,00;57,00;9,00;9,00
2020-03-01;3,00;22,00;8,00;8,00;9,00;6,00;51,00;9,00;9,00
2020-03-08;2,00;19,00;3,00;6,00;8,00;2,00;34,00;4,00;6,00
2020-03-15;1,00;8,00;9,00;4,00;2,00;1,00;26,00;2,00;6,00
2020-03-22;1,00;4,00;2,00;4,00;2,00;2,00;36,00;2,00;4,00
2020-03-29;1,00;8,00;8,00;4,00;3,00;0,50;15,00;1,00;2,00
2020-04-05;1,00;10,00;5,00;3,00;2,00;2,00;30,00;2,00;4,00
2020-04-12;2,00;13,00;13,00;5,00;2,00;2,00;28,00;2,00;4,00
2020-04-19;2,00;10,00;9,00;4,00;3,00;2,00;42,00;2,00;6,00
2020-04-26;1,00;15,00;14,00;5,00;2,00;2,00;58,00;2,00;8,00
2020-05-03;1,00;7,00;17,00;10,00;5,00;2,00;98,00;2,00;10,00
2020-05-10;1,00;14,00;10,00;12,00;3,00;1,00;45,00;1,00;7,00
2020-05-17;3,00;16,00;35,00;13,00;9,00;9,00;156,00;6,00;27,00
2020-05-24;4,00;18,00;27,00;17,00;15,00;12,00;176,00;8,00;36,00
2020-05-31;5,00;46,00;39,00;18,00;13,00;12,50;137,50;7,50;22,50
2020-06-07;5,00;54,00;36,00;20,00;17,00;12,50;157,50;7,50;27,50
2020-06-14;6,00;61,00;36,00;20,00;26,00;24,00;210,00;9,00;33,00
2020-06-21;9,00;82,00;43,00;24,00;35,00;24,00;210,00;18,00;36,00
2020-06-28;8,00;82,00;43,00;21,00;40,00;26,67;221,33;16,00;32,00
2020-07-05;11,00;82,00;54,00;25,00;49,00;30,25;247,50;22,00;30,25
2020-07-12;9,00;85,00;46,00;23,00;38,00;24,75;225,00;22,50;24,75
2020-07-19;10,00;72,00;48,00;26,00;45,00;27,50;235,00;25,00;27,50
2020-07-26;11,00;94,00;56,00;27,00;49,00;38,50;250,25;24,75;30,25
2020-08-02;13,00;100,00;45,00;32,00;61,00;28,60;228,80;26,00;26,00
2020-08-09;9,00;68,00;47,00;21,00;53,00;29,25;157,50;20,25;22,50
2020-08-16;10,00;57,00;31,00;21,00;39,00;22,50;142,50;20,00;20,00
2020-08-23;7,00;36,00;21,00;19,00;27,00;14,00;102,67;14,00;16,33
2020-08-30;5,00;38,00;32,00;17,00;22,00;12,50;82,50;12,50;20,00
2020-09-06;5,00;28,00;25,00;15,00;15,00;10,00;95,00;12,50;15,00
2020-09-13;3,00;33,00;20,00;15,00;9,00;9,00;93,00;12,00;15,00
2020-09-20;2,00;15,00;14,00;9,00;7,00;4,00;42,00;4,00;10,00
2020-09-27;2,00;15,00;6,00;7,00;9,00;4,00;30,00;4,00;10,00
2020-10-04;1,00;15,00;13,00;7,00;9,00;2,00;24,00;4,00;10,00
2020-10-11;1,00;13,00;10,00;4,00;5,00;1,00;15,00;2,00;4,00
2020-10-18;1,00;19,00;3,00;5,00;3,00;2,00;26,00;2,00;6,00
2020-10-25;1,00;9,00;5,00;3,00;3,00;1,00;24,00;2,00;6,00
2020-11-01;1,00;9,00;3,00;2,00;3,00;1,00;18,00;2,00;4,00
2020-11-08;1,00;7,00;7,00;3,00;2,00;1,00;18,00;2,00;6,00
2020-11-15;0,50;5,00;3,00;2,00;3,00;0,50;9,00;1,00;2,00
2020-11-22;0,50;10,00;4,00;2,00;3,00;0,50;8,00;1,00;2,00
2020-11-29;1,00;7,00;1,00;3,00;2,00;1,00;22,00;2,00;4,00
2020-12-06;0,50;5,00;4,00;2,00;3,00;0,50;9,00;1,00;2,00
2020-12-13;2,00;8,00;3,00;3,00;3,00;1,00;20,00;2,00;4,00
2020-12-20;0,50;10,00;4,00;3,00;3,00;1,00;9,00;1,00;2,00
2020-12-27;1,00;10,00;3,00;5,00;5,00;2,00;30,00;2,00;6,00
2021-01-03;1,00;11,00;9,00;5,00;2,00;1,00;38,00;2,00;6,00
2021-01-10;1,00;10,00;5,00;5,00;2,00;1,00;36,00;2,00;6,00
2021-01-17;1,00;18,00;4,00;5,00;2,00;2,00;32,00;4,00;6,00
2021-01-24;1,00;10,00;5,00;5,00;4,00;2,00;26,00;4,00;6,00
2021-01-31;1,00;14,00;3,00;4,00;2,00;2,00;32,00;4,00;6,00
2021-02-07;2,00;18,00;8,00;3,00;4,00;2,00;26,00;2,00;6,00
2021-02-14;1,00;19,00;8,00;3,00;7,00;2,00;40,00;2,00;6,00
2021-02-21;2,00;23,00;11,00;4,00;3,00;2,00;50,00;6,00;8,00
2021-02-28;2,00;22,00;11,00;5,00;7,00;2,00;54,00;4,00;8,00
2021-03-07;1,00;25,00;8,00;5,00;9,00;2,00;58,00;4,00;8,00
2021-03-14;2,00;22,00;14,00;5,00;12,00;2,00;50,00;4,00;10,00
2021-03-21;2,00;18,00;9,00;5,00;15,00;2,00;70,00;4,00;10,00
2021-03-28;3,00;28,00;23,00;3,00;18,00;3,00;90,00;9,00;15,00
2021-04-04;2,00;32,00;20,00;5,00;11,00;6,00;62,00;6,00;12,00
2021-04-11;3,00;31,00;23,00;5,00;11,00;6,00;96,00;9,00;18,00
2021-04-18;3,00;24,00;34,00;5,00;10,00;6,00;105,00;9,00;15,00
2021-04-25;4,00;36,00;22,00;6,00;12,00;6,00;94,00;8,00;10,00
2021-05-02;5,00;34,00;26,00;11,00;14,00;7,50;122,50;7,50;15,00
2021-05-09;7,00;43,00;28,00;13,00;21,00;9,33;126,00;9,33;14,00
2021-05-16;3,00;29,00;32,00;19,00;23,00;15,00;132,00;12,00;21,00
2021-05-23;6,00;47,00;34,00;20,00;25,00;21,00;156,00;18,00;24,00
2021-05-30;8,00;40,00;29,00;20,00;29,00;24,00;152,00;16,00;21,33
2021-06-06;7,00;55,00;32,00;18,00;35,00;18,67;147,00;16,33;18,67
2021-06-13;8,00;45,00;36,00;18,00;30,00;21,33;162,67;16,00;21,33
2021-06-20;7,00;56,00;29,00;20,00;37,00;18,67;147,00;14,00;21,00
2021-06-27;7,00;60,00;29,00;21,00;41,00;18,67;144,67;11,67;21,00
2021-07-04;10,00;61,00;38,00;19,00;50,00;22,50;195,00;15,00;20,00
2021-07-11;11,00;80,00;43,00;18,00;45,00;19,25;242,00;22,00;19,25
2021-07-18;11,00;78,00;57,00;27,00;46,00;27,50;253,00;22,00;22,00
2021-07-25;13,00;44,00;28,00;20,00;43,00;23,40;231,40;18,20;20,80
2021-08-01;19,00;60,00;39,00;21,00;56,00;24,43;214,43;21,71;19,00
2021-08-08;17,00;61,00;36,00;24,00;52,00;34,00;252,17;22,67;19,83
