Voyage;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;66,00;61,00;67,00;73,00;69,00;57,44;57,44;50,11;34,22
2019-01-13;60,00;53,00;63,00;69,00;63,00;56,25;61,25;47,50;33,75
2019-01-20;57,00;56,00;60,00;59,00;64,00;52,04;48,33;49,57;33,46
2019-01-27;49,00;49,00;58,00;63,00;68,00;51,51;42,72;45,23;30,15
2019-02-03;47,00;43,00;55,00;57,00;68,00;48,24;42,05;47,00;29,68
2019-02-10;50,00;39,00;50,00;57,00;66,00;48,75;36,25;43,75;30,00
2019-02-17;50,00;42,00;51,00;50,00;71,00;51,25;40,00;46,25;31,25
2019-02-24;59,00;37,00;52,00;50,00;68,00;51,63;36,88;44,25;30,73
2019-03-03;48,00;38,00;51,00;47,00;72,00;50,46;35,69;46,77;32,00
2019-03-10;44,00;40,00;54,00;48,00;67,00;50,11;34,22;44,00;31,78
2019-03-17;47,00;34,00;50,00;46,00;68,00;50,71;32,16;47,00;30,92
2019-03-24;45,00;33,00;50,00;44,00;70,00;53,75;31,25;43,75;30,00
2019-03-31;57,00;48,00;50,00;42,00;66,00;50,80;30,98;45,85;30,98
2019-04-07;55,00;48,00;57,00;42,00;72,00;50,11;37,89;50,11;29,33
2019-04-14;57,00;38,00;51,00;39,00;63,00;52,04;33,46;43,37;28,50
2019-04-21;55,00;42,00;56,00;44,00;60,00;53,78;34,22;44,00;29,33
2019-04-28;54,00;43,00;55,00;44,00;54,00;54,00;41,44;47,72;30,14
2019-05-05;55,00;40,00;53,00;41,00;67,00;47,67;35,44;45,22;28,11
2019-05-12;52,00;40,00;49,00;44,00;64,00;53,24;35,90;45,81;29,71
2019-05-19;48,00;48,00;50,00;42,00;68,00;50,46;39,38;49,23;32,00
2019-05-26;47,00;38,00;51,00;42,00;66,00;48,24;38,34;48,24;32,16
2019-06-02;50,00;40,00;50,00;42,00;69,00;54,88;35,37;46,34;34,15
2019-06-09;52,00;51,00;62,00;50,00;70,00;63,14;40,86;47,05;35,90
2019-06-16;57,00;43,00;52,00;47,00;76,00;61,96;38,41;47,09;34,70
2019-06-23;49,00;46,00;52,00;41,00;79,00;67,85;33,92;49,00;35,18
2019-06-30;53,00;53,00;61,00;51,00;83,00;65,33;43,14;53,00;33,28
2019-07-07;60,00;53,00;69,00;59,00;84,00;69,80;52,65;52,65;33,06
2019-07-14;63,00;65,00;63,00;58,00;86,00;65,47;49,41;49,41;33,35
2019-07-21;62,00;56,00;65,00;55,00;84,00;73,16;47,12;50,84;33,48
2019-07-28;75,00;57,00;64,00;54,00;89,00;76,25;58,75;52,50;31,25
2019-08-04;68,00;58,00;52,00;54,00;91,00;75,42;48,22;53,16;30,91
2019-08-11;68,00;58,00;53,00;53,00;83,00;69,24;46,98;51,93;30,91
2019-08-18;59,00;52,00;59,00;51,00;78,00;63,92;43,02;50,40;29,50
2019-08-25;50,00;46,00;54,00;46,00;69,00;54,88;37,80;47,56;26,83
2019-09-01;51,00;50,00;58,00;48,00;67,00;55,98;41,05;51,00;28,61
2019-09-08;48,00;43,00;50,00;48,00;62,00;51,69;38,15;49,23;27,08
2019-09-15;51,00;46,00;56,00;49,00;62,00;49,76;33,59;51,00;29,85
2019-09-22;57,00;51,00;62,00;100,00;65,00;50,80;39,65;52,04;28,50
2019-09-29;48,00;43,00;59,00;52,00;70,00;44,31;35,69;45,54;28,31
2019-10-06;45,00;38,00;52,00;49,00;65,00;47,50;37,50;50,00;26,25
2019-10-13;47,00;50,00;58,00;46,00;64,00;47,00;38,34;47,00;27,21
2019-10-20;49,00;49,00;49,00;48,00;57,00;44,10;36,75;42,88;25,73
2019-10-27;47,00;52,00;54,00;45,00;54,00;42,05;38,34;40,82;24,74
2019-11-03;47,00;49,00;41,00;44,00;61,00;43,29;35,87;40,82;27,21
2019-11-10;44,00;46,00;49,00;43,00;54,00;45,26;35,20;41,49;27,66
2019-11-17;46,00;41,00;52,00;40,00;55,00;43,51;33,57;37,30;27,35
2019-11-24;45,00;40,00;44,00;36,00;54,00;43,75;35,00;38,75;27,50
2019-12-01;40,00;41,00;48,00;34,00;52,00;43,64;31,52;36,36;29,09
2019-12-08;42,00;47,00;47,00;37,00;51,00;42,00;34,59;38,29;25,94
2019-12-15;45,00;33,00;47,00;36,00;46,00;42,57;36,49;41,35;29,19
2019-12-22;55,00;54,00;64,00;53,00;50,00;50,00;40,00;43,75;32,50
2019-12-29;61,00;60,00;68,00;61,00;60,00;54,90;50,02;52,46;34,16
2020-01-05;63,00;60,00;65,00;64,00;64,00;54,35;56,82;63,00;37,06
2020-01-12;62,00;59,00;64,00;65,00;69,00;55,80;55,80;54,56;38,44
2020-01-19;62,00;59,00;65,00;58,00;68,00;57,04;48,36;54,56;37,20
2020-01-26;59,00;50,00;57,00;51,00;67,00;51,63;44,25;56,54;33,19
2020-02-02;58,00;54,00;59,00;50,00;59,00;46,89;39,49;53,06;33,32
2020-02-09;60,00;49,00;53,00;44,00;67,00;47,50;36,25;60,00;33,75
2020-02-16;63,00;46,00;49,00;43,00;63,00;49,41;40,76;51,88;34,59
2020-02-23;54,00;52,00;52,00;44,00;63,00;46,64;36,82;74,86;42,95
2020-03-01;50,00;41,00;47,00;44,00;55,00;45,12;34,15;69,51;43,90
2020-03-08;56,00;60,00;64,00;64,00;65,00;24,89;51,02;124,44;73,42
2020-03-15;25,00;29,00;32,00;47,00;29,00;16,25;36,25;85,00;46,25
2020-03-22;19,00;17,00;21,00;23,00;19,00;11,88;19,00;28,50;21,38
2020-03-29;22,00;20,00;21,00;21,00;20,00;12,94;12,94;24,59;20,71
2020-04-05;19,00;20,00;20,00;23,00;21,00;13,93;15,20;26,60;17,73
2020-04-12;18,00;18,00;27,00;27,00;21,00;15,43;16,71;24,43;19,29
2020-04-19;18,00;19,00;24,00;27,00;20,00;15,60;15,60;22,80;18,00
2020-04-26;17,00;21,00;28,00;32,00;25,00;17,00;17,00;24,29;18,21
2020-05-03;18,00;19,00;29,00;29,00;30,00;19,29;23,14;28,29;23,14
2020-05-10;17,00;21,00;26,00;31,00;32,00;18,21;23,07;30,36;23,07
2020-05-17;19,00;22,00;28,00;33,00;31,00;21,53;26,60;32,93;27,87
2020-05-24;22,00;27,00;39,00;34,00;38,00;22,00;27,18;33,65;25,88
2020-05-31;27,00;47,00;51,00;38,00;38,00;28,23;35,59;31,91;24,55
2020-06-07;30,00;46,00;44,00;42,00;40,00;32,50;28,75;35,00;31,25
2020-06-14;35,00;41,00;46,00;38,00;44,00;35,00;31,25;37,50;31,25
2020-06-21;33,00;45,00;44,00;34,00;39,00;39,35;35,54;44,42;36,81
2020-06-28;38,00;49,00;51,00;38,00;42,00;45,60;39,27;63,33;38,00
2020-07-05;37,00;53,00;43,00;37,00;37,00;41,93;32,07;49,33;34,53
2020-07-12;34,00;37,00;48,00;35,00;36,00;41,29;34,00;48,57;35,21
2020-07-19;34,00;40,00;43,00;35,00;38,00;41,56;31,48;56,67;35,26
2020-07-26;33,00;41,00;39,00;35,00;47,00;43,15;30,46;63,46;34,27
2020-08-02;35,00;38,00;42,00;32,00;44,00;38,62;26,55;51,90;33,79
2020-08-09;35,00;40,00;35,00;32,00;44,00;41,25;31,25;61,25;33,75
2020-08-16;31,00;46,00;39,00;33,00;39,00;33,48;27,28;55,80;28,52
2020-08-23;30,00;39,00;42,00;32,00;35,00;25,00;28,75;50,00;28,75
2020-08-30;27,00;42,00;34,00;30,00;35,00;24,55;24,55;50,32;29,45
