Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;30,00;19,00;6,00;22,00;14,00;35,22;5,22;1,30;6,52;1,58;66,32;48,95;11,05;5,22;9,13;31,30;1,30;1,30;14,35;14,35;13,04
2019-01-13;42,00;28,00;6,00;25,00;5,00;26,25;6,56;1,31;18,38;3,23;45,23;51,69;8,08;1,35;5,42;44,71;1,35;70,45;5,42;17,61;12,19
2019-01-20;31,00;23,00;5,00;22,00;11,00;29,71;7,75;5,17;11,63;3,26;50,58;50,58;13,05;4,04;6,74;59,30;4,04;24,26;8,09;14,83;18,87
2019-01-27;33,00;12,00;9,00;17,00;3,00;30,36;5,28;5,28;18,48;1,65;47,85;61,05;4,95;5,28;1,32;54,12;5,28;6,60;33,00;13,20;10,56
2019-02-03;42,00;21,00;7,00;15,00;3,00;35,44;5,25;1,31;22,31;1,62;64,62;51,69;4,85;1,35;10,84;67,74;1,35;5,42;32,52;14,90;14,90
2019-02-10;49,00;27,00;12,00;10,00;5,00;37,08;10,59;1,32;29,14;3,27;53,90;60,43;3,27;5,30;5,30;45,03;5,30;6,62;46,35;6,62;18,54
2019-02-17;63,00;35,00;8,00;15,00;8,00;40,69;14,44;2,63;27,56;6,46;54,92;71,08;6,46;6,70;8,04;48,26;5,36;6,70;37,53;9,38;14,74
2019-02-24;52,00;30,00;5,00;16,00;10,00;40,30;5,20;6,50;18,20;3,25;52,00;69,88;8,13;6,67;2,67;50,67;1,33;4,00;36,00;6,67;18,67
2019-03-03;53,00;28,00;7,00;10,00;4,00;37,49;11,63;3,88;21,98;3,21;33,73;72,27;9,64;5,30;0,00;46,38;3,98;3,98;31,80;3,98;21,20
2019-03-10;41,00;19,00;9,00;16,00;6,00;42,32;2,65;3,97;15,87;4,92;45,92;75,44;3,28;2,65;5,29;41,00;1,32;1,37;20,50;5,47;13,67
2019-03-17;57,00;31,00;8,00;5,00;11,00;37,12;9,28;3,98;14,58;9,77;37,46;66,77;6,51;5,43;2,71;58,36;6,79;4,07;23,07;6,79;19,00
2019-03-24;74,00;30,00;7,00;12,00;9,00;44,93;14,54;6,61;21,14;6,43;54,70;72,39;8,04;3,96;5,29;50,21;10,57;5,38;20,18;6,73;21,53
2019-03-31;60,00;32,00;8,00;21,00;6,00;43,04;9,13;5,22;20,87;12,97;34,05;74,59;8,11;6,67;2,67;74,67;2,67;4,00;5,33;16,00;10,67
2019-04-07;56,00;27,00;13,00;26,00;14,00;49,49;6,51;2,60;14,33;9,88;41,18;84,00;24,71;1,33;1,33;73,33;4,00;4,00;5,33;16,00;13,33
2019-04-14;66,00;39,00;5,00;28,00;16,00;59,53;16,82;2,59;19,41;6,44;51,51;78,88;17,71;6,60;2,64;68,64;2,64;9,24;1,32;25,08;22,44
2019-04-21;61,00;38,00;10,00;29,00;14,00;75,28;22,06;5,19;27,26;4,82;46,55;73,84;17,66;7,96;2,65;61,00;1,33;2,65;7,96;23,87;21,22
2019-04-28;72,00;44,00;7,00;41,00;7,00;56,29;10,47;2,62;19,64;3,27;55,64;90,00;14,73;4,00;1,33;72,00;1,33;5,33;9,33;20,00;17,33
2019-05-05;43,00;29,00;11,00;31,00;13,00;46,91;15,64;1,30;14,33;1,65;44,65;82,69;16,54;2,69;1,34;64,50;5,38;8,06;5,38;25,53;12,09
2019-05-12;57,00;36,00;5,00;28,00;10,00;42,75;10,36;1,30;16,84;3,26;39,09;74,91;13,03;5,30;0,00;58,33;1,33;5,30;5,30;19,88;26,51
2019-05-19;65,00;30,00;10,00;30,00;12,00;41,60;10,40;2,60;13,00;6,50;32,50;79,63;11,38;7,96;1,33;46,43;1,33;3,98;10,61;18,57;18,57
2019-05-26;43,00;27,00;13,00;34,00;8,00;63,16;21,50;5,38;26,88;6,62;51,27;102,54;23,15;5,38;4,03;72,56;4,03;2,69;16,13;24,19;22,84
2019-06-02;64,00;34,00;13,00;17,00;11,00;64,00;10,45;0,00;22,20;9,85;57,44;90,26;13,13;6,67;1,33;78,67;5,33;6,67;8,00;26,67;29,33
2019-06-09;62,00;28,00;11,00;30,00;12,00;59,36;10,55;2,64;27,70;8,16;52,21;81,58;22,84;9,23;1,32;72,55;1,32;10,55;6,60;15,83;30,34
2019-06-16;60,00;32,00;7,00;23,00;13,00;64,00;10,67;4,00;17,33;6,49;56,76;89,19;19,46;9,33;5,33;72,00;6,67;10,67;5,33;34,67;29,33
2019-06-23;53,00;23,00;11,00;23,00;18,00;53,00;9,28;5,30;27,83;6,42;41,76;83,52;17,67;5,30;2,65;84,80;6,63;9,28;5,30;30,48;31,80
2019-06-30;55,00;33,00;9,00;31,00;13,00;74,64;10,48;2,62;22,26;6,47;45,29;84,12;14,56;5,37;5,37;64,39;5,37;6,71;13,41;32,20;26,83
2019-07-07;82,00;42,00;10,00;31,00;14,00;91,11;18,22;3,90;29,94;3,22;75,57;90,04;24,12;6,61;3,97;84,65;9,26;5,38;12,10;21,51;45,70
2019-07-14;81,00;52,00;22,00;29,00;15,00;82,31;14,37;2,61;35,27;16,20;66,42;119,88;27,54;13,28;10,62;98,26;3,98;9,45;8,10;33,75;49,95
2019-07-21;71,00;37,00;14,00;31,00;10,00;84,15;15,78;5,26;24,98;19,36;72,61;96,82;25,82;6,70;2,68;104,49;13,40;9,38;13,40;22,77;49,57
2019-07-28;74,00;42,00;12,00;33,00;21,00;84,57;22,46;6,61;58,14;16,09;69,17;115,83;37,00;7,93;5,29;84,57;9,25;8,07;16,15;28,25;43,05
2019-08-04;89,00;45,00;16,00;46,00;23,00;87,69;11,78;7,85;44,50;16,18;55,02;135,93;32,36;11,96;5,31;102,28;11,96;14,61;17,27;26,57;49,15
2019-08-11;98,00;51,00;16,00;43,00;22,00;107,15;19,60;10,45;41,81;17,97;99,63;137,20;39,20;11,92;6,62;90,05;6,62;10,74;22,82;32,22;46,99
2019-08-18;100,00;55,00;7,00;30,00;15,00;75,00;17,11;9,21;38,16;9,84;72,13;116,39;29,51;13,33;2,67;94,67;2,67;9,33;13,33;30,67;42,67
2019-08-25;63,00;33,00;13,00;14,00;12,00;56,44;15,75;5,25;17,06;8,08;50,08;82,38;14,54;5,36;1,34;64,34;4,02;6,70;8,04;28,15;20,11
2019-09-01;51,00;20,00;10,00;15,00;9,00;39,23;5,23;0,00;7,85;6,58;46,06;85,55;16,45;4,03;1,34;51,00;4,03;9,39;9,39;21,47;18,79
2019-09-08;46,00;21,00;7,00;25,00;17,00;31,54;6,57;10,51;10,51;4,93;46,00;77,21;14,79;6,76;2,71;44,65;4,06;16,24;8,12;12,18;13,53
