Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;47,00;296,10;32,90;42,30;75,20;50,00;40,00;28,00;37,00;21,78;35,54;4,59;6,88
2019-01-13;44,00;293,33;34,22;48,89;83,11;50,00;44,00;28,00;40,00;22,56;28,21;6,77;6,77
2019-01-20;44,00;298,22;34,22;48,89;78,22;48,00;39,00;30,00;31,00;22,56;33,85;4,51;6,77
2019-01-27;37,00;291,38;37,00;46,25;60,13;47,00;56,00;16,00;33,00;25,79;33,64;6,73;4,48
2019-02-03;36,00;344,57;41,14;46,29;61,71;61,00;43,00;17,00;41,00;23,63;34,88;7,88;6,75
2019-02-10;36,00;344,57;36,00;51,43;66,86;55,00;42,00;17,00;39,00;27,00;40,50;7,88;5,63
2019-02-17;39,00;331,50;39,00;48,75;68,25;60,00;43,00;14,00;36,00;32,12;35,56;6,88;6,88
2019-02-24;39,00;326,63;34,13;48,75;58,50;68,00;49,00;19,00;46,00;26,74;33,43;8,91;4,46
2019-03-03;37,00;300,63;27,75;46,25;55,50;56,00;48,00;19,00;40,00;31,39;37,00;10,09;6,73
2019-03-10;42,00;294,00;28,00;46,67;56,00;60,00;41,00;14,00;43,00;22,11;32,05;6,63;5,53
2019-03-17;46,00;373,11;35,78;56,22;61,33;60,00;43,00;17,00;38,00;25,80;32,54;6,73;7,85
2019-03-24;45,00;340,00;35,00;55,00;70,00;59,00;47,00;14,00;39,00;25,88;30,38;6,75;5,63
2019-03-31;49,00;357,70;34,30;49,00;93,10;59,00;45,00;29,00;34,00;26,73;47,89;6,68;6,68
2019-04-07;55,00;355,00;35,00;50,00;80,00;61,00;47,00;30,00;39,00;28,06;37,04;10,10;8,98
2019-04-14;60,00;500,00;45,00;50,00;75,00;69,00;50,00;34,00;39,00;33,96;50,94;11,32;11,32
2019-04-21;56,00;371,64;35,64;56,00;76,36;64,00;46,00;38,00;36,00;30,24;33,60;8,96;8,96
2019-04-28;62,00;314,77;38,15;62,00;71,54;66,00;46,00;37,00;35,00;28,18;31,56;6,76;9,02
2019-05-05;53,00;303,55;33,73;48,18;62,64;62,00;40,00;28,00;39,00;28,19;31,57;6,77;6,77
2019-05-12;55,00;330,00;30,00;50,00;70,00;63,00;43,00;32,00;35,00;28,06;32,55;8,98;8,98
2019-05-19;51,00;306,00;32,45;46,36;74,18;59,00;43,00;31,00;35,00;26,61;29,93;7,76;6,65
2019-05-26;55,00;350,00;35,00;50,00;75,00;64,00;47,00;29,00;36,00;24,69;31,43;10,10;10,10
2019-06-02;66,00;360,46;35,54;50,77;71,08;67,00;52,00;34,00;34,00;31,32;32,44;8,95;10,07
2019-06-09;68,00;344,86;34,00;53,43;68,00;70,00;51,00;33,00;36,00;34,00;31,73;11,33;9,07
2019-06-16;68,00;364,29;38,86;58,29;72,86;84,00;47,00;29,00;39,00;36,27;36,27;12,47;11,33
