Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;34,00;7,00;0,00;7,00;0,00;14,00;0,00;0,00;7,00;0,00;0,00;75,03;0,00;0,00;0,00;48,17;0,00;0,00;14,00;0,00;7,00
2019-01-13;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,07;7,07;40,07;0,00;0,00;0,00;52,25;0,00;0,00;0,00;0,00;0,00
2019-01-20;40,00;13,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,06;27,06;0,00;0,00;0,00;48,57;0,00;0,00;0,00;0,00;13,00
2019-01-27;45,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,92;0,00;18,95;0,00;0,00;0,00;30,94;0,00;0,00;0,00;0,00;13,00
2019-02-03;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,57;32,00;0,00;0,00;0,00;24,00;0,00;0,00;6,00;0,00;6,00
2019-02-10;61,00;7,00;0,00;0,00;0,00;7,00;7,00;7,00;0,00;0,00;7,04;14,08;0,00;0,00;0,00;61,00;0,00;0,00;0,00;7,00;20,00
2019-02-17;34,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,03;60,97;0,00;5,67;0,00;110,50;0,00;0,00;0,00;7,00;0,00
2019-02-24;40,00;13,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,00;0,00;0,00;0,00;40,00;0,00;0,00;7,00;0,00;13,00
2019-03-03;86,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;60,08;0,00;0,00;5,55;58,26;0,00;0,00;13,00;7,00;13,00
2019-03-10;40,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,06;12,94;0,00;14,29;0,00;94,29;0,00;0,00;0,00;0,00;0,00
2019-03-17;34,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,03;26,97;0,00;0,00;0,00;90,67;0,00;0,00;0,00;0,00;0,00
2019-03-24;49,00;7,00;7,00;0,00;0,00;14,00;0,00;0,00;7,00;0,00;7,00;28,00;0,00;0,00;0,00;49,00;0,00;0,00;0,00;0,00;14,00
2019-03-31;48,00;0,00;21,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;21,07;0,00;0,00;0,00;76,24;0,00;0,00;14,00;7,00;7,00
2019-04-07;20,00;7,00;20,00;0,00;0,00;0,00;0,00;14,00;0,00;7,06;21,18;41,18;7,06;0,00;0,00;91,43;0,00;0,00;0,00;0,00;20,00
2019-04-14;100,00;0,00;7,00;0,00;0,00;0,00;14,00;0,00;7,00;0,00;0,00;56,98;0,00;8,33;0,00;58,33;0,00;0,00;0,00;14,00;0,00
2019-04-21;48,00;14,00;14,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;7,02;81,95;0,00;0,00;5,65;81,88;0,00;0,00;0,00;0,00;7,00
2019-04-28;33,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,96;40,07;0,00;0,00;0,00;46,75;0,00;0,00;0,00;0,00;13,00
2019-05-05;67,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,05;54,07;0,00;5,58;0,00;80,96;0,00;0,00;13,00;7,00;20,00
2019-05-12;41,00;0,00;14,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;55,06;0,00;0,00;0,00;65,60;0,00;0,00;14,00;7,00;7,00
2019-05-19;80,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;6,96;67,25;6,96;0,00;0,00;80,00;5,52;0,00;0,00;0,00;13,00
2019-05-26;60,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;20,00;0,00;0,00;0,00;94,29;0,00;0,00;0,00;7,00;0,00
2019-06-02;52,00;6,00;13,00;0,00;0,00;0,00;0,00;13,00;13,00;0,00;20,09;118,18;0,00;0,00;0,00;288,89;0,00;0,00;0,00;6,00;13,00
2019-06-09;19,00;6,00;13,00;0,00;0,00;13,00;0,00;0,00;7,00;0,00;12,29;31,29;0,00;5,43;0,00;127,57;0,00;0,00;7,00;0,00;7,00
2019-06-16;68,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;7,03;26,97;0,00;0,00;0,00;68,00;0,00;0,00;0,00;14,00;27,00
2019-06-23;61,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;14,08;0,00;75,08;0,00;5,55;0,00;74,86;0,00;0,00;7,00;0,00;14,00
2019-06-30;74,00;14,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;6,94;6,94;67,06;0,00;0,00;0,00;145,26;0,00;0,00;0,00;0,00;7,00
2019-07-07;67,00;0,00;7,00;0,00;7,00;34,00;0,00;0,00;0,00;0,00;0,00;40,43;0,00;0,00;0,00;94,92;0,00;7,00;14,00;14,00;14,00
2019-07-14;80,00;0,00;7,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;12,94;54,12;7,06;0,00;5,52;91,03;5,52;0,00;0,00;0,00;7,00
2019-07-21;69,00;7,00;14,00;0,00;0,00;21,00;0,00;0,00;14,00;0,00;21,05;69,00;0,00;0,00;0,00;41,40;5,52;7,00;7,00;0,00;14,00
2019-07-28;89,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;7,03;7,03;33,96;7,03;0,00;0,00;80,66;0,00;0,00;0,00;14,00;7,00
2019-08-04;60,00;13,00;0,00;7,00;0,00;13,00;7,00;0,00;0,00;7,06;12,94;54,12;0,00;0,00;0,00;111,82;0,00;7,00;13,00;0,00;13,00
2019-08-11;85,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;6,99;52,40;0,00;0,00;0,00;76,77;0,00;0,00;0,00;0,00;13,00
2019-08-18;95,00;20,00;20,00;0,00;0,00;0,00;0,00;0,00;7,00;19,94;14,07;96,17;0,00;0,00;0,00;81,03;0,00;0,00;0,00;7,00;20,00
2019-08-25;80,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;19,71;39,42;6,96;0,00;0,00;66,21;0,00;0,00;0,00;0,00;20,00
2019-09-01;59,00;7,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,12;0,00;0,00;0,00;33,71;5,62;0,00;0,00;0,00;13,00
2019-09-08;46,00;20,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,08;47,18;0,00;0,00;0,00;80,50;0,00;0,00;0,00;0,00;7,00
2019-09-15;19,00;6,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;6,71;24,59;0,00;0,00;5,43;89,57;5,43;0,00;0,00;7,00;0,00
2019-09-22;18,00;0,00;6,00;0,00;0,00;6,00;6,00;6,00;0,00;0,00;12,38;47,25;0,00;0,00;0,00;84,86;0,00;0,00;0,00;0,00;6,00
2019-09-29;43,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;24,41;31,38;0,00;0,00;0,00;48,38;0,00;0,00;0,00;0,00;0,00
2019-10-06;43,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,81;18,59;0,00;0,00;0,00;51,60;0,00;0,00;6,00;0,00;12,00
2019-10-13;37,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;12,72;42,78;0,00;0,00;0,00;37,00;0,00;0,00;6,00;0,00;0,00
2019-10-20;24,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;18,29;65,14;0,00;0,00;0,00;69,33;0,00;0,00;0,00;6,00;12,00
2019-10-27;43,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;12,78;37,19;0,00;0,00;0,00;43,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;12,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;6,00;12,00;12,00;0,00;6,00;0,00;51,00;0,00;0,00;0,00;0,00;6,00
2019-11-10;24,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;6,00;5,71;29,71;24,00;0,00;0,00;0,00;34,67;0,00;0,00;0,00;6,00;18,00
2019-11-17;18,00;6,00;12,00;12,00;0,00;12,00;0,00;0,00;12,00;0,00;6,00;24,00;0,00;0,00;0,00;57,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;29,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;5,80;5,80;17,40;0,00;0,00;0,00;5,80;5,80;0,00;0,00;6,00;12,00
2019-12-01;12,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;25,20;0,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;47,00;0,00;0,00;0,00;13,00;0,00;0,00;6,00;0,00;6,00
2019-12-15;25,00;6,00;6,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;25,00;5,68;0,00;0,00;13,89;0,00;0,00;6,00;0,00;19,00
2019-12-22;14,00;21,00;14,00;7,00;0,00;7,00;0,00;7,00;7,00;0,00;21,00;42,00;0,00;0,00;0,00;56,00;0,00;0,00;7,00;14,00;14,00
2019-12-29;50,00;13,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;12,79;44,19;0,00;0,00;0,00;55,56;0,00;0,00;0,00;6,00;6,00
2020-01-05;46,00;12,00;12,00;0,00;6,00;12,00;0,00;12,00;6,00;5,75;23,00;57,50;0,00;0,00;0,00;67,65;0,00;0,00;12,00;12,00;17,00
2020-01-12;57,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;6,00;5,94;5,94;40,38;5,94;0,00;0,00;74,10;0,00;6,00;0,00;0,00;6,00
2020-01-19;77,00;6,00;6,00;0,00;0,00;18,00;6,00;0,00;0,00;11,67;0,00;30,33;0,00;0,00;0,00;77,00;0,00;0,00;0,00;6,00;12,00
2020-01-26;29,00;0,00;17,00;0,00;0,00;12,00;0,00;0,00;6,00;5,80;11,60;34,80;0,00;0,00;0,00;49,30;5,80;0,00;0,00;0,00;29,00
