Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;46,00;19,00;1,00;14,00;2,00;2,00;14,00;7,00;5,00;0,00;1,00;0,00;0,00;0,00;2,00;3,00;0,00;1,00;0,00;0,00;0,00
2019-01-13;56,00;9,00;10,00;7,00;0,00;2,00;7,00;7,00;3,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-01-20;53,00;11,00;3,00;4,00;1,00;2,00;9,00;5,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-01-27;54,00;5,00;6,00;5,00;3,00;6,00;15,00;12,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-02-03;47,00;6,00;3,00;13,00;0,00;1,00;13,00;6,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;58,00;3,00;3,00;6,00;1,00;2,00;10,00;9,00;3,00;0,00;1,00;0,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00
2019-02-17;47,00;4,00;7,00;12,00;1,00;3,00;7,00;4,00;6,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;38,00;9,00;2,00;7,00;1,00;2,00;3,00;5,00;4,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;54,00;11,00;4,00;7,00;2,00;2,00;10,00;7,00;3,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;52,00;13,00;3,00;7,00;1,00;1,00;9,00;5,00;0,00;0,00;0,00;1,00;0,00;2,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00
