Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;33,00;70,13;18,56;41,25;0,00;37,00;0,00;23,00;5,00
2019-01-13;73,00;64,66;37,54;37,54;0,00;64,00;14,00;23,00;9,00
2019-01-20;50,00;79,17;8,33;14,58;0,00;46,00;14,00;23,00;9,00
2019-01-27;71,00;58,47;18,79;48,03;12,53;9,00;0,00;27,00;18,00
2019-02-03;31,00;39,27;22,73;26,87;4,13;9,00;4,00;13,00;13,00
2019-02-10;42,00;48,30;23,10;37,80;10,50;14,00;0,00;9,00;9,00
2019-02-17;37,00;51,39;18,50;22,61;0,00;5,00;0,00;19,00;9,00
2019-02-24;56,00;33,19;18,67;33,19;0,00;19,00;9,00;28,00;5,00
2019-03-03;36,00;52,00;8,00;18,00;4,00;32,00;14,00;27,00;9,00
2019-03-10;37,00;37,00;26,72;45,22;0,00;0,00;5,00;23,00;14,00
2019-03-17;23,00;33,45;23,00;18,82;0,00;9,00;5,00;0,00;14,00
2019-03-24;43,00;38,90;4,10;14,33;0,00;10,00;10,00;10,00;29,00
2019-03-31;52,00;22,88;14,56;47,84;0,00;10,00;0,00;10,00;0,00
2019-04-07;61,00;22,37;18,30;46,77;0,00;24,00;5,00;9,00;14,00
2019-04-14;25,00;0,00;10,42;10,42;0,00;10,00;5,00;25,00;5,00
2019-04-21;47,00;28,61;4,09;32,70;0,00;14,00;0,00;5,00;24,00
2019-04-28;28,00;43,08;15,08;28,00;0,00;18,00;14,00;9,00;9,00
2019-05-05;65,00;27,26;8,39;27,26;0,00;19,00;0,00;5,00;14,00
2019-05-12;52,00;18,72;4,16;33,28;0,00;24,00;9,00;9,00;5,00
2019-05-19;60,00;18,62;8,28;18,62;0,00;14,00;5,00;23,00;0,00
2019-05-26;46,00;41,82;18,82;23,00;4,18;23,00;5,00;23,00;5,00
2019-06-02;31,00;45,47;12,40;18,60;0,00;13,00;4,00;9,00;9,00
2019-06-09;67,00;44,67;4,06;8,12;0,00;9,00;5,00;9,00;27,00
2019-06-16;14,00;22,00;18,00;28,00;0,00;5,00;0,00;14,00;5,00
2019-06-23;56,00;33,19;18,67;22,81;0,00;5,00;5,00;14,00;9,00
2019-06-30;33,00;18,56;10,31;33,00;0,00;24,00;0,00;0,00;9,00
2019-07-07;51,00;8,16;18,36;26,52;0,00;0,00;9,00;14,00;9,00
2019-07-14;41,00;32,80;8,20;26,65;0,00;23,00;9,00;18,00;9,00
2019-07-21;67,00;29,31;23,03;52,34;0,00;10,00;5,00;0,00;14,00
