Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;46,00;418,18;16,73;8,36;20,91;15,00;22,00;5,00;13,00;8,00;9,00;4,00;1,00
2019-01-13;56,00;361,85;12,92;8,62;12,92;20,00;19,00;5,00;19,00;9,00;9,00;1,00;0,00
2019-01-20;53,00;338,38;12,23;12,23;12,23;11,00;18,00;4,00;17,00;4,00;13,00;2,00;4,00
2019-01-27;54,00;319,85;12,46;8,31;8,31;8,00;20,00;1,00;16,00;3,00;7,00;6,00;2,00
2019-02-03;47,00;333,27;12,82;8,55;21,36;14,00;24,00;4,00;17,00;6,00;6,00;2,00;2,00
2019-02-10;58,00;306,57;12,43;8,29;20,71;9,00;18,00;6,00;12,00;3,00;6,00;2,00;3,00
2019-02-17;47,00;320,45;8,55;8,55;12,82;24,00;21,00;12,00;19,00;7,00;7,00;7,00;0,00
2019-02-24;38,00;316,67;8,44;4,22;16,89;13,00;27,00;9,00;17,00;8,00;9,00;2,00;3,00
2019-03-03;54,00;336,46;8,31;4,15;16,62;16,00;23,00;11,00;15,00;2,00;5,00;5,00;2,00
2019-03-10;52,00;372,67;8,67;17,33;13,00;14,00;13,00;10,00;11,00;3,00;10,00;5,00;1,00
2019-03-17;43,00;348,30;17,20;4,30;12,90;20,00;28,00;12,00;27,00;3,00;7,00;3,00;1,00
2019-03-24;43,00;322,50;12,90;8,60;17,20;28,00;25,00;9,00;19,00;8,00;1,00;5,00;2,00
2019-03-31;55,00;313,08;8,46;8,46;16,92;22,00;16,00;9,00;17,00;6,00;13,00;4,00;2,00
2019-04-07;77,00;346,50;8,56;12,83;12,83;12,00;28,00;18,00;9,00;9,00;11,00;8,00;1,00
2019-04-14;66,00;387,75;8,25;12,38;8,25;14,00;25,00;13,00;13,00;7,00;14,00;4,00;1,00
2019-04-21;66,00;243,38;12,38;8,25;8,25;15,00;21,00;18,00;11,00;5,00;11,00;6,00;1,00
2019-04-28;52,00;325,00;13,00;4,33;13,00;30,00;24,00;4,00;9,00;6,00;9,00;9,00;1,00
2019-05-05;70,00;350,00;4,38;13,13;17,50;19,00;23,00;11,00;21,00;4,00;14,00;6,00;2,00
2019-05-12;55,00;317,31;8,46;8,46;12,69;28,00;36,00;8,00;20,00;2,00;7,00;7,00;3,00
2019-05-19;73,00;377,88;17,18;12,88;21,47;21,00;31,00;9,00;15,00;2,00;10,00;7,00;4,00
2019-05-26;83,00;298,80;8,30;8,30;12,45;23,00;30,00;11,00;9,00;13,00;13,00;6,00;1,00
2019-06-02;91,00;372,67;13,00;8,67;17,33;26,00;26,00;9,00;10,00;8,00;5,00;10,00;2,00
2019-06-09;93,00;363,55;16,91;4,23;16,91;22,00;39,00;12,00;16,00;6,00;15,00;5,00;1,00
2019-06-16;100,00;391,67;12,50;12,50;16,67;20,00;44,00;11,00;13,00;9,00;12,00;8,00;2,00
2019-06-23;82,00;410,00;8,63;12,95;25,89;24,00;23,00;11,00;16,00;7,00;10,00;12,00;2,00
2019-06-30;83,00;362,58;8,74;8,74;34,95;34,00;38,00;10,00;11,00;10,00;8,00;7,00;0,00
2019-07-07;74,00;391,76;13,06;4,35;17,41;21,00;25,00;13,00;28,00;11,00;9,00;8,00;1,00
2019-07-14;85,00;374,00;12,75;8,50;12,75;19,00;29,00;10,00;21,00;12,00;11,00;5,00;1,00
2019-07-21;90,00;428,57;17,14;4,29;21,43;25,00;36,00;9,00;18,00;10,00;15,00;8,00;1,00
2019-07-28;63,00;415,80;12,60;8,40;21,00;23,00;28,00;11,00;21,00;13,00;16,00;11,00;1,00
2019-08-04;89,00;356,00;8,48;8,48;12,71;25,00;20,00;14,00;21,00;15,00;12,00;7,00;4,00
2019-08-11;86,00;395,60;17,20;8,60;17,20;24,00;17,00;9,00;14,00;8,00;15,00;9,00;3,00
2019-08-18;73,00;356,41;12,88;12,88;12,88;14,00;25,00;12,00;20,00;10,00;17,00;7,00;3,00
2019-08-25;71,00;329,94;12,53;12,53;16,71;28,00;18,00;2,00;16,00;11,00;10,00;10,00;4,00
2019-09-01;81,00;345,32;17,05;12,79;25,58;22,00;34,00;11,00;10,00;9,00;6,00;10,00;0,00
2019-09-08;69,00;392,44;17,25;12,94;25,88;23,00;25,00;6,00;16,00;4,00;4,00;14,00;0,00
2019-09-15;77,00;419,22;12,83;17,11;12,83;19,00;28,00;7,00;17,00;13,00;6,00;5,00;3,00
2019-09-22;64,00;354,13;17,07;8,53;25,60;15,00;29,00;5,00;13,00;13,00;9,00;2,00;3,00
2019-09-29;59,00;391,93;12,64;12,64;21,07;11,00;16,00;11,00;9,00;10,00;9,00;2,00;1,00
2019-10-06;61,00;379,07;13,07;13,07;13,07;23,00;21,00;12,00;18,00;13,00;10,00;6,00;3,00
2019-10-13;49,00;351,91;17,82;17,82;13,36;14,00;14,00;6,00;9,00;7,00;9,00;6,00;0,00
2019-10-20;54,00;369,69;12,46;12,46;16,62;11,00;13,00;5,00;18,00;3,00;7,00;3,00;1,00
2019-10-27;43,00;309,60;17,20;8,60;12,90;15,00;14,00;7,00;9,00;1,00;5,00;3,00;1,00
2019-11-03;34,00;335,75;8,50;8,50;8,50;11,00;16,00;4,00;18,00;7,00;13,00;5,00;2,00
2019-11-10;25,00;329,17;16,67;8,33;12,50;12,00;17,00;3,00;14,00;11,00;5,00;2,00;3,00
2019-11-17;46,00;309,45;8,36;8,36;16,73;8,00;18,00;5,00;16,00;11,00;4,00;1,00;1,00
2019-11-24;42,00;315,00;16,80;16,80;16,80;11,00;16,00;9,00;9,00;9,00;7,00;3,00;1,00
2019-12-01;43,00;313,90;12,90;12,90;17,20;13,00;12,00;8,00;9,00;5,00;4,00;2,00;0,00
2019-12-08;31,00;287,86;17,71;13,29;22,14;18,00;12,00;3,00;15,00;5,00;7,00;3,00;2,00
2019-12-15;45,00;294,55;12,27;24,55;24,55;24,00;16,00;7,00;16,00;7,00;7,00;1,00;2,00
2019-12-22;49,00;374,18;8,91;26,73;22,27;12,00;25,00;7,00;21,00;15,00;6,00;5,00;5,00
2019-12-29;50,00;366,67;2,08;12,50;20,83;24,00;27,00;6,00;19,00;6,00;8,00;6,00;2,00
2020-01-05;72,00;415,06;12,71;16,94;25,41;23,00;28,00;8,00;23,00;13,00;10,00;8,00;2,00
2020-01-12;58,00;401,86;12,43;12,43;16,57;17,00;25,00;5,00;21,00;9,00;16,00;6,00;2,00
2020-01-19;58,00;397,71;12,43;8,29;20,71;32,00;31,00;8,00;17,00;8,00;10,00;5,00;0,00
2020-01-26;63,00;306,60;8,40;8,40;16,80;22,00;32,00;7,00;14,00;14,00;7,00;6,00;3,00
2020-02-02;54,00;348,92;8,31;12,46;12,46;17,00;29,00;12,00;15,00;11,00;8,00;4,00;7,00
2020-02-09;46,00;376,36;8,36;16,73;25,09;20,00;28,00;3,00;19,00;7,00;10,00;8,00;2,00
2020-02-16;51,00;369,75;8,50;4,25;12,75;17,00;25,00;5,00;14,00;5,00;11,00;6,00;2,00
2020-02-23;52,00;385,67;8,67;13,00;13,00;9,00;19,00;3,00;14,00;5,00;5,00;6,00;0,00
2020-03-01;42,00;365,40;4,20;8,40;21,00;15,00;22,00;11,00;7,00;4,00;9,00;7,00;1,00
2020-03-08;41,00;266,50;16,40;4,10;12,30;16,00;16,00;8,00;12,00;6,00;5,00;4,00;0,00
2020-03-15;23,00;179,40;4,60;13,80;18,40;12,00;13,00;4,00;9,00;11,00;6,00;0,00;0,00
