Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;47,00;62,00;16,00;16,00;0,00;15,67;0,00;48,04;0,00
2019-01-13;62,00;46,00;31,00;31,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;45,00;59,00;30,00;15,00;0,00;15,70;0,00;15,70;0,00
2019-01-27;60,00;30,00;15,00;90,00;0,00;0,00;0,00;30,00;0,00
2019-02-03;31,00;31,00;31,00;31,00;0,00;0,00;0,00;0,00;15,50
2019-02-10;31,00;62,00;15,00;15,00;0,00;0,00;15,50;46,50;15,50
2019-02-17;0,00;32,00;16,00;16,00;16,00;16,00;0,00;0,00;0,00
2019-02-24;31,00;47,00;0,00;31,00;16,00;15,50;15,50;0,00;15,50
2019-03-03;47,00;31,00;16,00;31,00;0,00;15,33;0,00;0,00;15,33
2019-03-10;45,00;45,00;0,00;45,00;15,00;0,00;0,00;45,00;0,00
2019-03-17;0,00;46,00;15,00;15,00;0,00;0,00;0,00;0,00;15,00
2019-03-24;31,00;16,00;16,00;31,00;0,00;0,00;15,50;0,00;15,50
2019-03-31;16,00;0,00;47,00;79,00;16,00;0,00;0,00;66,13;0,00
2019-04-07;62,00;31,00;31,00;47,00;0,00;46,75;0,00;15,25;0,00
2019-04-14;16,00;32,00;0,00;16,00;0,00;0,00;0,00;0,00;16,00
2019-04-21;16,00;16,00;16,00;32,00;0,00;16,00;0,00;63,00;16,00
2019-04-28;31,00;76,00;31,00;0,00;15,00;0,00;0,00;0,00;15,50
2019-05-05;0,00;15,00;15,00;76,00;0,00;0,00;15,00;30,00;0,00
2019-05-12;0,00;0,00;0,00;15,00;0,00;0,00;0,00;45,00;15,00
2019-05-19;15,00;45,00;45,00;30,00;15,00;0,00;0,00;0,00;0,00
2019-05-26;61,00;30,00;0,00;15,00;0,00;0,00;15,51;31,02;0,00
2019-06-02;14,00;43,00;0,00;29,00;0,00;0,00;0,00;28,00;14,00
2019-06-09;15,00;0,00;30,00;30,00;0,00;0,00;0,00;31,07;0,00
2019-06-16;45,00;45,00;30,00;45,00;0,00;0,00;15,34;15,34;0,00
2019-06-23;15,00;61,00;0,00;46,00;15,00;0,00;15,00;15,00;0,00
2019-06-30;45,00;30,00;15,00;0,00;0,00;0,00;0,00;75,68;0,00
2019-07-07;45,00;15,00;0,00;75,00;0,00;0,00;15,34;29,66;15,34
2019-07-14;32,00;16,00;16,00;48,00;0,00;16,52;0,00;32,00;0,00
2019-07-21;17,00;34,00;0,00;34,00;0,00;0,00;0,00;70,13;0,00
2019-07-28;51,00;34,00;0,00;17,00;0,00;0,00;17,69;34,35;0,00
2019-08-04;34,00;17,00;34,00;17,00;0,00;0,00;17,52;51,52;17,52
2019-08-11;64,00;64,00;0,00;96,00;0,00;0,00;48,52;32,00;0,00
2019-08-18;33,00;0,00;0,00;16,00;0,00;0,00;0,00;16,50;0,00
2019-08-25;31,00;16,00;31,00;94,00;0,00;0,00;15,50;15,50;0,00
2019-09-01;44,00;30,00;30,00;15,00;0,00;15,35;15,35;29,67;0,00
2019-09-08;30,00;15,00;15,00;60,00;45,00;0,00;0,00;0,00;0,00
2019-09-15;30,00;15,00;0,00;60,00;0,00;0,00;0,00;45,52;0,00
2019-09-22;29,00;15,00;0,00;29,00;0,00;0,00;14,50;103,57;0,00
2019-09-29;58,00;14,00;14,00;14,00;0,00;0,00;0,00;29,00;0,00
2019-10-06;0,00;43,00;58,00;29,00;0,00;0,00;0,00;42,00;0,00
2019-10-13;29,00;73,00;44,00;15,00;0,00;29,00;0,00;57,00;0,00
2019-10-20;30,00;30,00;0,00;44,00;0,00;0,00;14,48;30,00;14,48
2019-10-27;44,00;15,00;15,00;44,00;0,00;0,00;14,67;14,67;0,00
2019-11-03;58,00;43,00;14,00;87,00;0,00;0,00;14,50;14,50;0,00
2019-11-10;29,00;72,00;0,00;14,00;0,00;0,00;0,00;29,00;0,00
2019-11-17;0,00;0,00;0,00;0,00;14,00;0,00;14,00;43,00;0,00
2019-11-24;0,00;42,00;14,00;69,00;14,00;0,00;0,00;27,00;0,00
2019-12-01;58,00;58,00;14,00;0,00;0,00;0,00;0,00;29,00;14,50
2019-12-08;30,00;59,00;15,00;15,00;15,00;0,00;0,00;44,48;0,00
2019-12-15;14,00;43,00;29,00;14,00;14,00;0,00;14,00;14,00;42,00
2019-12-22;16,00;0,00;0,00;64,00;0,00;0,00;16,00;0,00;16,00
2019-12-29;30,00;61,00;15,00;30,00;15,00;0,00;0,00;76,55;0,00
2020-01-05;28,00;42,00;71,00;28,00;0,00;57,04;0,00;71,56;14,52
2020-01-12;54,00;82,00;0,00;68,00;0,00;0,00;0,00;13,25;0,00
2020-01-19;14,00;70,00;42,00;42,00;14,00;0,00;14,00;54,00;14,00
2020-01-26;14,00;55,00;28,00;42,00;0,00;29,08;0,00;44,15;0,00
2020-02-02;28,00;57,00;28,00;57,00;0,00;0,00;0,00;28,00;0,00
2020-02-09;41,00;14,00;27,00;27,00;0,00;13,33;0,00;0,00;0,00
2020-02-16;14,00;56,00;42,00;14,00;0,00;14,00;14,00;69,00;27,00
2020-02-23;41,00;0,00;0,00;82,00;0,00;0,00;13,33;27,68;13,33
2020-03-01;40,00;40,00;27,00;27,00;0,00;0,00;13,33;13,33;0,00
2020-03-08;78,00;65,00;26,00;13,00;0,00;0,00;0,00;92,56;0,00
2020-03-15;40,00;26,00;13,00;13,00;13,00;0,00;13,68;54,74;0,00
2020-03-22;26,00;26,00;38,00;38,00;0,00;0,00;13,52;0,00;13,52
2020-03-29;13,00;0,00;13,00;38,00;0,00;0,00;0,00;13,00;0,00
2020-04-05;13,00;13,00;13,00;66,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;13,00;13,00;26,00;39,00;0,00;0,00;0,00;25,00;13,00
2020-04-19;39,00;39,00;0,00;13,00;0,00;13,34;0,00;64,66;0,00
2020-04-26;13,00;26,00;0,00;38,00;0,00;0,00;94,25;0,00;0,00
2020-05-03;13,00;26,00;26,00;13,00;13,00;0,00;13,00;25,00;0,00
2020-05-10;50,00;12,00;25,00;25,00;12,00;0,00;0,00;25,00;0,00
2020-05-17;26,00;13,00;13,00;38,00;0,00;0,00;0,00;13,52;0,00
2020-05-24;25,00;0,00;0,00;25,00;0,00;0,00;38,54;12,50;0,00
2020-05-31;48,00;0,00;0,00;36,00;0,00;12,26;12,26;12,26;0,00
2020-06-07;12,00;24,00;0,00;36,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;36,00;12,00;0,00;12,00;0,00;0,00;0,00;12,34;37,03
2020-06-21;26,00;39,00;13,00;64,00;0,00;0,00;0,00;26,00;0,00
2020-06-28;25,00;0,00;0,00;62,00;0,00;0,00;12,50;37,50;12,50
2020-07-05;52,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00
2020-07-12;70,00;56,00;14,00;56,00;0,00;14,41;0,00;14,41;0,00
2020-07-19;97,00;14,00;0,00;0,00;0,00;0,00;14,45;14,45;0,00
2020-07-26;29,00;0,00;0,00;14,00;0,00;0,00;0,00;43,50;0,00
2020-08-02;0,00;15,00;0,00;15,00;0,00;14,00;0,00;14,00;14,00
2020-08-09;28,00;0,00;0,00;14,00;0,00;0,00;13,48;0,00;0,00
2020-08-16;95,00;14,00;0,00;41,00;0,00;0,00;0,00;13,42;13,42
2020-08-23;40,00;40,00;0,00;40,00;0,00;13,68;13,68;13,68;27,37
2020-08-30;0,00;26,00;13,00;0,00;0,00;0,00;13,00;0,00;0,00
2020-09-06;0,00;13,00;27,00;13,00;0,00;0,00;0,00;0,00;13,00
2020-09-13;14,00;0,00;14,00;14,00;0,00;0,00;0,00;43,08;14,00
2020-09-20;0,00;0,00;27,00;0,00;0,00;0,00;0,00;13,00;0,00
2020-09-27;40,00;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2020-10-04;14,00;41,00;0,00;41,00;0,00;14,00;0,00;0,00;43,08
2020-10-11;44,00;29,00;15,00;29,00;0,00;14,67;0,00;0,00;0,00
2020-10-18;28,00;14,00;14,00;14,00;0,00;0,00;0,00;0,00;14,00
2020-10-25;28,00;14,00;0,00;56,00;0,00;14,52;0,00;14,52;0,00
2020-11-01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00
2020-11-08;14,00;42,00;0,00;0,00;14,00;0,00;0,00;14,00;0,00
2020-11-15;14,00;28,00;0,00;0,00;14,00;0,00;14,00;14,00;0,00
2020-11-22;55,00;42,00;28,00;0,00;0,00;0,00;0,00;27,50;0,00
2020-11-29;29,00;29,00;14,00;0,00;0,00;0,00;0,00;14,50;29,00
2020-12-06;29,00;14,00;0,00;14,00;14,00;14,50;0,00;29,00;14,50
2020-12-13;0,00;0,00;0,00;28,00;0,00;14,00;0,00;14,00;0,00
2020-12-20;15,00;0,00;0,00;92,00;15,00;0,00;15,00;0,00;0,00
2020-12-27;0,00;15,00;0,00;75,00;0,00;0,00;0,00;0,00;0,00
2021-01-03;0,00;0,00;0,00;83,00;14,00;14,00;0,00;14,00;0,00
2021-01-10;55,00;14,00;0,00;28,00;0,00;0,00;0,00;41,51;0,00
2021-01-17;41,00;27,00;0,00;14,00;0,00;13,33;0,00;27,68;0,00
2021-01-24;14,00;41,00;14,00;27,00;14,00;0,00;0,00;43,08;0,00
2021-01-31;14,00;28,00;0,00;28,00;0,00;15,08;0,00;29,08;0,00
2021-02-07;43,00;0,00;14,00;29,00;0,00;28,67;14,33;28,67;14,33
2021-02-14;28,00;28,00;0,00;14,00;28,00;14,52;14,52;29,04;0,00
2021-02-21;43,00;0,00;0,00;0,00;0,00;14,33;0,00;43,00;43,00
2021-02-28;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-07;27,00;14,00;0,00;27,00;0,00;0,00;0,00;13,50;13,50
2021-03-14;64,00;0,00;0,00;13,00;0,00;12,39;0,00;64,00;25,81
2021-03-21;27,00;14,00;14,00;27,00;0,00;0,00;0,00;40,00;0,00
2021-03-28;29,00;0,00;0,00;29,00;0,00;0,00;0,00;43,50;14,50
2021-04-04;41,00;0,00;0,00;28,00;0,00;0,00;0,00;55,35;0,00
2021-04-11;28,00;0,00;0,00;0,00;0,00;0,00;14,52;14,52;0,00
2021-04-18;28,00;43,00;14,00;28,00;0,00;0,00;0,00;42,00;0,00
2021-04-25;0,00;14,00;0,00;29,00;0,00;0,00;28,00;28,00;0,00
2021-05-02;14,00;14,00;0,00;56,00;0,00;0,00;0,00;27,00;0,00
2021-05-09;14,00;0,00;0,00;0,00;0,00;0,00;0,00;84,00;0,00
2021-05-16;14,00;0,00;0,00;54,00;14,00;0,00;0,00;29,08;0,00
2021-05-23;42,00;0,00;0,00;42,00;0,00;0,00;0,00;0,00;0,00
2021-05-30;44,00;0,00;0,00;15,00;0,00;0,00;0,00;45,05;0,00
2021-06-06;14,00;14,00;0,00;14,00;14,00;28,00;0,00;14,00;28,00
2021-06-13;0,00;28,00;0,00;97,00;0,00;0,00;14,00;14,00;0,00
2021-06-20;0,00;0,00;0,00;28,00;0,00;0,00;27,00;41,00;0,00
2021-06-27;57,00;28,00;0,00;43,00;14,00;0,00;14,51;43,53;0,00
2021-07-04;14,00;0,00;14,00;100,00;0,00;14,00;0,00;0,00;0,00
2021-07-11;73,00;0,00;44,00;29,00;0,00;0,00;14,39;29,82;0,00
2021-07-18;64,00;48,00;16,00;0,00;0,00;0,00;0,00;80,52;0,00
