Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;34,00;16,00;12,00;3,00;12,00;16,00;16,00;9,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;31,00;3,00;6,00;6,00;12,00;9,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-01-20;39,00;12,00;3,00;12,00;3,00;3,00;3,00;3,00;0,00;6,00;0,00;3,00;3,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;27,00;6,00;3,00;3,00;12,00;6,00;0,00;0,00;9,00;6,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-02-03;38,00;6,00;19,00;6,00;6,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;22,00;6,00;22,00;6,00;9,00;0,00;19,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-02-17;25,00;6,00;6,00;3,00;6,00;6,00;3,00;3,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;28,00;15,00;6,00;6,00;9,00;0,00;6,00;0,00;12,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;22,00;6,00;16,00;13,00;10,00;10,00;16,00;6,00;6,00;0,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-03-10;25,00;3,00;9,00;12,00;12,00;3,00;9,00;0,00;3,00;0,00;3,00;6,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;51,00;13,00;16,00;10,00;3,00;6,00;0,00;6,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00
2019-03-24;6,00;19,00;6,00;10,00;6,00;3,00;0,00;3,00;6,00;3,00;0,00;10,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-03-31;34,00;16,00;9,00;9,00;0,00;16,00;3,00;6,00;9,00;9,00;3,00;6,00;6,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-04-07;50,00;7,00;30,00;13,00;13,00;13,00;7,00;7,00;10,00;13,00;3,00;3,00;3,00;7,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00
