Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;30,00;30,00;70,00;80,00;10,00;130,43;60,00;19,57;40,43;30,00;60,00;40,00;0,00;10,00;10,00;30,00;0,00;30,00;10,00;10,00;30,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;100,00;70,00;60,00;60,00;40,00;59,74;70,13;40,26;29,87;20,00;20,00;20,00;20,00;50,00;0,00;40,00;60,00;20,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00
2019-01-20;39,00;78,00;57,87;86,81;57,87;78,00;28,60;48,10;39,00;0,00;29,00;10,00;19,00;10,00;38,00;19,00;0,00;10,00;10,00;19,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;29,00;97,09;126,09;68,09;39,09;48,77;39,55;79,09;29,00;38,00;0,00;19,00;38,00;48,00;10,00;10,00;19,00;0,00;0,00;19,00;19,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00
2019-02-03;40,00;40,00;40,00;30,00;10,00;60,65;50,32;50,32;10,32;40,00;10,00;10,00;10,00;40,00;0,00;0,00;20,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;50,00;60,00;80,00;50,00;20,00;19,23;29,49;19,23;19,23;0,00;20,00;20,00;0,00;0,00;30,00;0,00;20,00;20,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;20,00;40,00;71,25;71,25;30,00;38,75;28,75;10,00;0,00;20,00;20,00;20,00;0,00;20,00;0,00;10,00;20,00;10,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00
2019-02-24;59,00;49,17;87,27;59,00;59,00;78,24;107,74;29,50;19,24;0,00;30,00;20,00;40,00;30,00;10,00;49,00;10,00;10,00;30,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;31,00;80,60;80,60;40,92;40,92;81,38;41,33;20,67;50,38;0,00;10,00;31,00;31,00;10,00;10,00;0,00;10,00;0,00;31,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;60,00;20,00;60,00;40,00;50,00;60,00;49,57;0,00;60,00;0,00;40,00;10,00;10,00;10,00;10,00;10,00;0,00;10,00;20,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
