Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;13,00;169,00;72,80;109,20;0,00;13,00;13,00;0,00;13,00
2019-01-13;38,00;100,43;51,57;165,57;0,00;0,00;13,00;13,00;0,00
2019-01-20;37,00;47,57;37,00;37,00;0,00;0,00;12,00;12,00;12,00
2019-01-27;49,00;84,39;24,50;133,39;0,00;12,00;0,00;37,00;0,00
2019-02-03;51,00;24,16;75,16;139,58;0,00;0,00;0,00;0,00;13,00
2019-02-10;25,00;141,67;13,89;38,89;0,00;0,00;0,00;0,00;0,00
2019-02-17;52,00;117,68;52,00;104,00;0,00;0,00;0,00;0,00;13,00
2019-02-24;25,00;88,89;13,89;88,89;13,89;0,00;13,00;0,00;13,00
2019-03-03;13,00;98,80;26,00;148,20;0,00;0,00;0,00;0,00;0,00
2019-03-10;25,00;88,89;38,89;155,56;0,00;0,00;38,00;0,00;0,00
2019-03-17;52,00;52,00;79,37;90,32;0,00;13,00;13,00;13,00;0,00
2019-03-24;26,00;26,00;36,40;88,40;0,00;0,00;0,00;39,00;0,00
2019-03-31;0,00;19,00;19,00;14,00;5,00;13,00;0,00;13,00;0,00
2019-04-07;27,00;40,50;27,00;67,50;0,00;13,00;0,00;13,00;0,00
2019-04-14;42,00;72,80;42,00;100,80;0,00;0,00;28,00;0,00;0,00
2019-04-21;40,00;13,33;13,33;77,33;0,00;13,00;13,00;40,00;0,00
2019-04-28;25,00;63,89;25,00;75,00;13,89;0,00;12,00;0,00;0,00
2019-05-05;12,00;54,00;27,00;132,00;0,00;0,00;12,00;0,00;0,00
2019-05-12;25,00;113,89;50,00;152,78;13,89;13,00;13,00;13,00;13,00
2019-05-19;25,00;113,89;13,89;125,00;25,00;12,00;0,00;0,00;0,00
2019-05-26;12,00;43,20;12,00;0,00;0,00;0,00;12,00;12,00;0,00
2019-06-02;12,00;78,00;27,00;105,00;0,00;0,00;12,00;12,00;0,00
2019-06-09;12,00;78,00;12,00;105,00;0,00;0,00;0,00;12,00;12,00
2019-06-16;0,00;41,00;23,00;32,00;0,00;0,00;13,00;13,00;25,00
2019-06-23;0,00;25,00;25,00;55,00;0,00;0,00;14,00;27,00;14,00
2019-06-30;54,00;27,00;13,50;27,00;0,00;14,00;14,00;14,00;0,00
2019-07-07;39,00;91,93;39,00;91,93;0,00;0,00;26,00;0,00;0,00
2019-07-14;14,00;100,80;100,80;100,80;0,00;0,00;28,00;0,00;14,00
2019-07-21;29,00;84,36;29,00;42,18;0,00;0,00;0,00;29,00;15,00
2019-07-28;14,00;100,80;28,00;173,60;0,00;0,00;0,00;0,00;0,00
2019-08-04;27,00;81,00;0,00;121,50;0,00;0,00;14,00;0,00;0,00
2019-08-11;81,00;94,50;54,00;145,80;0,00;27,00;27,00;0,00;14,00
2019-08-18;14,00;28,00;42,00;84,00;14,00;0,00;14,00;0,00;0,00
2019-08-25;52,00;65,68;27,37;156,00;0,00;13,00;26,00;13,00;0,00
2019-09-01;25,00;52,78;52,78;63,89;0,00;0,00;38,00;0,00;0,00
2019-09-08;39,00;78,00;13,93;130,93;0,00;0,00;0,00;13,00;0,00
2019-09-15;26,00;66,44;40,44;66,44;0,00;13,00;0,00;13,00;13,00
2019-09-22;0,00;40,00;13,00;22,00;0,00;0,00;12,00;12,00;0,00
