Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;23,00;0,00;0,00;0,00;0,00;46,00;0,00;0,00;0,00;0,00;46,00;66,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;23,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;69,00;0,00;0,00;0,00;0,00;46,00;0,00;0,00;47,00;0,00;0,00
2019-01-20;46,00;46,00;0,00;23,51;0,00;23,00;23,00;0,00;23,00;23,00;23,00;46,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;45,00;45,00;0,00;0,00;0,00;0,00;0,00;0,00;45,00;0,00;92,65;68,82;0,00;0,00;21,95;21,95;0,00;0,00;68,00;0,00;0,00
2019-02-03;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;46,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00
2019-02-10;24,00;24,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;74,67;48,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00
2019-02-17;24,00;24,00;24,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;74,67;0,00;0,00;0,00;0,00;0,00;24,00;0,00;72,00;0,00;0,00
2019-02-24;0,00;23,00;0,00;0,00;0,00;24,00;0,00;0,00;24,00;0,00;18,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;24,00
2019-03-03;23,00;23,00;0,00;23,00;23,00;23,00;0,00;0,00;0,00;23,00;46,00;46,00;0,00;0,00;0,00;44,90;23,00;0,00;46,00;0,00;23,00
2019-03-10;47,00;47,00;23,50;0,00;0,00;23,00;0,00;0,00;0,00;0,00;70,50;0,00;0,00;0,00;0,00;23,50;0,00;0,00;0,00;0,00;0,00
2019-03-17;48,00;24,51;48,00;0,00;0,00;73,00;0,00;0,00;0,00;0,00;48,00;48,00;0,00;0,00;0,00;48,00;0,00;0,00;24,00;0,00;24,00
2019-03-24;48,00;48,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;50,67;98,67;0,00;0,00;0,00;24,00;0,00;0,00;24,00;0,00;0,00
2019-03-31;24,00;24,00;0,00;0,00;0,00;24,00;0,00;0,00;24,00;24,00;72,00;0,00;0,00;0,00;0,00;73,14;49,14;0,00;24,00;0,00;0,00
2019-04-07;68,00;45,33;45,33;0,00;0,00;67,00;0,00;0,00;45,00;0,00;112,46;91,54;0,00;22,30;0,00;22,30;0,00;0,00;0,00;0,00;0,00
2019-04-14;26,00;26,00;26,00;0,00;26,00;52,00;0,00;0,00;0,00;0,00;78,00;104,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;0,00;0,00;26,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;41,00;20,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;91,00;91,00;0,00;0,00;0,00;45,00;0,00;0,00;0,00;23,40;44,20;135,20;23,40;0,00;0,00;45,50;0,00;0,00;0,00;0,00;0,00
2019-05-05;0,00;22,00;22,00;45,00;0,00;46,00;0,00;0,00;0,00;0,00;35,00;53,00;0,00;0,00;0,00;41,00;21,00;0,00;23,00;23,00;0,00
2019-05-12;0,00;23,00;0,00;0,00;23,00;46,00;0,00;0,00;0,00;0,00;36,00;36,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;0,00;0,00;23,00;0,00;0,00;46,00;0,00;23,00;0,00;0,00;63,00;9,00;0,00;0,00;0,00;63,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;0,00;0,00;74,00;0,00;0,00;0,00;0,00;0,00;50,00;0,00;58,00;68,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;50,00
2019-06-02;0,00;23,00;23,00;0,00;0,00;24,00;0,00;24,00;0,00;0,00;18,00;27,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;47,00;70,00;47,00;0,00;0,00;71,00;0,00;0,00;0,00;0,00;47,00;70,50;23,50;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00
2019-06-16;24,00;24,00;71,00;0,00;0,00;48,00;0,00;0,00;0,00;0,00;24,00;98,67;24,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;24,00
2019-06-23;76,00;101,33;0,00;25,33;0,00;25,00;0,00;0,00;0,00;0,00;128,41;52,41;0,00;0,00;0,00;76,00;0,00;0,00;26,00;0,00;0,00
2019-06-30;25,00;25,00;0,00;25,00;0,00;49,00;0,00;0,00;0,00;0,00;52,78;25,00;0,00;0,00;0,00;51,14;25,00;0,00;0,00;0,00;0,00
2019-07-07;25,00;0,00;25,00;0,00;0,00;75,00;0,00;0,00;0,00;25,00;25,00;25,00;0,00;0,00;0,00;48,91;0,00;0,00;25,00;0,00;25,00
2019-07-14;27,00;27,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;83,70;197,10;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;54,00
2019-07-21;29,00;29,00;0,00;0,00;0,00;58,00;0,00;0,00;0,00;0,00;176,64;118,64;0,00;0,00;0,00;58,00;0,00;0,00;0,00;29,00;0,00
2019-07-28;29,00;57,00;0,00;29,00;0,00;29,00;0,00;0,00;0,00;0,00;60,64;60,64;0,00;0,00;0,00;0,00;0,00;29,00;0,00;0,00;29,00
2019-08-04;0,00;26,00;0,00;26,00;0,00;53,00;0,00;27,00;0,00;0,00;51,00;21,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;27,00
2019-08-11;0,00;0,00;24,00;24,00;0,00;0,00;0,00;0,00;0,00;9,00;28,00;65,00;0,00;0,00;0,00;22,00;0,00;0,00;73,00;0,00;24,00
2019-08-18;47,00;23,50;70,50;0,00;0,00;70,00;0,00;0,00;23,00;0,00;70,50;47,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;0,00;0,00;0,00;23,00;23,00;0,00;0,00;47,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;64,00;0,00;0,00;0,00;24,00;24,00
2019-09-01;0,00;22,00;22,00;22,00;0,00;23,00;0,00;0,00;0,00;17,00;9,00;9,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;24,00;24,00;24,00;48,00;0,00;47,00;0,00;0,00;0,00;0,00;72,00;0,00;24,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;24,00;0,00;24,00;0,00;0,00;71,00;0,00;0,00;0,00;0,00;72,00;72,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00
2019-09-22;0,00;0,00;23,00;0,00;0,00;46,00;0,00;0,00;0,00;0,00;27,00;45,00;0,00;0,00;0,00;21,00;0,00;23,00;0,00;0,00;0,00
2019-09-29;94,00;23,50;23,50;0,00;0,00;70,00;23,00;0,00;0,00;0,00;94,00;70,50;0,00;0,00;0,00;23,50;0,00;0,00;0,00;0,00;47,00
2019-10-06;24,00;24,00;24,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;266,67;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;0,00;0,00;0,00;23,00;0,00;47,00;0,00;0,00;23,00;0,00;36,00;18,00;0,00;0,00;0,00;43,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00
2019-10-27;45,00;45,00;22,50;0,00;0,00;0,00;23,00;0,00;0,00;0,00;137,65;0,00;0,00;0,00;0,00;21,95;0,00;0,00;0,00;0,00;0,00
2019-11-03;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,00;9,00;0,00;0,00;0,00;20,00;0,00;0,00;45,00;0,00;22,00
2019-11-10;68,00;22,67;0,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;68,00;23,54;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00
2019-11-17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;43,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00
2019-11-24;0,00;0,00;0,00;21,00;0,00;22,00;0,00;0,00;0,00;0,00;25,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;22,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;85,56;22,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;43,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;23,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;89,44;0,00;0,00;0,00;0,00;24,15;0,00;0,00;23,00;0,00;0,00
2019-12-22;54,00;27,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;54,00;25,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00
2019-12-29;26,00;0,00;26,00;26,00;0,00;26,00;26,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;22,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46,75;22,00;0,00;0,00;0,00;68,32;0,00;22,00;0,00;0,00;0,00
2020-01-12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;8,00;0,00;0,00;0,00;19,00;0,00;0,00;21,00;0,00;0,00
2020-01-19;43,00;43,00;0,00;21,50;0,00;43,00;0,00;0,00;43,00;0,00;88,69;21,50;0,00;0,00;0,00;43,00;0,00;0,00;22,00;22,00;0,00
2020-01-26;21,00;21,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;21,00;42,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;21,00
2020-02-02;21,00;42,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;42,00;65,63;0,00;0,00;0,00;43,11;0,00;0,00;0,00;0,00;0,00
2020-02-09;0,00;0,00;0,00;0,00;0,00;21,00;0,00;21,00;0,00;0,00;33,00;25,00;0,00;0,00;0,00;0,00;39,00;0,00;0,00;21,00;0,00
2020-02-16;0,00;0,00;42,00;0,00;0,00;43,00;0,00;0,00;0,00;0,00;25,00;25,00;0,00;0,00;0,00;20,00;20,00;22,00;22,00;0,00;22,00
2020-02-23;0,00;0,00;41,00;20,00;0,00;62,00;0,00;21,00;21,00;8,00;40,00;24,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;42,00;0,00
2020-03-01;20,00;0,00;20,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;60,00;60,00;0,00;20,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00
2020-03-08;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;15,00;15,00;0,00;0,00;0,00;18,00;0,00;0,00;20,00;0,00;0,00
2020-03-15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;15,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37,50;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
