Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;32,00;6,00;13,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;6,00;0,00;0,00;0,00
2019-01-13;39,00;13,00;7,00;10,00;3,00;0,00;7,00;7,00;0,00;0,00;3,00;3,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-01-20;23,00;3,00;0,00;3,00;10,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;22,00;6,00;3,00;0,00;3,00;0,00;3,00;6,00;0,00;6,00;3,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;36,00;3,00;7,00;0,00;10,00;3,00;0,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;3,00
2019-02-10;20,00;20,00;3,00;3,00;13,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;17,00;0,00;0,00;3,00;7,00;3,00;3,00;7,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-02-24;40,00;23,00;7,00;0,00;10,00;0,00;3,00;10,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;16,00;3,00;3,00;6,00;3,00;3,00;0,00;6,00;0,00;0,00;3,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;36,00;3,00;0,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-03-17;34,00;10,00;0,00;3,00;7,00;3,00;0,00;3,00;0,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-03-24;30,00;3,00;7,00;7,00;10,00;3,00;0,00;7,00;0,00;0,00;0,00;10,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;59,00;10,00;0,00;16,00;3,00;3,00;10,00;7,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00
2019-04-07;32,00;13,00;3,00;0,00;16,00;6,00;6,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;70,00;7,00;4,00;0,00;7,00;4,00;15,00;22,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;59,00;19,00;7,00;19,00;4,00;4,00;7,00;7,00;0,00;0,00;0,00;7,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-04-28;41,00;6,00;3,00;0,00;6,00;3,00;10,00;13,00;0,00;0,00;0,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-05-05;45,00;10,00;0,00;3,00;3,00;13,00;6,00;13,00;0,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-05-12;46,00;16,00;7,00;3,00;16,00;0,00;10,00;7,00;0,00;0,00;3,00;7,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;55,00;7,00;3,00;3,00;13,00;7,00;3,00;7,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;53,00;7,00;4,00;4,00;11,00;11,00;4,00;14,00;0,00;4,00;0,00;4,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;73,00;13,00;7,00;13,00;3,00;3,00;13,00;26,00;0,00;0,00;3,00;3,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;43,00;20,00;0,00;10,00;10,00;10,00;7,00;7,00;0,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00
2019-06-16;54,00;14,00;3,00;7,00;10,00;0,00;14,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-06-23;64,00;32,00;7,00;11,00;11,00;0,00;7,00;7,00;0,00;0,00;0,00;7,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;59,00;7,00;7,00;3,00;14,00;14,00;3,00;10,00;0,00;0,00;0,00;7,00;3,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00
2019-07-07;49,00;25,00;7,00;7,00;4,00;4,00;14,00;18,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-07-14;57,00;23,00;4,00;19,00;19,00;8,00;8,00;8,00;0,00;0,00;0,00;11,00;8,00;8,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00
2019-07-21;69,00;32,00;24,00;12,00;20,00;12,00;12,00;12,00;4,00;0,00;0,00;8,00;4,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;4,00
2019-07-28;66,00;29,00;8,00;4,00;12,00;16,00;12,00;8,00;0,00;0,00;0,00;12,00;12,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;45,00;23,00;11,00;11,00;8,00;7,00;4,00;11,00;0,00;0,00;0,00;7,00;7,00;4,00;0,00;0,00;7,00;4,00;0,00;0,00;0,00
2019-08-11;58,00;24,00;3,00;7,00;14,00;3,00;7,00;3,00;0,00;0,00;0,00;14,00;3,00;3,00;0,00;3,00;3,00;10,00;0,00;0,00;0,00
2019-08-18;33,00;40,00;7,00;3,00;7,00;7,00;7,00;7,00;0,00;0,00;0,00;10,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-08-25;46,00;59,00;3,00;3,00;10,00;3,00;10,00;20,00;0,00;3,00;7,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;47,00;16,00;0,00;10,00;10,00;0,00;3,00;6,00;0,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-09-08;33,00;26,00;3,00;7,00;0,00;7,00;20,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;27,00;17,00;10,00;3,00;27,00;3,00;3,00;10,00;0,00;0,00;0,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;49,00;10,00;0,00;7,00;3,00;7,00;0,00;7,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;7,00;0,00;0,00
2019-09-29;36,00;20,00;3,00;3,00;3,00;0,00;3,00;0,00;0,00;3,00;3,00;3,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-10-06;33,00;10,00;0,00;3,00;7,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-10-13;36,00;7,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00
2019-10-20;19,00;6,00;0,00;6,00;13,00;6,00;3,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00
2019-10-27;32,00;0,00;0,00;0,00;13,00;3,00;3,00;9,00;0,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-11-03;12,00;9,00;3,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;16,00;3,00;3,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;16,00;6,00;0,00;0,00;3,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;15,00;18,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;19,00;6,00;0,00;6,00;3,00;6,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-12-08;12,00;9,00;0,00;3,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;25,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;26,00;4,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-12-29;40,00;18,00;4,00;7,00;11,00;0,00;11,00;7,00;0,00;0,00;4,00;7,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;27,00;6,00;0,00;6,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;27,00;6,00;0,00;6,00;3,00;0,00;3,00;3,00;0,00;6,00;3,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
